"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor",,,,"User:","root"
"Cmdline:","dstat -c --output dstat16.txt",,,,"Date:","14 May 2018 17:15:23 UTC"

"total cpu usage",,,,,
"usr","sys","idl","wai","hiq","siq"
10.450,6.957,79.265,0.028,0.0,3.300
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.500,0.0,99.500,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.498,0.0,99.502,0.0,0.0,0.0
24.873,17.766,50.254,0.0,0.0,7.107
43.878,21.939,26.531,0.0,0.0,7.653
37.688,25.126,26.633,0.0,0.0,10.553
37.755,25.510,26.531,0.0,0.0,10.204
36.923,23.590,28.205,0.0,0.0,11.282
39.153,24.339,28.571,0.0,0.0,7.937
39.691,22.680,27.320,0.0,0.0,10.309
37.629,22.680,27.835,0.0,0.0,11.856
37.949,25.128,26.667,0.0,0.0,10.256
39.796,23.469,22.959,0.0,0.0,13.776
35.714,26.020,26.531,0.0,0.0,11.735
38.660,21.134,27.835,0.0,0.0,12.371
37.688,21.608,27.638,0.0,0.0,13.065
39.394,21.717,26.768,0.0,0.0,12.121
36.458,22.917,25.521,0.0,0.0,15.104
38.500,23.500,23.0,0.0,0.0,15.0
39.899,25.253,18.687,0.0,0.0,16.162
35.176,24.623,24.121,0.0,0.0,16.080
34.328,22.388,25.871,0.0,0.0,17.413
34.343,23.232,24.242,0.0,0.0,18.182
34.826,24.378,24.378,0.0,0.0,16.418
37.563,20.812,27.411,0.0,0.0,14.213
36.410,23.077,28.718,0.0,0.0,11.795
32.828,24.242,27.273,0.0,0.0,15.657
35.644,23.762,25.743,0.0,0.0,14.851
36.181,22.613,27.136,0.0,0.0,14.070
34.0,23.0,27.0,0.0,0.0,16.0
36.041,23.350,25.381,0.0,0.0,15.228
34.826,22.886,28.856,0.0,0.0,13.433
34.314,24.020,25.0,0.0,0.0,16.667
35.859,22.727,23.232,0.0,0.0,18.182
38.071,21.320,22.335,0.0,0.0,18.274
36.923,21.026,25.128,0.0,0.0,16.923
35.859,20.707,26.768,0.0,0.0,16.667
35.644,21.287,25.743,0.0,0.0,17.327
34.010,22.843,26.904,0.0,0.0,16.244
32.673,23.267,26.238,0.0,0.0,17.822
35.567,20.103,28.351,0.0,0.0,15.979
33.663,22.277,27.723,0.0,0.0,16.337
35.644,20.297,27.228,0.0,0.0,16.832
38.660,21.134,24.227,0.0,0.0,15.979
37.624,19.307,25.248,0.0,0.0,17.822
35.922,23.301,23.786,0.0,0.0,16.990
32.0,21.0,27.500,0.0,0.0,19.500
33.005,22.660,28.079,0.0,0.0,16.256
32.843,27.941,25.0,0.0,0.0,14.216
33.0,22.0,28.0,0.0,0.0,17.0
34.171,22.613,28.141,0.0,0.0,15.075
37.073,22.927,23.415,0.0,0.0,16.585
38.424,20.197,23.153,0.0,0.0,18.227
36.041,21.827,25.381,0.0,0.0,16.751
37.313,18.905,25.373,0.0,0.0,18.408
35.500,19.0,28.500,0.0,0.0,17.0
35.468,24.138,25.123,0.0,0.0,15.271
37.438,20.690,26.601,0.0,0.0,15.271
34.500,22.500,27.0,0.0,0.0,16.0
34.826,22.388,26.866,0.0,0.0,15.920
34.171,22.111,28.141,0.0,0.0,15.578
38.119,20.297,26.238,0.0,0.0,15.347
38.500,21.500,26.0,0.0,0.0,14.0
39.500,20.500,25.0,0.0,0.0,15.0
36.765,22.549,26.471,0.0,0.0,14.216
36.318,23.383,26.866,0.0,0.0,13.433
35.204,23.980,26.020,0.0,0.0,14.796
37.374,20.202,23.232,0.0,0.0,19.192
