"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -C total --output c4.csv",,,,"Date:","21 May 2018 22:07:48 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
0.446,1.167,97.252,0.008,0.0,1.128,13867.930,34494.370,0.0,0.0,0.0,0.0,577.250,704.820
0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,180.0,906.0,0.0,0.0,18.0,34.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,678.0,742.0,0.0,0.0,13.0,22.0
0.0,0.0,99.0,0.0,0.0,1.0,0.0,0.0,822.0,7440.0,0.0,0.0,27.0,52.0
1.020,2.041,93.878,0.0,0.0,3.061,0.0,0.0,181436.0,608063.0,0.0,0.0,1848.0,2330.0
0.0,3.125,92.708,0.0,0.0,4.167,0.0,0.0,264492.0,891294.0,0.0,0.0,2589.0,3246.0
0.980,5.882,86.275,0.0,0.0,6.863,0.0,28672.0,285618.0,960142.0,0.0,0.0,2763.0,3432.0
3.061,2.041,88.776,0.0,0.0,6.122,0.0,0.0,319800.0,1076866.0,0.0,0.0,3000.0,3711.0
0.0,4.211,90.526,0.0,0.0,5.263,0.0,0.0,365973.0,1230147.0,0.0,0.0,3400.0,4190.0
1.961,6.863,83.333,0.0,0.0,7.843,0.0,0.0,364197.0,1224414.0,0.0,0.0,3291.0,3975.0
0.0,7.216,86.598,0.0,0.0,6.186,0.0,0.0,400379.0,1348050.0,0.0,0.0,3531.0,4313.0
2.128,4.255,88.298,0.0,0.0,5.319,0.0,12288.0,450566.0,1513730.0,0.0,0.0,3886.0,4706.0
0.990,7.921,81.188,0.0,0.0,9.901,0.0,0.0,473996.0,1593933.0,0.0,0.0,3998.0,4810.0
0.0,9.901,82.178,0.0,0.0,7.921,0.0,0.0,485407.0,1633568.0,0.0,0.0,4149.0,5063.0
1.980,5.941,81.188,0.0,0.0,10.891,0.0,0.0,483458.0,1625175.0,0.0,0.0,4001.0,4934.0
1.053,6.316,86.316,0.0,0.0,6.316,0.0,0.0,524858.0,1766079.0,0.0,0.0,4261.0,5110.0
2.970,9.901,78.218,0.0,0.0,8.911,0.0,12288.0,572693.0,1924843.0,0.0,0.0,4979.0,6087.0
1.031,6.186,84.536,0.0,0.0,8.247,0.0,0.0,536404.0,1805098.0,0.0,0.0,4658.0,5784.0
0.980,8.824,78.431,0.0,0.0,11.765,0.0,8192.0,572335.0,1921573.0,0.0,0.0,4876.0,5931.0
