"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor",,,,"User:","root"
"Cmdline:","dstat -C total --output c16.csv",,,,"Date:","21 May 2018 23:49:27 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
5.574,3.628,89.102,0.024,0.0,1.672,10066.958,42279.154,0.0,0.0,0.0,0.0,904.840,4495.125
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,382.0,1228.0,0.0,0.0,42.0,85.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,136.0,0.0,0.0,36.0,70.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,60.0,420.0,0.0,0.0,35.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,35.0,68.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,60.0,420.0,0.0,0.0,40.0,80.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,34.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,36.0,70.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,262.0,758.0,0.0,0.0,39.0,69.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,60.0,136.0,0.0,0.0,36.0,74.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,39.0,72.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,60.0,420.0,0.0,0.0,37.0,76.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,34.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,38.0,72.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,60.0,758.0,0.0,0.0,37.0,77.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,180.0,906.0,0.0,0.0,42.0,86.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,404.0,0.0,0.0,34.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,37.0,68.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,60.0,420.0,0.0,0.0,40.0,82.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,64.0
0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,37.0,68.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,36.0,68.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,60.0,420.0,0.0,0.0,36.0,74.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,186.0,758.0,0.0,0.0,36.0,65.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,60.0,420.0,0.0,0.0,41.0,73.0
1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,35.0,64.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,60.0,420.0,0.0,0.0,39.0,85.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,33.0,62.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,36.0,67.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,60.0,420.0,0.0,0.0,36.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,34.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,60.0,420.0,0.0,0.0,36.0,76.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,758.0,0.0,0.0,36.0,71.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,180.0,906.0,0.0,0.0,35.0,73.0
4.0,1.0,94.0,0.0,0.0,1.0,0.0,0.0,211104.0,59068.0,0.0,0.0,526.0,2049.0
51.0,36.0,0.0,0.0,0.0,13.0,0.0,0.0,3561828.0,1061472.0,0.0,0.0,9404.0,45527.0
53.0,28.0,0.0,0.0,0.0,19.0,0.0,12288.0,3677001.0,1093927.0,0.0,0.0,9790.0,49830.0
50.505,32.323,0.0,0.0,0.0,17.172,0.0,0.0,3587673.0,1066931.0,0.0,0.0,9314.0,46600.0
51.485,31.683,0.0,0.0,0.0,16.832,0.0,0.0,3757854.0,1117466.0,0.0,0.0,10001.0,50474.0
52.525,32.323,0.0,0.0,0.0,15.152,0.0,0.0,3754422.0,1117260.0,0.0,0.0,9908.0,50488.0
50.980,33.333,0.0,0.0,0.0,15.686,0.0,0.0,3587613.0,1066877.0,0.0,0.0,9453.0,48144.0
52.525,33.333,0.0,0.0,0.0,14.141,0.0,12288.0,3548076.0,1055124.0,0.0,0.0,9385.0,47912.0
51.0,31.0,0.0,0.0,0.0,18.0,0.0,0.0,3467283.0,1031107.0,0.0,0.0,9075.0,48264.0
52.0,33.0,0.0,0.0,0.0,15.0,0.0,0.0,3534324.0,1051514.0,0.0,0.0,9214.0,48968.0
54.545,26.263,0.0,0.0,0.0,19.192,0.0,0.0,3666687.0,1090383.0,0.0,0.0,9461.0,50197.0
48.515,33.663,0.0,0.0,0.0,17.822,0.0,0.0,3718257.0,1105713.0,0.0,0.0,9710.0,51691.0
