"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c1.csv",,,,"Date:","30 May 2018 17:46:35 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
30-05 17:46:35,0.0,0.0,0.039,128147456.0,117616640.0,375267328.0,1476349952.0,0.0,0.0,540.429,2196.055,18.529,25.689,0.039,0.034,99.912,0.001,0.0,0.012,0.0,0.0,0.031,0.072,0.0,0.0,0.0,
30-05 17:46:36,0.0,0.0,0.0,128143360.0,117616640.0,375271424.0,1476349952.0,0.0,0.0,0.0,0.0,17.0,41.0,0.0,0.0,100.0,0.0,0.0,0.0,240.0,1572.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:37,0.0,0.0,1.0,128581632.0,117616640.0,375271424.0,1475911680.0,0.0,0.0,0.0,0.0,684.0,850.0,1.0,2.0,96.0,0.0,0.0,1.0,62288.0,207818.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:38,0.0,0.0,0.0,128643072.0,117616640.0,375271424.0,1475850240.0,0.0,0.0,0.0,0.0,2470.0,3024.0,1.0,4.0,91.0,0.0,0.0,4.0,242579.0,816793.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:39,0.0,0.0,0.0,128774144.0,117616640.0,375271424.0,1475719168.0,0.0,0.0,0.0,0.0,2926.0,3586.0,0.980,4.902,87.255,0.0,0.0,6.863,295401.0,989827.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:40,1.0,0.0,0.0,128741376.0,117616640.0,375271424.0,1475751936.0,0.0,0.0,0.0,0.0,3305.0,4079.0,0.0,6.061,87.879,0.0,0.0,6.061,335210.0,1128138.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:41,1.0,0.0,0.0,128675840.0,117616640.0,375271424.0,1475817472.0,0.0,0.0,0.0,131072.0,3620.0,4602.0,1.0,5.0,87.0,0.0,0.0,7.0,371456.0,1248906.0,0.0,2.0,0.0,0.0,0.0,
30-05 17:46:42,1.0,0.0,0.0,128708608.0,117616640.0,375271424.0,1475784704.0,0.0,0.0,0.0,0.0,3697.0,4737.0,0.0,5.825,83.495,0.0,0.0,10.680,393159.0,1322665.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:43,1.0,0.0,0.0,128835584.0,117616640.0,375271424.0,1475657728.0,0.0,0.0,0.0,0.0,3725.0,4681.0,0.980,7.843,84.314,0.0,0.0,6.863,398955.0,1340231.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:44,1.0,0.0,0.0,128999424.0,117616640.0,375271424.0,1475493888.0,0.0,0.0,0.0,0.0,3897.0,4880.0,1.020,8.163,85.714,0.0,0.0,5.102,412874.0,1389352.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:45,1.0,0.0,0.0,128966656.0,117616640.0,375271424.0,1475526656.0,0.0,0.0,0.0,0.0,4045.0,5107.0,1.0,7.0,85.0,0.0,0.0,7.0,434898.0,1462272.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:46,1.0,0.0,0.0,128933888.0,117616640.0,375271424.0,1475559424.0,0.0,0.0,0.0,12288.0,4131.0,5211.0,1.031,6.186,86.598,0.0,0.0,6.186,448718.0,1509822.0,0.0,2.0,0.0,0.0,0.0,
30-05 17:46:47,1.0,0.0,2.0,129437696.0,117616640.0,375271424.0,1475055616.0,0.0,0.0,0.0,0.0,4255.0,5348.0,1.042,5.208,86.458,0.0,0.0,7.292,458560.0,1539279.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:48,0.0,0.0,0.0,127766528.0,117616640.0,375271424.0,1476726784.0,0.0,0.0,0.0,0.0,4304.0,5505.0,1.053,5.263,88.421,0.0,0.0,5.263,467996.0,1574938.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:49,1.0,0.0,0.0,127799296.0,117616640.0,375271424.0,1476694016.0,0.0,0.0,0.0,4096.0,4240.0,5348.0,0.990,6.931,82.178,0.0,0.0,9.901,474004.0,1592924.0,0.0,1.0,0.0,0.0,0.0,
30-05 17:46:50,0.0,0.0,0.0,127766528.0,117616640.0,375271424.0,1476726784.0,0.0,0.0,0.0,0.0,4248.0,5359.0,0.971,9.709,80.583,0.0,0.0,8.738,475855.0,1600991.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:51,0.0,0.0,0.0,127766528.0,117616640.0,375271424.0,1476726784.0,0.0,0.0,0.0,16384.0,4441.0,5636.0,1.042,6.250,86.458,0.0,0.0,6.250,494553.0,1659965.0,0.0,2.0,0.0,0.0,0.0,
30-05 17:46:52,1.0,0.0,0.0,127799296.0,117616640.0,375271424.0,1476694016.0,0.0,0.0,0.0,0.0,4599.0,5819.0,1.031,8.247,84.536,0.0,0.0,6.186,512593.0,1724705.0,0.0,0.0,0.0,0.0,0.0,
30-05 17:46:53,1.0,0.0,0.0,127766528.0,117616640.0,375271424.0,1476726784.0,0.0,0.0,0.0,0.0,4791.0,5984.0,0.0,9.0,82.0,0.0,0.0,9.0,531949.0,1787621.0,0.0,0.0,0.080,0.020,0.010,
