"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output cc4.csv",,,,"Date:","30 May 2018 18:17:15 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
30-05 18:17:15,0.0,0.0,0.039,126541824.0,117841920.0,375521280.0,1477476352.0,0.0,0.0,538.997,2197.779,31.444,41.380,0.043,0.055,99.868,0.001,0.0,0.033,0.0,0.0,0.031,0.073,0.020,0.090,0.090,
30-05 18:17:16,0.0,0.0,0.0,126537728.0,117841920.0,375525376.0,1477476352.0,0.0,0.0,0.0,110592.0,20.0,43.0,0.0,0.0,100.0,0.0,0.0,0.0,1074.0,1480.0,0.0,18.0,0.020,0.090,0.090,
30-05 18:17:17,1.0,0.0,1.0,127037440.0,117841920.0,375525376.0,1476976640.0,0.0,0.0,0.0,0.0,3240.0,3716.0,0.0,4.167,91.667,0.0,0.0,4.167,383847.0,1292081.0,0.0,0.0,0.020,0.090,0.090,
30-05 18:17:18,1.0,0.0,0.0,126914560.0,117841920.0,375525376.0,1477099520.0,0.0,0.0,0.0,0.0,8867.0,10791.0,3.125,14.583,68.750,0.0,0.0,13.542,1053210.0,3540279.0,0.0,0.0,0.020,0.090,0.090,
30-05 18:17:19,1.0,0.0,0.0,127139840.0,117841920.0,375525376.0,1476874240.0,0.0,0.0,0.0,0.0,8736.0,10726.0,1.075,11.828,75.269,0.0,0.0,11.828,1011156.0,3396275.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:20,1.0,0.0,0.0,127139840.0,117841920.0,375525376.0,1476874240.0,0.0,0.0,0.0,0.0,8643.0,10617.0,3.846,16.346,64.423,0.0,0.0,15.385,1032649.0,3468837.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:21,1.0,0.0,0.0,127332352.0,117841920.0,375525376.0,1476681728.0,0.0,0.0,0.0,24576.0,8890.0,10939.0,3.810,14.286,66.667,0.0,0.0,15.238,1028616.0,3456320.0,0.0,2.0,0.020,0.080,0.080,
30-05 18:17:22,0.0,0.0,0.0,127299584.0,117841920.0,375525376.0,1476714496.0,0.0,0.0,0.0,0.0,8864.0,10862.0,5.882,14.706,66.667,0.0,0.0,12.745,1047012.0,3518014.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:23,1.0,0.0,0.0,127328256.0,117841920.0,375525376.0,1476685824.0,0.0,0.0,0.0,0.0,8701.0,10643.0,2.970,13.861,68.317,0.0,0.0,14.851,1022624.0,3436096.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:24,1.0,0.0,0.0,127295488.0,117841920.0,375525376.0,1476718592.0,0.0,0.0,0.0,0.0,8672.0,10619.0,2.062,12.371,71.134,0.0,0.0,14.433,1019544.0,3428610.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:25,1.0,0.0,0.0,127524864.0,117841920.0,375525376.0,1476489216.0,0.0,0.0,0.0,0.0,8709.0,10617.0,1.042,10.417,71.875,0.0,0.0,16.667,1014535.0,3412961.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:26,1.0,0.0,0.0,127393792.0,117841920.0,375525376.0,1476620288.0,0.0,0.0,0.0,12288.0,8689.0,10642.0,1.010,13.131,69.697,0.0,0.0,16.162,1022470.0,3435618.0,0.0,2.0,0.020,0.080,0.080,
30-05 18:17:27,1.0,0.0,0.0,127721472.0,117841920.0,375525376.0,1476292608.0,0.0,0.0,0.0,0.0,8507.0,10526.0,1.980,13.861,67.327,0.0,0.0,16.832,1017090.0,3421564.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:28,1.0,0.0,0.0,127655936.0,117841920.0,375525376.0,1476358144.0,0.0,0.0,0.0,0.0,8824.0,10884.0,2.041,17.347,69.388,0.0,0.0,11.224,1050601.0,3527389.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:29,1.0,0.0,0.0,127717376.0,117841920.0,375525376.0,1476296704.0,0.0,0.0,0.0,0.0,8854.0,10846.0,2.970,14.851,67.327,0.0,0.0,14.851,1047856.0,3524764.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:30,1.0,0.0,0.0,127750144.0,117841920.0,375525376.0,1476263936.0,0.0,0.0,0.0,0.0,9045.0,11153.0,2.174,13.043,73.913,0.0,0.0,10.870,1065435.0,3581601.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:31,1.0,0.0,0.0,127909888.0,117841920.0,375525376.0,1476104192.0,0.0,0.0,0.0,16384.0,9103.0,11131.0,3.030,17.172,68.687,0.0,0.0,11.111,1068821.0,3595229.0,0.0,3.0,0.020,0.080,0.080,
30-05 18:17:32,1.0,0.0,0.0,127811584.0,117841920.0,375525376.0,1476202496.0,0.0,0.0,0.0,0.0,9017.0,10991.0,5.051,12.121,68.687,0.0,0.0,14.141,1063875.0,3574939.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:33,1.0,0.0,0.0,128004096.0,117841920.0,375525376.0,1476009984.0,0.0,0.0,0.0,0.0,8798.0,10831.0,1.031,17.526,70.103,0.0,0.0,11.340,1040740.0,3497436.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:34,1.0,0.0,0.0,128225280.0,117841920.0,375529472.0,1475784704.0,0.0,0.0,0.0,0.0,8976.0,10903.0,3.0,13.0,68.0,0.0,0.0,16.0,1062853.0,3571517.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:35,1.0,0.0,0.0,128196608.0,117841920.0,375529472.0,1475813376.0,0.0,0.0,0.0,0.0,8907.0,10903.0,1.020,12.245,69.388,0.0,0.0,17.347,1045539.0,3514051.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:36,1.0,0.0,0.0,128352256.0,117846016.0,375529472.0,1475653632.0,0.0,0.0,0.0,12288.0,9014.0,10917.0,2.0,17.0,68.0,0.0,0.0,13.0,1056892.0,3552790.0,0.0,2.0,0.020,0.080,0.080,
30-05 18:17:37,1.0,0.0,0.0,128221184.0,117846016.0,375529472.0,1475784704.0,0.0,0.0,0.0,0.0,9146.0,11137.0,2.128,11.702,72.340,0.0,0.0,13.830,1066377.0,3587895.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:38,1.0,0.0,0.0,128573440.0,117846016.0,375529472.0,1475432448.0,0.0,0.0,0.0,0.0,8515.0,10310.0,3.061,11.224,71.429,0.0,0.0,14.286,985746.0,3311978.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:39,1.0,0.0,0.0,128573440.0,117846016.0,375529472.0,1475432448.0,0.0,0.0,0.0,0.0,8863.0,10784.0,1.961,16.667,68.627,0.0,0.0,12.745,1027940.0,3453294.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:40,1.0,0.0,0.0,128634880.0,117846016.0,375529472.0,1475371008.0,0.0,0.0,0.0,0.0,8879.0,10768.0,2.941,17.647,66.667,0.0,0.0,12.745,1035577.0,3484541.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:41,1.0,0.0,0.0,128569344.0,117846016.0,375529472.0,1475436544.0,0.0,0.0,0.0,12288.0,8961.0,10929.0,2.020,13.131,70.707,0.0,0.0,14.141,1033077.0,3471857.0,0.0,2.0,0.020,0.080,0.080,
30-05 18:17:42,1.0,0.0,0.0,128761856.0,117846016.0,375529472.0,1475244032.0,0.0,0.0,0.0,0.0,8941.0,10880.0,2.041,15.306,70.408,0.0,0.0,12.245,1038857.0,3495209.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:43,1.0,0.0,0.0,128827392.0,117846016.0,375529472.0,1475178496.0,0.0,0.0,0.0,0.0,8984.0,11046.0,0.980,13.725,67.647,0.0,0.0,17.647,1055699.0,3547427.0,0.0,0.0,0.020,0.080,0.080,
30-05 18:17:44,0.0,0.0,0.0,128823296.0,117846016.0,375529472.0,1475182592.0,0.0,0.0,0.0,0.0,8962.0,10981.0,3.191,10.638,72.340,0.0,0.0,13.830,1062342.0,3569774.0,0.0,0.0,0.010,0.080,0.080,
30-05 18:17:45,1.0,0.0,0.0,128856064.0,117846016.0,375529472.0,1475149824.0,0.0,0.0,0.0,0.0,9017.0,11049.0,2.128,12.766,72.340,0.0,0.0,12.766,1054776.0,3545708.0,0.0,0.0,0.010,0.080,0.080,
30-05 18:17:46,1.0,0.0,0.0,129077248.0,117850112.0,375529472.0,1474924544.0,0.0,0.0,0.0,20480.0,8922.0,10955.0,3.030,14.141,69.697,0.0,0.0,13.131,1035997.0,3485159.0,0.0,3.0,0.010,0.080,0.080,
30-05 18:17:47,1.0,0.0,0.0,129044480.0,117850112.0,375529472.0,1474957312.0,0.0,0.0,0.0,0.0,8955.0,11076.0,3.061,16.327,68.367,0.0,0.0,12.245,1063364.0,3573220.0,0.0,0.0,0.010,0.080,0.080,
30-05 18:17:48,0.0,0.0,0.0,129171456.0,117850112.0,375529472.0,1474830336.0,0.0,0.0,0.0,0.0,8857.0,10783.0,3.030,14.141,68.687,0.0,0.0,14.141,1042201.0,3507680.0,0.0,0.0,0.010,0.080,0.080,
30-05 18:17:49,0.0,0.0,0.0,129138688.0,117850112.0,375529472.0,1474863104.0,0.0,0.0,0.0,0.0,8799.0,10741.0,2.105,10.526,72.632,0.0,0.0,14.737,1037114.0,3462708.0,0.0,0.0,0.010,0.080,0.080,
30-05 18:17:50,1.0,0.0,0.0,129331200.0,117850112.0,375529472.0,1474670592.0,0.0,0.0,0.0,0.0,8565.0,10460.0,2.083,12.500,71.875,0.0,0.0,13.542,1006330.0,3378367.0,0.0,0.0,0.010,0.080,0.080,
