"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c2.csv",,,,"Date:","30 May 2018 18:04:55 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
30-05 18:04:55,0.0,0.0,0.039,201318400.0,95039488.0,376455168.0,1424568320.0,0.0,0.0,730.157,2147.856,22.761,76.523,0.102,0.061,99.816,0.003,0.0,0.018,0.0,0.0,0.033,0.078,0.0,0.460,0.650,
30-05 18:04:56,0.0,0.0,0.0,201314304.0,95039488.0,376459264.0,1424568320.0,0.0,0.0,0.0,4096.0,41.0,89.0,0.0,0.0,100.0,0.0,0.0,0.0,180.0,1572.0,0.0,1.0,0.0,0.460,0.650,
30-05 18:04:57,0.0,0.0,0.0,201314304.0,95039488.0,376459264.0,1424568320.0,0.0,0.0,0.0,0.0,38.0,68.0,0.0,1.0,99.0,0.0,0.0,0.0,60.0,268.0,0.0,0.0,0.0,0.460,0.650,
30-05 18:04:58,3.0,0.0,2.0,201781248.0,95039488.0,376459264.0,1424101376.0,0.0,0.0,0.0,0.0,6124.0,29908.0,46.535,23.762,20.792,0.0,0.0,8.911,2447838.0,909594.0,0.0,0.0,0.0,0.460,0.650,
30-05 18:04:59,4.0,0.0,0.0,202432512.0,95039488.0,376459264.0,1423450112.0,0.0,0.0,0.0,0.0,8288.0,39426.0,57.0,31.0,0.0,0.0,0.0,12.0,3363888.0,1242138.0,0.0,0.0,0.0,0.460,0.650,
30-05 18:05:00,5.0,0.0,0.0,202846208.0,95039488.0,376459264.0,1423036416.0,0.0,0.0,0.0,0.0,8790.0,40965.0,57.0,27.0,0.0,0.0,0.0,16.0,3424521.0,1263799.0,0.0,0.0,0.080,0.470,0.650,
30-05 18:05:01,2.0,0.0,0.0,203571200.0,95039488.0,376459264.0,1422311424.0,0.0,0.0,0.0,57344.0,8395.0,38959.0,52.0,31.0,0.0,0.0,0.0,17.0,3282591.0,1215515.0,0.0,2.0,0.080,0.470,0.650,
30-05 18:05:02,7.0,0.0,0.0,204398592.0,95039488.0,376459264.0,1421484032.0,0.0,0.0,0.0,0.0,7890.0,37710.0,57.0,30.0,0.0,0.0,0.0,13.0,3244185.0,1204865.0,0.0,0.0,0.080,0.470,0.650,
30-05 18:05:03,3.0,0.0,0.0,204054528.0,95039488.0,376459264.0,1421828096.0,0.0,0.0,0.0,0.0,8278.0,40171.0,53.0,27.0,0.0,0.0,0.0,20.0,3396354.0,1247712.0,0.0,0.0,0.080,0.470,0.650,
30-05 18:05:04,5.0,0.0,0.0,203988992.0,95039488.0,376459264.0,1421893632.0,0.0,0.0,0.0,0.0,8618.0,40833.0,53.535,32.323,0.0,0.0,0.0,14.141,3505209.0,1288707.0,0.0,0.0,0.080,0.470,0.650,
30-05 18:05:05,5.0,0.0,0.0,203939840.0,95039488.0,376459264.0,1421942784.0,0.0,0.0,0.0,0.0,8519.0,40363.0,50.495,33.663,0.0,0.0,0.0,15.842,3490098.0,1287698.0,0.0,0.0,0.470,0.550,0.680,
30-05 18:05:06,3.0,0.0,0.0,203902976.0,95043584.0,376459264.0,1421975552.0,0.0,0.0,0.0,12288.0,8655.0,41622.0,57.0,26.0,0.0,0.0,0.0,17.0,3575325.0,1311385.0,0.0,2.0,0.470,0.550,0.680,
30-05 18:05:07,4.0,0.0,0.0,205324288.0,95043584.0,376459264.0,1420554240.0,0.0,0.0,0.0,0.0,8741.0,41502.0,57.426,30.693,0.0,0.0,0.0,11.881,3563193.0,1314413.0,0.0,0.0,0.470,0.550,0.680,
30-05 18:05:08,5.0,0.0,0.0,204062720.0,95043584.0,376459264.0,1421815808.0,0.0,0.0,0.0,0.0,8427.0,39744.0,58.586,26.263,0.0,0.0,0.0,15.152,3520143.0,1305903.0,0.0,0.0,0.470,0.550,0.680,
30-05 18:05:09,6.0,0.0,0.0,204161024.0,95043584.0,376459264.0,1421717504.0,0.0,0.0,0.0,0.0,8918.0,42481.0,46.0,35.0,0.0,0.0,0.0,19.0,3685383.0,1357389.0,0.0,0.0,0.470,0.550,0.680,
30-05 18:05:10,3.0,0.0,1.0,204226560.0,95043584.0,376459264.0,1421651968.0,0.0,0.0,0.0,0.0,9284.0,43000.0,54.0,31.0,0.0,0.0,0.0,15.0,3777765.0,1377513.0,0.0,0.0,0.680,0.590,0.690,
