


{'aluno': 'a25', 'origem': 'TP5', 'destino': 'TP6', 'data': 25000000000000}
{'aluno': 'a15', 'origem': 'TP6', 'destino': 'TP7', 'data': 15000000000000}
{'aluno': 'a21', 'origem': 'TP7', 'destino': 'TP4', 'data': 21000000000000}
{'aluno': 'a14', 'origem': 'TP4', 'destino': 'TP1', 'data': 14000000000000}
{'aluno': 'a1', 'origem': 'TP1', 'destino': 'TP2', 'data': 1000000000000}
{'aluno': 'a16', 'origem': 'TP2', 'destino': 'TP8', 'data': 16000000000000}
{'aluno': 'a27', 'origem': 'TP8', 'destino': 'TP3', 'data': 27000000000000}
{'aluno': 'a9', 'origem': 'TP3', 'destino': 'TP5', 'data': 9000000000000}



{'aluno': 'a736', 'origem': 'TP3', 'destino': 'TP2', 'data': 1000000000000}
{'aluno': 'a76', 'origem': 'TP2', 'destino': 'TP3', 'data': 1000000000000}



{'aluno': 'a1', 'origem': 'TP1', 'destino': 'TP2', 'data': 1000000000000}
{'aluno': 'a2', 'origem': 'TP2', 'destino': 'TP3', 'data': 2000000000000}
{'aluno': 'a5', 'origem': 'TP3', 'destino': 'TP1', 'data': 5000000000000}
