"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c256.csv",,,,"Date:","19 Jun 2018 22:00:28 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
19-06 22:00:28,0.0,0.0,0.038,195121152.0,161165312.0,681836544.0,1059258368.0,0.0,0.0,163.461,2438.044,40.113,50.627,0.046,0.064,99.843,0.001,0.0,0.045,0.0,0.0,0.009,0.080,0.130,0.300,0.270,
19-06 22:00:29,0.0,0.0,0.0,195117056.0,161165312.0,681840640.0,1059258368.0,0.0,0.0,0.0,0.0,21.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,390.0,1246.0,0.0,0.0,0.130,0.300,0.270,
19-06 22:00:30,0.0,0.0,0.0,195346432.0,161165312.0,681840640.0,1059028992.0,0.0,0.0,0.0,0.0,14.0,21.0,0.990,0.0,99.010,0.0,0.0,0.0,1566.0,574.0,0.0,0.0,0.130,0.300,0.270,
19-06 22:00:31,0.0,0.0,0.0,195313664.0,161165312.0,681840640.0,1059061760.0,0.0,0.0,0.0,28672.0,13.0,28.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,680.0,0.0,2.0,0.130,0.300,0.270,
19-06 22:00:32,1.0,0.0,1.0,199274496.0,161165312.0,681840640.0,1055100928.0,0.0,0.0,0.0,0.0,9391.0,9455.0,2.041,18.367,63.265,0.0,0.0,16.327,1766125.0,6195488.0,0.0,0.0,0.120,0.290,0.270,
19-06 22:00:33,0.0,0.0,0.0,199639040.0,161165312.0,681836544.0,1054740480.0,0.0,0.0,0.0,0.0,12064.0,12286.0,5.051,22.222,50.505,0.0,0.0,22.222,2517484.0,8525580.0,0.0,0.0,0.120,0.290,0.270,
19-06 22:00:34,0.0,0.0,0.0,199753728.0,161165312.0,681836544.0,1054625792.0,0.0,0.0,0.0,0.0,12365.0,12764.0,3.125,25.0,52.083,0.0,0.0,19.792,2535700.0,8563912.0,0.0,0.0,0.120,0.290,0.270,
19-06 22:00:35,1.0,0.0,0.0,200290304.0,161165312.0,681836544.0,1054089216.0,0.0,0.0,0.0,0.0,12369.0,12482.0,5.051,17.172,50.505,0.0,0.0,27.273,2541880.0,8697092.0,0.0,0.0,0.120,0.290,0.270,
19-06 22:00:36,1.0,0.0,0.0,200286208.0,161165312.0,681836544.0,1054093312.0,0.0,0.0,0.0,16384.0,11964.0,11924.0,5.319,20.213,51.064,0.0,0.0,23.404,2669469.0,9015486.0,0.0,2.0,0.120,0.290,0.270,
19-06 22:00:37,1.0,0.0,0.0,200568832.0,161165312.0,681836544.0,1053810688.0,0.0,0.0,0.0,0.0,11841.0,12372.0,3.061,22.449,52.041,0.0,0.0,22.449,2438114.0,8294404.0,0.0,0.0,0.190,0.300,0.270,
19-06 22:00:38,1.0,0.0,0.0,200630272.0,161165312.0,681836544.0,1053749248.0,0.0,0.0,0.0,0.0,11622.0,11872.0,3.061,27.551,50.0,0.0,0.0,19.388,2546994.0,8655546.0,0.0,0.0,0.190,0.300,0.270,
19-06 22:00:39,1.0,0.0,0.0,200904704.0,161165312.0,681836544.0,1053474816.0,0.0,0.0,0.0,0.0,11975.0,12570.0,7.143,19.388,52.041,0.0,0.0,21.429,2506499.0,8528110.0,0.0,0.0,0.190,0.300,0.270,
19-06 22:00:40,1.0,0.0,0.0,200990720.0,161165312.0,681836544.0,1053388800.0,0.0,0.0,0.0,0.0,11716.0,11665.0,4.082,20.408,48.980,0.0,0.0,26.531,2683114.0,9125972.0,0.0,0.0,0.190,0.300,0.270,
19-06 22:00:41,1.0,0.0,0.0,201158656.0,161165312.0,681836544.0,1053220864.0,0.0,0.0,0.0,12288.0,11902.0,11829.0,5.660,23.585,44.340,0.0,0.0,26.415,2626761.0,8920484.0,0.0,2.0,0.190,0.300,0.270,
19-06 22:00:42,1.0,0.0,0.0,201293824.0,161165312.0,681836544.0,1053085696.0,0.0,0.0,0.0,8192.0,11714.0,12071.0,5.882,25.490,47.059,0.0,0.0,21.569,2605584.0,8858596.0,0.0,2.0,0.250,0.320,0.280,
