"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c16.csv",,,,"Date:","19 Jun 2018 21:42:38 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
19-06 21:42:38,0.0,0.0,1.523,225107968.0,43053056.0,754356224.0,1074724864.0,0.0,0.0,21175.961,81323.214,3274.655,7650.568,4.197,3.246,92.528,0.024,0.0,0.005,3.823,2.743,90.973,0.017,0.0,2.444,0.0,0.0,1.106,1.180,2.210,2.690,1.990,
19-06 21:42:39,6.0,0.0,8.0,226058240.0,43053056.0,754360320.0,1073770496.0,0.0,0.0,0.0,0.0,18851.0,50530.0,27.835,18.557,53.608,0.0,0.0,0.0,22.222,18.182,42.424,0.0,0.0,17.172,4910030.0,1732930.0,0.0,0.0,2.270,2.690,2.0,
19-06 21:42:40,9.0,0.0,0.0,226545664.0,43053056.0,754360320.0,1073283072.0,0.0,0.0,0.0,0.0,29061.0,75704.0,49.038,26.923,24.038,0.0,0.0,0.0,34.0,24.0,14.0,0.0,0.0,28.0,7517270.0,2712626.0,0.0,0.0,2.270,2.690,2.0,
19-06 21:42:41,3.0,0.0,0.0,227180544.0,43053056.0,754360320.0,1072648192.0,0.0,0.0,0.0,0.0,29584.0,64502.0,44.898,28.571,26.531,0.0,0.0,0.0,24.742,26.804,23.711,0.0,0.0,24.742,7430126.0,2707566.0,0.0,0.0,2.270,2.690,2.0,
19-06 21:42:42,1.0,0.0,0.0,227086336.0,43053056.0,754360320.0,1072742400.0,0.0,0.0,0.0,0.0,27869.0,56214.0,41.837,23.469,34.694,0.0,0.0,0.0,28.421,25.263,23.158,0.0,0.0,23.158,6959522.0,2527309.0,0.0,0.0,2.270,2.690,2.0,
19-06 21:42:43,5.0,0.0,0.0,227188736.0,43053056.0,754360320.0,1072640000.0,0.0,0.0,0.0,0.0,28593.0,56391.0,46.875,20.833,32.292,0.0,0.0,0.0,25.0,26.0,23.0,0.0,0.0,26.0,7224782.0,2625009.0,0.0,0.0,2.270,2.690,2.0,
19-06 21:42:44,2.0,0.0,0.0,227246080.0,43061248.0,754360320.0,1072574464.0,0.0,0.0,0.0,32768.0,28786.0,55778.0,47.0,25.0,28.0,0.0,0.0,0.0,24.468,21.277,25.532,0.0,0.0,28.723,7176628.0,2611901.0,0.0,2.0,2.250,2.680,2.0,
19-06 21:42:45,9.0,0.0,0.0,227213312.0,43061248.0,754360320.0,1072607232.0,0.0,0.0,0.0,0.0,30057.0,60316.0,41.837,27.551,30.612,0.0,0.0,0.0,28.0,24.0,24.0,0.0,0.0,24.0,7223982.0,2614508.0,0.0,0.0,2.250,2.680,2.0,
19-06 21:42:46,3.0,0.0,0.0,226926592.0,43061248.0,754360320.0,1072893952.0,0.0,0.0,0.0,0.0,28880.0,57658.0,46.465,24.242,29.293,0.0,0.0,0.0,26.0,22.0,25.0,0.0,0.0,27.0,7066756.0,2569794.0,0.0,0.0,2.250,2.680,2.0,
19-06 21:42:47,2.0,0.0,0.0,227368960.0,43061248.0,754360320.0,1072451584.0,0.0,0.0,0.0,0.0,28234.0,56847.0,43.878,27.551,28.571,0.0,0.0,0.0,26.596,21.277,26.596,0.0,0.0,25.532,6853594.0,2501601.0,0.0,0.0,2.250,2.680,2.0,
