"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c128.csv",,,,"Date:","21 Jun 2018 01:28:03 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
21-06 01:28:03,0.000,0.0,0.149,527863808.0,122490880.0,655106048.0,791781376.0,0.0,0.0,4731.930,31148.874,1536.197,3966.744,5.130,1.689,93.169,0.009,0.0,0.002,4.905,1.454,92.471,0.005,0.0,1.165,0.0,0.0,0.249,0.481,0.140,1.030,1.300,
21-06 01:28:04,1.0,0.0,0.0,530100224.0,122490880.0,655110144.0,789540864.0,0.0,0.0,0.0,0.0,796.0,1520.0,18.0,0.0,82.0,0.0,0.0,0.0,10.0,1.0,88.0,0.0,0.0,1.0,1002032.0,72344.0,0.0,0.0,0.140,1.030,1.300,
21-06 01:28:05,2.0,0.0,0.0,531468288.0,122490880.0,655110144.0,788172800.0,0.0,0.0,0.0,0.0,3920.0,8472.0,85.714,2.041,12.245,0.0,0.0,0.0,52.0,5.0,38.0,0.0,0.0,5.0,1826702.0,294440.0,0.0,0.0,0.360,1.060,1.300,
21-06 01:28:06,2.0,0.0,0.0,533356544.0,122490880.0,655110144.0,786284544.0,0.0,0.0,0.0,0.0,4304.0,9840.0,93.0,2.0,5.0,0.0,0.0,0.0,71.717,9.091,16.162,0.0,0.0,3.030,2270702.0,375223.0,0.0,0.0,0.360,1.060,1.300,
21-06 01:28:07,2.0,0.0,0.0,533606400.0,122490880.0,655110144.0,786034688.0,0.0,0.0,0.0,0.0,4239.0,9428.0,95.960,2.020,2.020,0.0,0.0,0.0,60.606,8.081,25.253,0.0,0.0,6.061,2172804.0,350028.0,0.0,0.0,0.360,1.060,1.300,
21-06 01:28:08,2.0,0.0,0.0,534384640.0,122490880.0,655110144.0,785256448.0,0.0,0.0,0.0,0.0,4052.0,9562.0,87.629,2.062,10.309,0.0,0.0,0.0,67.0,10.0,21.0,0.0,0.0,2.0,2121722.0,351436.0,0.0,0.0,0.360,1.060,1.300,
21-06 01:28:09,2.0,0.0,0.0,534310912.0,122494976.0,655110144.0,785326080.0,0.0,0.0,0.0,28672.0,3853.0,10536.0,77.778,3.030,19.192,0.0,0.0,0.0,82.653,8.163,6.122,0.0,0.0,3.061,2166328.0,348281.0,0.0,2.0,0.360,1.060,1.300,
21-06 01:28:10,2.0,0.0,0.0,533549056.0,122494976.0,655110144.0,786087936.0,0.0,0.0,0.0,0.0,3576.0,9409.0,83.0,4.0,13.0,0.0,0.0,0.0,73.267,6.931,15.842,0.0,0.0,3.960,1994896.0,337450.0,0.0,0.0,0.500,1.080,1.310,
21-06 01:28:11,2.0,0.0,0.0,534458368.0,122494976.0,655110144.0,785178624.0,0.0,0.0,0.0,0.0,4375.0,9530.0,84.694,5.102,10.204,0.0,0.0,0.0,68.687,11.111,16.162,0.0,0.0,4.040,2043290.0,341624.0,0.0,0.0,0.500,1.080,1.310,
21-06 01:28:12,2.0,0.0,0.0,535134208.0,122494976.0,655110144.0,784502784.0,0.0,0.0,0.0,0.0,4619.0,10003.0,82.828,4.040,13.131,0.0,0.0,0.0,75.510,6.122,13.265,0.0,0.0,5.102,2175006.0,369450.0,0.0,0.0,0.500,1.080,1.310,
