"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c128.csv",,,,"Date:","21 Jun 2018 15:34:45 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
21-06 15:34:45,0.0,0.0,0.039,195248128.0,161529856.0,688107520.0,1052495872.0,0.0,0.0,154.003,2492.789,66.515,80.287,0.054,0.100,99.761,0.001,0.0,0.083,0.0,0.0,0.009,0.083,0.020,0.030,0.0,
21-06 15:34:46,0.0,0.0,1.0,195682304.0,161529856.0,688111616.0,1052057600.0,0.0,0.0,0.0,0.0,156.0,86.0,1.010,0.0,98.990,0.0,0.0,0.0,54519.0,644080.0,0.0,0.0,0.020,0.030,0.0,
21-06 15:34:47,0.0,0.0,0.0,195547136.0,161529856.0,688115712.0,1052188672.0,0.0,0.0,0.0,0.0,63.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,11729.0,4006.0,0.0,0.0,0.020,0.030,0.0,
21-06 15:34:48,0.0,0.0,0.0,195547136.0,161529856.0,688115712.0,1052188672.0,0.0,0.0,0.0,0.0,19.0,34.0,1.0,0.0,99.0,0.0,0.0,0.0,60.0,680.0,0.0,0.0,0.020,0.030,0.0,


"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c128.csv",,,,"Date:","21 Jun 2018 15:34:54 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
21-06 15:34:54,0.0,0.0,0.039,195362816.0,161529856.0,688115712.0,1052372992.0,0.0,0.0,154.002,2492.808,66.514,80.287,0.054,0.100,99.761,0.001,0.0,0.083,0.0,0.0,0.009,0.083,0.020,0.030,0.0,
21-06 15:34:55,0.0,0.0,3.0,198549504.0,161529856.0,688115712.0,1049186304.0,0.0,0.0,0.0,0.0,360.0,446.0,0.0,1.020,98.980,0.0,0.0,0.0,58050.0,965173.0,0.0,0.0,0.020,0.030,0.0,
21-06 15:34:56,0.0,0.0,0.0,198160384.0,161529856.0,688111616.0,1049579520.0,0.0,0.0,0.0,0.0,2385.0,2865.0,1.923,3.846,88.462,0.0,0.0,5.769,271336.0,2554134.0,0.0,0.0,0.010,0.030,0.0,
21-06 15:34:57,1.0,0.0,2.0,198238208.0,161529856.0,688111616.0,1049501696.0,0.0,0.0,0.0,0.0,2150.0,2618.0,1.961,4.902,89.216,0.0,0.0,3.922,261443.0,2435615.0,0.0,0.0,0.010,0.030,0.0,
21-06 15:34:58,0.0,0.0,0.0,198205440.0,161529856.0,688111616.0,1049534464.0,0.0,0.0,0.0,0.0,2345.0,2866.0,0.990,3.960,91.089,0.0,0.0,3.960,273252.0,2584968.0,0.0,0.0,0.010,0.030,0.0,
21-06 15:34:59,0.0,0.0,0.0,198139904.0,161529856.0,688111616.0,1049600000.0,0.0,0.0,0.0,0.0,2212.0,2691.0,1.0,4.0,92.0,0.0,0.0,3.0,260493.0,2444436.0,0.0,0.0,0.010,0.030,0.0,
21-06 15:35:00,0.0,0.0,0.0,198172672.0,161529856.0,688111616.0,1049567232.0,0.0,0.0,0.0,28672.0,2220.0,2713.0,0.980,3.922,91.176,0.0,0.0,3.922,254686.0,2417322.0,0.0,2.0,0.010,0.030,0.0,
21-06 15:35:01,0.0,0.0,0.0,198238208.0,161529856.0,688111616.0,1049501696.0,0.0,0.0,0.0,0.0,2291.0,2849.0,0.0,3.030,92.929,0.0,0.0,4.040,266244.0,2529246.0,0.0,0.0,0.010,0.030,0.0,
21-06 15:35:02,1.0,0.0,0.0,198172672.0,161529856.0,688111616.0,1049567232.0,0.0,0.0,0.0,0.0,2046.0,2512.0,0.0,2.041,95.918,0.0,0.0,2.041,232619.0,2193894.0,0.0,0.0,0.010,0.030,0.0,
21-06 15:35:03,0.0,0.0,0.0,198270976.0,161529856.0,688111616.0,1049468928.0,0.0,0.0,0.0,0.0,2011.0,2426.0,1.010,2.020,93.939,0.0,0.0,3.030,225331.0,2101500.0,0.0,0.0,0.010,0.030,0.0,
21-06 15:35:04,1.0,0.0,0.0,198172672.0,161529856.0,688111616.0,1049567232.0,0.0,0.0,0.0,0.0,2270.0,2780.0,1.0,3.0,92.0,0.0,0.0,4.0,263757.0,2489686.0,0.0,0.0,0.010,0.030,0.0,
21-06 15:35:05,0.0,0.0,0.0,198303744.0,161529856.0,688111616.0,1049436160.0,0.0,0.0,0.0,12288.0,2323.0,2800.0,1.980,2.970,91.089,0.0,0.0,3.960,273101.0,2574718.0,0.0,2.0,0.010,0.030,0.0,
21-06 15:35:06,0.0,0.0,0.0,198270976.0,161529856.0,688111616.0,1049468928.0,0.0,0.0,0.0,0.0,2112.0,2564.0,0.0,3.061,94.898,0.0,0.0,2.041,246487.0,2324926.0,0.0,0.0,0.010,0.030,0.0,
