"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c1.csv",,,,"Date:","21 Jun 2018 01:50:08 UTC"


"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c1.csv",,,,"Date:","21 Jun 2018 01:50:28 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
21-06 01:50:28,0.0,0.0,0.148,300859392.0,123854848.0,655470592.0,1017057280.0,0.0,0.0,4663.625,30765.445,1548.219,3991.351,5.728,1.703,92.558,0.009,0.0,0.002,5.476,1.479,91.859,0.004,0.0,1.182,0.0,0.0,0.245,0.482,0.160,0.580,1.020,
21-06 01:50:29,1.0,0.0,0.0,302632960.0,123854848.0,655470592.0,1015283712.0,0.0,0.0,0.0,0.0,1502.0,4051.0,34.694,1.020,64.286,0.0,0.0,0.0,28.0,4.0,66.0,0.0,0.0,2.0,500460.0,81039.0,0.0,0.0,0.160,0.580,1.020,
21-06 01:50:30,3.0,0.0,0.0,304062464.0,123854848.0,655470592.0,1013854208.0,0.0,0.0,0.0,0.0,3289.0,8278.0,56.566,2.020,41.414,0.0,0.0,0.0,56.566,5.051,37.374,0.0,0.0,1.010,1098238.0,191331.0,0.0,0.0,0.150,0.570,1.020,
21-06 01:50:31,1.0,0.0,0.0,305778688.0,123854848.0,655470592.0,1012137984.0,0.0,0.0,0.0,0.0,3681.0,8915.0,45.833,4.167,50.0,0.0,0.0,0.0,47.917,4.167,43.750,0.0,0.0,4.167,1214320.0,208105.0,0.0,0.0,0.150,0.570,1.020,
21-06 01:50:32,3.0,0.0,1.0,306458624.0,123854848.0,655470592.0,1011458048.0,0.0,0.0,0.0,0.0,3500.0,8654.0,52.885,4.808,41.346,0.0,0.0,0.962,56.122,3.061,36.735,0.0,0.0,4.082,1211804.0,207084.0,0.0,0.0,0.150,0.570,1.020,
21-06 01:50:33,2.0,0.0,2.0,307093504.0,123854848.0,655470592.0,1010823168.0,0.0,0.0,0.0,0.0,3375.0,9017.0,57.426,6.931,35.644,0.0,0.0,0.0,55.556,2.020,41.414,0.0,0.0,1.010,1210181.0,217076.0,0.0,0.0,0.150,0.570,1.020,
21-06 01:50:34,2.0,0.0,0.0,307380224.0,123854848.0,655470592.0,1010536448.0,0.0,0.0,0.0,20480.0,3312.0,8438.0,53.922,6.863,39.216,0.0,0.0,0.0,52.128,3.191,42.553,0.0,0.0,2.128,1176044.0,201934.0,0.0,2.0,0.150,0.570,1.020,
21-06 01:50:35,4.0,0.0,0.0,307539968.0,123854848.0,655470592.0,1010376704.0,0.0,0.0,0.0,0.0,3417.0,8632.0,57.732,3.093,39.175,0.0,0.0,0.0,51.042,2.083,44.792,0.0,0.0,2.083,1208842.0,211110.0,0.0,0.0,0.300,0.590,1.020,
21-06 01:50:36,2.0,0.0,0.0,307662848.0,123854848.0,655474688.0,1010249728.0,0.0,0.0,0.0,0.0,3513.0,9188.0,55.446,6.931,37.624,0.0,0.0,0.0,35.644,2.970,57.426,0.0,0.0,3.960,1271200.0,220940.0,0.0,0.0,0.300,0.590,1.020,
21-06 01:50:37,4.0,0.0,0.0,307531776.0,123854848.0,655474688.0,1010380800.0,0.0,0.0,0.0,0.0,3335.0,8715.0,51.546,2.062,45.361,0.0,0.0,1.031,61.0,4.0,33.0,0.0,0.0,2.0,1268502.0,218283.0,0.0,0.0,0.300,0.590,1.020,
21-06 01:50:38,0.0,0.0,0.0,307855360.0,123854848.0,655474688.0,1010057216.0,0.0,0.0,0.0,0.0,3615.0,9185.0,38.614,1.980,58.416,0.0,0.0,0.990,52.041,8.163,37.755,0.0,0.0,2.041,1275142.0,232404.0,0.0,0.0,0.300,0.590,1.020,
21-06 01:50:39,3.0,0.0,0.0,307757056.0,123854848.0,655474688.0,1010155520.0,0.0,0.0,0.0,0.0,3822.0,9354.0,40.404,2.020,56.566,0.0,0.0,1.010,51.0,5.0,44.0,0.0,0.0,0.0,1310922.0,225977.0,0.0,0.0,0.300,0.590,1.020,
21-06 01:50:40,2.0,0.0,0.0,307941376.0,123858944.0,655474688.0,1009967104.0,0.0,0.0,0.0,12288.0,3554.0,9426.0,33.333,2.941,62.745,0.0,0.0,0.980,60.606,3.030,31.313,0.0,0.0,5.051,1284020.0,234357.0,0.0,2.0,0.430,0.620,1.030,
21-06 01:50:41,1.0,0.0,0.0,307908608.0,123858944.0,655474688.0,1009999872.0,0.0,0.0,0.0,0.0,3799.0,9838.0,36.0,3.0,61.0,0.0,0.0,0.0,56.566,8.081,33.333,0.0,0.0,2.020,1327280.0,246149.0,0.0,0.0,0.430,0.620,1.030,
21-06 01:50:42,3.0,0.0,0.0,308232192.0,123858944.0,655474688.0,1009676288.0,0.0,0.0,0.0,0.0,3814.0,9074.0,47.525,0.990,50.495,0.0,0.0,0.990,43.434,4.040,50.505,0.0,0.0,2.020,1309198.0,224192.0,0.0,0.0,0.430,0.620,1.030,
21-06 01:50:43,4.0,0.0,0.0,308035584.0,123858944.0,655474688.0,1009872896.0,0.0,0.0,0.0,0.0,3520.0,9271.0,46.465,2.020,51.515,0.0,0.0,0.0,55.556,4.040,39.394,0.0,0.0,1.010,1299952.0,228694.0,0.0,0.0,0.430,0.620,1.030,
21-06 01:50:44,2.0,0.0,0.0,308641792.0,123858944.0,655474688.0,1009266688.0,0.0,0.0,0.0,8192.0,3462.0,9049.0,37.895,3.158,58.947,0.0,0.0,0.0,55.556,8.081,33.333,0.0,0.0,3.030,1335022.0,234985.0,0.0,1.0,0.430,0.620,1.030,
21-06 01:50:45,4.0,0.0,0.0,311083008.0,123858944.0,655474688.0,1006825472.0,0.0,0.0,0.0,0.0,3475.0,9055.0,47.959,3.061,48.980,0.0,0.0,0.0,57.426,6.931,32.673,0.0,0.0,2.970,1311846.0,225233.0,0.0,0.0,0.640,0.660,1.040,
21-06 01:50:46,3.0,0.0,0.0,311140352.0,123867136.0,655474688.0,1006759936.0,0.0,0.0,0.0,24576.0,3503.0,9476.0,36.893,0.0,63.107,0.0,0.0,0.0,56.250,4.167,39.583,0.0,0.0,0.0,1329174.0,242222.0,0.0,3.0,0.640,0.660,1.040,
21-06 01:50:47,2.0,0.0,0.0,308375552.0,123867136.0,655474688.0,1009524736.0,0.0,0.0,0.0,0.0,3591.0,9503.0,33.333,4.040,61.616,0.0,0.0,1.010,56.122,5.102,36.735,0.0,0.0,2.041,1357562.0,246319.0,0.0,0.0,0.640,0.660,1.040,
21-06 01:50:48,2.0,0.0,0.0,308506624.0,123867136.0,655474688.0,1009393664.0,0.0,0.0,0.0,0.0,3398.0,9217.0,38.776,4.082,57.143,0.0,0.0,0.0,46.0,4.0,45.0,0.0,0.0,5.0,1317608.0,228913.0,0.0,0.0,0.640,0.660,1.040,
21-06 01:50:49,2.0,0.0,0.0,308666368.0,123867136.0,655474688.0,1009233920.0,0.0,0.0,0.0,61440.0,3538.0,9310.0,51.0,5.0,44.0,0.0,0.0,0.0,35.354,5.051,58.586,0.0,0.0,1.010,1330116.0,223914.0,0.0,8.0,0.640,0.660,1.040,
21-06 01:50:50,3.0,0.0,0.0,308600832.0,123867136.0,655474688.0,1009299456.0,0.0,0.0,0.0,0.0,3674.0,8724.0,54.545,2.020,43.434,0.0,0.0,0.0,44.330,2.062,52.577,0.0,0.0,1.031,1325694.0,222998.0,0.0,0.0,0.590,0.640,1.030,
21-06 01:50:51,2.0,0.0,0.0,308920320.0,123867136.0,655474688.0,1008979968.0,0.0,0.0,0.0,0.0,3553.0,8932.0,45.098,4.902,50.0,0.0,0.0,0.0,54.0,4.0,39.0,0.0,0.0,3.0,1281338.0,219402.0,0.0,0.0,0.590,0.640,1.030,
21-06 01:50:52,2.0,0.0,0.0,311226368.0,123875328.0,655474688.0,1006665728.0,0.0,0.0,0.0,45056.0,3430.0,9132.0,54.167,3.125,42.708,0.0,0.0,0.0,65.0,3.0,30.0,0.0,0.0,2.0,1332420.0,222537.0,0.0,3.0,0.590,0.640,1.030,
21-06 01:50:53,2.0,0.0,0.0,315355136.0,123875328.0,655474688.0,1002536960.0,0.0,0.0,0.0,0.0,3496.0,9074.0,49.020,6.863,44.118,0.0,0.0,0.0,59.375,3.125,33.333,0.0,0.0,4.167,1358210.0,219106.0,0.0,0.0,0.590,0.640,1.030,
21-06 01:50:54,4.0,0.0,0.0,315547648.0,123875328.0,655474688.0,1002344448.0,0.0,0.0,0.0,0.0,3633.0,8954.0,35.052,6.186,58.763,0.0,0.0,0.0,48.485,4.040,45.455,0.0,0.0,2.020,1344650.0,220380.0,0.0,0.0,0.590,0.640,1.030,
21-06 01:50:55,3.0,0.0,0.0,315379712.0,123875328.0,655478784.0,1002508288.0,0.0,0.0,0.0,0.0,3911.0,9629.0,42.708,7.292,50.0,0.0,0.0,0.0,40.0,2.0,55.0,0.0,0.0,3.0,1369490.0,235162.0,0.0,0.0,0.700,0.670,1.040,
21-06 01:50:56,2.0,0.0,0.0,315506688.0,123875328.0,655478784.0,1002381312.0,0.0,0.0,0.0,0.0,3654.0,9080.0,40.206,5.155,54.639,0.0,0.0,0.0,50.495,1.980,44.554,0.0,0.0,2.970,1355726.0,230305.0,0.0,0.0,0.700,0.670,1.040,
21-06 01:50:57,3.0,0.0,0.0,313827328.0,123883520.0,655470592.0,1004060672.0,0.0,0.0,0.0,16384.0,3441.0,9232.0,46.535,9.901,43.564,0.0,0.0,0.0,34.0,3.0,59.0,0.0,0.0,4.0,1308716.0,233611.0,0.0,2.0,0.700,0.670,1.040,
21-06 01:50:58,2.0,0.0,0.0,313819136.0,123883520.0,655478784.0,1004060672.0,0.0,0.0,0.0,0.0,3485.0,9002.0,55.0,5.0,40.0,0.0,0.0,0.0,34.0,1.0,62.0,0.0,0.0,3.0,1265068.0,231115.0,0.0,0.0,0.700,0.670,1.040,
21-06 01:50:59,2.0,0.0,0.0,313880576.0,123883520.0,655478784.0,1003999232.0,0.0,0.0,0.0,0.0,3459.0,9433.0,60.396,7.921,31.683,0.0,0.0,0.0,27.451,1.961,67.647,0.0,0.0,2.941,1286720.0,243450.0,0.0,0.0,0.700,0.670,1.040,
21-06 01:51:00,2.0,0.0,0.0,314138624.0,123883520.0,655478784.0,1003741184.0,0.0,0.0,0.0,0.0,3433.0,9745.0,54.545,6.061,39.394,0.0,0.0,0.0,33.663,2.970,59.406,0.0,0.0,3.960,1312708.0,242906.0,0.0,0.0,0.730,0.670,1.040,
21-06 01:51:01,2.0,0.0,0.0,314167296.0,123883520.0,655478784.0,1003712512.0,0.0,0.0,0.0,0.0,3796.0,9814.0,41.237,6.186,52.577,0.0,0.0,0.0,39.394,7.071,51.515,0.0,0.0,2.020,1347782.0,244874.0,0.0,0.0,0.730,0.670,1.040,
