"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c128.csv",,,,"Date:","21 Jun 2018 15:34:45 UTC"

"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c128.csv",,,,"Date:","21 Jun 2018 15:34:54 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
21-06 15:34:54,0.0,0.0,0.116,427753472.0,132571136.0,665513984.0,871403520.0,0.0,0.0,3047.094,20466.353,1070.015,2742.800,4.608,1.181,94.204,0.006,0.0,0.002,4.423,1.055,93.694,0.004,0.0,0.824,0.0,0.0,0.160,0.369,1.660,2.970,2.370,
21-06 15:34:55,4.0,0.0,0.0,431775744.0,132571136.0,665513984.0,867381248.0,0.0,0.0,0.0,0.0,2402.0,5927.0,51.515,1.010,47.475,0.0,0.0,0.0,47.0,4.0,47.0,0.0,0.0,2.0,2029236.0,227084.0,0.0,0.0,1.660,2.970,2.370,
21-06 15:34:56,2.0,0.0,0.0,431599616.0,132571136.0,665513984.0,867557376.0,0.0,0.0,0.0,0.0,4245.0,10214.0,92.929,3.030,4.040,0.0,0.0,0.0,84.694,9.184,1.020,0.0,0.0,5.102,2454858.0,397017.0,0.0,0.0,1.660,2.970,2.370,
21-06 15:34:57,5.0,0.0,0.0,434094080.0,132571136.0,665513984.0,865062912.0,0.0,0.0,0.0,0.0,4440.0,10075.0,90.909,7.071,2.020,0.0,0.0,0.0,82.0,10.0,1.0,0.0,0.0,7.0,2504660.0,404713.0,0.0,0.0,1.660,2.970,2.370,
21-06 15:34:58,4.0,0.0,0.0,434880512.0,132571136.0,665513984.0,864276480.0,0.0,0.0,0.0,0.0,4519.0,9887.0,94.949,3.030,2.020,0.0,0.0,0.0,82.828,9.091,1.010,0.0,0.0,7.071,2554778.0,424019.0,0.0,0.0,1.660,2.970,2.370,
21-06 15:34:59,4.0,0.0,0.0,433868800.0,132571136.0,665513984.0,865288192.0,0.0,0.0,0.0,0.0,4390.0,10153.0,93.878,4.082,2.041,0.0,0.0,0.0,84.848,8.081,0.0,0.0,0.0,7.071,2580378.0,406819.0,0.0,0.0,1.850,2.990,2.380,
21-06 15:35:00,4.0,0.0,0.0,432123904.0,132575232.0,665513984.0,867028992.0,0.0,0.0,0.0,16384.0,4235.0,10066.0,92.0,5.0,3.0,0.0,0.0,0.0,83.0,10.0,2.0,0.0,0.0,5.0,2329430.0,375737.0,0.0,2.0,1.850,2.990,2.380,
21-06 15:35:01,7.0,0.0,0.0,431370240.0,132575232.0,665513984.0,867782656.0,0.0,0.0,0.0,0.0,4141.0,10429.0,93.878,4.082,2.041,0.0,0.0,0.0,80.0,11.0,2.0,0.0,0.0,7.0,2484928.0,404174.0,0.0,0.0,1.850,2.990,2.380,
21-06 15:35:02,4.0,0.0,0.0,433524736.0,132575232.0,665513984.0,865628160.0,0.0,0.0,0.0,0.0,3270.0,8396.0,95.0,3.0,2.0,0.0,0.0,0.0,80.0,14.0,1.0,0.0,0.0,5.0,2051416.0,347532.0,0.0,0.0,1.850,2.990,2.380,
21-06 15:35:03,5.0,0.0,0.0,433889280.0,132575232.0,665513984.0,865263616.0,0.0,0.0,0.0,0.0,3780.0,9362.0,95.918,2.041,2.041,0.0,0.0,0.0,83.838,10.101,1.010,0.0,0.0,5.051,2377714.0,379038.0,0.0,0.0,1.850,2.990,2.380,
