"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor",,,,"User:","root"
"Cmdline:","dstat -c --output dstat4.txt",,,,"Date:","14 May 2018 17:02:28 UTC"

"total cpu usage",,,,,
"usr","sys","idl","wai","hiq","siq"
7.662,5.132,84.849,0.033,0.0,2.324
20.202,14.646,60.606,0.0,0.0,4.545
40.0,25.128,24.615,0.0,0.0,10.256
39.378,20.725,23.834,0.0,0.0,16.062
36.453,27.586,25.616,0.0,0.0,10.345
32.995,22.843,31.472,0.0,0.0,12.690
33.679,26.425,27.979,0.0,0.0,11.917
36.649,23.560,27.225,0.0,0.0,12.565
37.824,23.316,29.016,0.0,0.0,9.845
30.693,23.762,31.188,0.0,0.0,14.356
32.143,26.020,31.633,0.0,0.0,10.204
32.143,26.020,30.612,0.0,0.0,11.224
29.851,24.876,31.841,0.0,0.0,13.433
32.161,23.618,30.653,0.0,0.0,13.568
37.879,22.727,29.293,0.0,0.0,10.101
29.268,26.829,30.244,0.0,0.0,13.659
10.101,9.091,77.778,0.0,0.0,3.030
33.831,23.383,33.333,0.0,0.0,9.453
20.588,12.745,54.412,0.0,0.0,12.255
9.091,6.566,80.303,0.0,0.0,4.040
10.0,6.500,79.500,0.0,0.0,4.0
0.0,0.500,99.500,0.0,0.0,0.0
10.0,8.500,79.0,0.0,0.0,2.500
21.429,17.857,52.551,0.0,0.0,8.163
21.393,13.433,58.706,0.0,0.0,6.468
11.111,8.586,75.758,0.0,0.0,4.545
12.060,6.533,77.387,0.0,0.0,4.020
13.776,9.184,72.449,0.0,0.0,4.592
26.531,20.408,45.918,0.0,0.0,7.143
14.213,11.168,69.543,0.0,0.0,5.076
8.824,6.863,80.882,0.0,0.0,3.431
35.644,27.228,25.743,0.0,0.0,11.386
0.0,0.0,100.0,0.0,0.0,0.0
11.0,8.0,76.500,0.0,0.0,4.500
12.060,9.045,73.367,0.0,0.0,5.528
28.856,18.905,44.279,0.0,0.0,7.960
31.472,20.305,41.117,0.0,0.0,7.107
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
8.081,9.091,79.798,0.0,0.0,3.030
0.0,0.0,100.0,0.0,0.0,0.0
12.438,7.463,76.119,0.0,0.0,3.980
25.641,16.410,49.744,0.0,0.0,8.205
19.289,12.183,61.421,0.0,0.0,7.107
12.438,10.945,73.134,0.0,0.0,3.483
19.598,16.583,57.286,0.0,0.0,6.533
10.660,6.599,79.695,0.0,0.0,3.046
11.558,7.035,77.889,0.0,0.0,3.518
34.694,23.469,31.633,0.0,0.0,10.204
39.286,22.449,26.020,0.0,0.0,12.245
36.548,25.381,25.381,0.0,0.0,12.690
36.634,18.812,29.703,0.0,0.0,14.851
21.320,15.228,54.822,0.0,0.0,8.629
28.788,19.697,42.929,0.0,0.0,8.586
14.070,9.045,72.864,0.0,0.0,4.020
12.690,5.584,77.665,0.0,0.0,4.061
23.711,13.918,54.639,0.0,0.0,7.732
21.939,12.755,57.143,0.0,0.0,8.163
37.438,24.631,25.616,0.0,0.0,12.315
38.693,23.116,24.121,0.0,0.0,14.070
36.0,27.0,24.0,0.0,0.0,13.0
39.604,24.752,23.762,0.0,0.0,11.881
36.082,23.711,27.835,0.0,0.0,12.371
37.811,22.886,25.373,0.0,0.0,13.930
38.579,24.873,24.873,0.0,0.0,11.675
39.500,24.0,24.500,0.0,0.0,12.0
38.144,21.649,27.835,0.0,0.0,12.371
37.949,24.103,25.641,0.0,0.0,12.308
41.748,22.816,24.757,0.0,0.0,10.680
40.206,23.196,24.742,0.0,0.0,11.856
36.649,27.225,25.654,0.0,0.0,10.471
39.698,25.628,25.126,0.0,0.0,9.548
37.629,23.711,26.289,0.0,0.0,12.371
37.824,24.352,25.907,0.0,0.0,11.917
37.864,26.214,25.243,0.0,0.0,10.680
36.869,24.747,26.263,0.0,0.0,12.121
16.080,11.558,66.332,0.0,0.0,6.030
32.500,21.0,34.500,0.0,0.0,12.0
0.0,0.0,100.0,0.0,0.0,0.0
18.687,16.162,57.576,0.0,0.0,7.576
20.918,11.224,60.714,0.0,0.0,7.143
21.717,16.162,54.040,0.0,0.0,8.081
37.688,24.623,23.116,0.0,0.0,14.573
16.915,10.448,67.662,0.0,0.0,4.975
0.0,0.0,100.0,0.0,0.0,0.0
10.945,7.463,77.114,0.0,0.0,4.478
17.588,9.045,69.347,0.0,0.0,4.020
39.487,22.051,25.641,0.0,0.0,12.821
40.0,23.590,25.128,0.0,0.0,11.282
35.533,27.919,25.381,0.0,0.0,11.168
35.859,24.747,26.263,0.0,0.0,13.131
39.286,23.980,25.0,0.0,0.0,11.735
36.0,24.0,25.0,0.0,0.0,15.0
35.385,27.179,27.692,0.0,0.0,9.744
29.082,23.469,37.755,0.0,0.0,9.694
7.035,6.030,83.920,0.0,0.0,3.015
3.960,4.455,90.594,0.0,0.0,0.990
0.0,0.0,100.0,0.0,0.0,0.0
3.960,4.950,88.614,0.0,0.0,2.475
6.599,2.538,88.832,0.0,0.0,2.030
17.413,9.950,68.159,0.0,0.0,4.478
21.717,10.101,63.636,0.0,0.0,4.545
14.573,10.050,74.372,0.0,0.0,1.005
0.0,0.0,100.0,0.0,0.0,0.0
13.065,7.035,76.884,0.0,0.0,3.015
10.606,8.081,77.273,0.0,0.0,4.040
0.0,0.0,100.0,0.0,0.0,0.0
28.358,17.910,45.274,0.0,0.0,8.458
37.0,26.0,22.500,0.0,0.0,14.500
40.299,23.881,21.891,0.0,0.0,13.930
35.784,28.431,23.039,0.0,0.0,12.745
38.191,25.126,23.116,0.0,0.0,13.568
40.933,23.834,24.352,0.0,0.0,10.881
20.603,12.563,61.307,0.0,0.0,5.528
0.0,0.0,100.0,0.0,0.0,0.0
10.714,7.143,79.592,0.0,0.0,2.551
7.538,5.528,84.925,0.0,0.0,2.010
3.500,2.0,93.500,0.0,0.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.498,99.502,0.0,0.0,0.0
37.313,23.383,29.851,0.0,0.0,9.453
21.827,13.198,59.898,0.0,0.0,5.076
32.673,23.267,32.673,0.0,0.0,11.386
8.586,4.545,84.848,0.0,0.0,2.020
17.0,11.500,64.0,0.0,0.0,7.500
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.498,99.502,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.498,0.0,99.502,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,99.502,0.498,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.503,0.0,99.497,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.990,0.990,98.020,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.498,0.0,99.502,0.0,0.0,0.0
0.498,0.0,99.502,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0


"Host:","Servidor",,,,"User:","root"
"Cmdline:","dstat -c --output dstat4.txt",,,,"Date:","14 May 2018 17:06:13 UTC"

"total cpu usage",,,,,
"usr","sys","idl","wai","hiq","siq"
7.894,5.287,84.380,0.031,0.0,2.409
0.0,0.0,100.0,0.0,0.0,0.0
33.0,22.0,36.0,0.0,0.0,9.0
39.801,26.866,24.876,0.0,0.0,8.458
37.500,24.500,26.0,0.0,0.0,12.0
37.949,26.667,23.077,0.0,0.0,12.308
37.056,28.426,21.827,0.0,0.0,12.690
34.518,31.980,22.335,0.0,0.0,11.168
43.434,24.747,22.222,0.0,0.0,9.596
37.186,28.141,22.613,0.0,0.0,12.060
39.086,28.426,21.320,0.0,0.0,11.168
36.765,27.941,24.510,0.0,0.0,10.784
38.342,22.798,26.943,0.0,0.0,11.917
39.175,22.680,26.289,0.0,0.0,11.856
36.548,25.381,26.396,0.0,0.0,11.675
34.826,27.861,24.876,0.0,0.0,12.438
37.0,26.500,26.500,0.0,0.0,10.0
37.949,29.231,25.641,0.0,0.0,7.179
42.079,25.743,21.782,0.0,0.0,10.396
38.021,25.521,23.958,0.0,0.0,12.500
37.624,26.733,24.257,0.0,0.0,11.386
39.286,23.469,26.020,0.0,0.0,11.224
37.245,26.531,25.0,0.0,0.0,11.224
36.979,22.396,27.083,0.0,0.0,13.542
40.099,22.277,25.743,0.0,0.0,11.881
36.364,25.758,26.768,0.0,0.0,11.111
38.462,25.641,26.667,0.0,0.0,9.231
59.391,22.335,8.122,0.0,0.0,10.152
40.816,24.490,21.939,0.0,0.0,12.755
37.629,26.289,25.258,0.0,0.0,10.825
38.693,24.623,27.136,0.0,0.0,9.548
37.173,23.037,28.796,0.0,0.0,10.995
37.563,24.365,28.426,0.0,0.0,9.645
35.323,26.866,27.363,0.0,0.0,10.448
38.265,22.959,29.082,0.0,0.0,9.694
39.594,24.365,25.381,0.0,0.0,10.660
38.119,26.238,24.257,0.0,0.0,11.386
38.500,24.0,25.500,0.0,0.0,12.0
35.0,27.500,26.500,0.0,0.0,11.0
38.191,26.633,25.628,0.0,0.0,9.548
34.694,23.469,28.571,0.0,0.0,13.265
38.220,23.560,27.225,0.0,0.0,10.995
37.186,23.618,29.648,0.0,0.0,9.548
33.668,25.628,27.638,0.0,0.0,13.065
39.500,26.500,24.0,0.0,0.0,10.0
35.354,24.747,26.263,0.0,0.0,13.636
33.503,24.873,27.919,0.0,0.0,13.706
36.139,25.743,27.228,0.0,0.0,10.891
37.563,22.335,27.919,0.0,0.0,12.183
34.653,30.198,23.267,0.0,0.0,11.881
40.796,22.388,22.886,0.0,0.0,13.930
36.364,26.263,24.242,0.0,0.0,13.131
36.139,27.723,23.267,0.0,0.0,12.871
40.104,21.875,25.521,0.0,0.0,12.500
39.394,24.747,25.253,0.0,0.0,10.606
36.410,25.128,26.667,0.0,0.0,11.795
40.722,23.196,26.289,0.0,0.0,9.794
35.567,26.289,28.351,0.0,0.0,9.794
38.191,23.116,27.136,0.0,0.0,11.558
35.714,24.490,28.061,0.0,0.0,11.735
35.500,26.500,27.0,0.0,0.0,11.0
37.500,25.500,25.500,0.0,0.0,11.500
1.010,0.0,98.990,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0
11.055,7.538,78.392,0.0,0.0,3.015
11.558,6.533,79.397,0.0,0.0,2.513
9.548,9.045,78.392,0.0,0.0,3.015
19.0,12.0,64.0,0.0,0.0,5.0
36.275,26.471,25.490,0.0,0.0,11.765
37.500,25.500,25.0,0.0,0.0,12.0
33.168,21.782,33.663,0.0,0.0,11.386
29.851,13.930,46.766,0.0,0.0,9.453
30.303,26.768,29.798,0.0,0.0,13.131
39.394,23.232,25.253,0.0,0.0,12.121
41.294,21.891,25.871,0.0,0.0,10.945
38.191,23.116,25.126,0.0,0.0,13.568
36.181,27.136,24.121,0.0,0.0,12.563
35.821,22.388,23.881,0.498,0.0,17.413
36.224,25.0,27.041,0.0,0.0,11.735
34.500,25.0,27.500,0.0,0.0,13.0
36.500,23.500,27.500,0.0,0.0,12.500
33.333,26.368,27.363,0.0,0.0,12.935
39.024,25.854,24.878,0.0,0.0,10.244
38.421,25.789,24.211,0.0,0.0,11.579
38.806,23.881,23.383,0.0,0.0,13.930
42.289,23.881,23.383,0.0,0.0,10.448
39.196,22.111,24.121,0.0,0.0,14.573
37.811,25.871,23.383,0.0,0.0,12.935
37.186,26.633,23.116,0.0,0.0,13.065
38.424,24.138,23.153,0.0,0.0,14.286
34.518,26.396,25.381,0.0,0.0,13.706
35.821,22.388,25.871,0.0,0.0,15.920
39.698,23.116,23.116,0.0,0.0,14.070
36.364,25.758,23.737,0.0,0.0,14.141
36.548,24.873,25.381,0.0,0.0,13.198
42.051,23.077,25.128,0.0,0.0,9.744
36.869,24.747,25.253,0.0,0.0,13.131
36.816,27.363,24.378,0.0,0.0,11.443
33.846,26.154,25.128,0.0,0.0,14.872
35.961,27.586,24.138,0.0,0.0,12.315
38.916,24.138,25.123,0.0,0.0,11.823
38.0,23.500,25.0,0.0,0.0,13.500
33.668,25.126,25.126,0.0,0.0,16.080
36.041,22.335,25.381,0.0,0.0,16.244
34.826,25.871,24.876,0.0,0.0,14.428
37.056,25.888,25.888,0.0,0.0,11.168
39.0,25.500,24.500,0.0,0.0,11.0
36.041,23.858,25.381,0.0,0.0,14.721
34.328,24.876,23.383,0.0,0.0,17.413
32.663,24.623,27.136,0.0,0.0,15.578
31.606,23.834,26.943,0.0,0.0,17.617
30.808,28.788,24.242,0.0,0.0,16.162
35.323,25.373,22.886,0.0,0.0,16.418
34.197,23.316,24.352,0.0,0.0,18.135
39.899,23.232,21.717,0.0,0.0,15.152
37.113,23.196,24.227,0.0,0.0,15.464
34.848,25.253,23.232,0.0,0.0,16.667
31.818,31.313,22.727,0.0,0.0,14.141
36.500,26.0,22.500,0.0,0.0,15.0
39.899,24.747,21.212,0.0,0.0,14.141
35.149,26.733,23.267,0.0,0.0,14.851
36.923,21.538,23.077,0.0,0.0,18.462
41.0,21.0,22.0,0.0,0.0,16.0
35.437,23.301,22.816,0.0,0.0,18.447
34.010,26.904,23.350,0.0,0.0,15.736
36.765,23.039,22.059,0.0,0.0,18.137
36.946,23.153,22.660,0.0,0.0,17.241
40.796,21.393,21.393,0.0,0.0,16.418
36.869,24.242,22.727,0.0,0.0,16.162
36.735,22.959,22.959,0.0,0.0,17.347
39.109,25.248,21.782,0.0,0.0,13.861
37.755,23.980,22.959,0.0,0.0,15.306
40.299,21.393,21.393,0.0,0.0,16.915
34.826,25.373,21.891,0.0,0.0,17.910
37.186,21.608,23.618,0.0,0.0,17.588
36.0,25.0,21.500,0.0,0.0,17.500
11.500,5.500,79.0,0.0,0.0,4.0
0.0,0.500,99.500,0.0,0.0,0.0
9.0,8.0,79.500,0.0,0.0,3.500
35.644,23.762,25.248,0.0,0.0,15.347
36.224,22.449,27.041,0.0,0.0,14.286
36.139,24.257,27.723,0.0,0.0,11.881
11.616,7.071,74.747,0.0,0.0,6.566
37.688,25.628,23.116,0.0,0.0,13.568
33.838,25.758,24.242,0.0,0.0,16.162
31.795,23.077,32.821,0.0,0.0,12.308
40.488,24.390,26.341,0.0,0.0,8.780
43.147,23.350,22.843,0.0,0.0,10.660
40.299,22.388,26.368,0.0,0.0,10.945
40.933,24.352,26.425,0.0,0.0,8.290
35.714,27.551,27.041,0.0,0.0,9.694
38.889,23.232,26.768,0.0,0.0,11.111
37.245,24.490,26.531,0.0,0.0,11.735
36.923,24.103,26.667,0.0,0.0,12.308
39.698,26.131,26.633,0.0,0.0,7.538
36.816,25.373,25.871,0.0,0.0,11.940
39.583,23.438,28.125,0.0,0.0,8.854
36.649,28.796,26.702,0.0,0.0,7.853
33.673,26.531,26.531,0.0,0.0,13.265
40.415,28.497,21.762,0.0,0.0,9.326
37.879,26.768,26.263,0.0,0.0,9.091
37.436,27.179,26.667,0.0,0.0,8.718
37.374,25.253,25.253,0.0,0.0,12.121
41.237,22.165,24.742,0.0,0.0,11.856
38.265,27.041,24.490,0.0,0.0,10.204
37.436,26.154,22.564,0.0,0.0,13.846
38.660,26.289,22.680,0.0,0.0,12.371
37.879,28.788,21.717,0.0,0.0,11.616
39.796,26.020,21.939,0.0,0.0,12.245
39.594,23.858,22.843,0.0,0.0,13.706
38.462,24.615,24.103,0.0,0.0,12.821
35.678,24.121,26.131,0.0,0.0,14.070
35.204,25.0,26.531,0.0,0.0,13.265
38.071,21.827,27.411,0.0,0.0,12.690
35.500,26.500,26.500,0.0,0.0,11.500
36.842,22.632,27.368,0.0,0.0,13.158
38.342,24.870,23.316,0.0,0.0,13.472
35.025,26.396,22.335,0.0,0.0,16.244
40.299,23.881,21.891,0.0,0.0,13.930
35.714,25.510,22.959,0.0,0.0,15.816
36.500,28.0,22.500,0.0,0.0,13.0
35.714,27.551,23.469,0.0,0.0,13.265
38.974,24.615,24.103,0.0,0.0,12.308
42.932,19.895,24.084,0.0,0.0,13.089
39.594,24.365,23.858,0.0,0.0,12.183
40.099,25.248,21.782,0.0,0.0,12.871
38.889,26.768,22.222,0.0,0.0,12.121
37.688,26.633,23.116,0.0,0.0,12.563
34.848,29.293,23.232,0.0,0.0,12.626
36.224,26.531,22.959,0.0,0.0,14.286
38.889,24.242,24.747,0.0,0.0,12.121
39.0,26.500,24.0,0.0,0.0,10.500
33.831,27.861,26.368,0.0,0.0,11.940
33.846,27.692,26.667,0.0,0.0,11.795
41.294,22.388,26.368,0.0,0.0,9.950
37.374,24.747,26.263,0.0,0.0,11.616
37.245,25.0,24.490,0.0,0.0,13.265
39.378,22.280,24.870,0.0,0.0,13.472
36.683,22.111,28.141,0.0,0.0,13.065
35.859,23.737,27.273,0.0,0.0,13.131
38.424,22.660,26.601,0.0,0.0,12.315
33.166,29.146,23.618,0.0,0.0,14.070
37.879,24.747,23.232,0.0,0.0,14.141
38.660,24.742,24.227,0.0,0.0,12.371
37.0,27.0,25.500,0.0,0.0,10.500
35.644,27.723,24.752,0.0,0.0,11.881
35.354,25.253,25.253,0.0,0.0,14.141
35.751,27.461,24.870,0.0,0.0,11.917
40.097,24.638,24.638,0.0,0.0,10.628
35.052,24.227,27.835,0.0,0.0,12.887
37.374,26.768,23.737,0.0,0.0,12.121
35.025,26.396,28.934,0.0,0.0,9.645
36.224,28.571,22.449,0.0,0.0,12.755
39.896,23.834,23.834,0.0,0.0,12.435
33.668,24.623,25.628,0.0,0.0,16.080
36.598,25.258,26.289,0.0,0.0,11.856
