starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 04 15:04:54 2018	1522850694	1	3	4	2
Wed Apr 04 15:04:54 2018	1522850694	1	3	4	2
Wed Apr 04 15:04:54 2018	1522850694	1	3	4	1
Wed Apr 04 15:04:54 2018	1522850694	2	3	5	1
Wed Apr 04 15:04:54 2018	1522850694	2	3	5	1
Wed Apr 04 15:04:54 2018	1522850694	2	3	5	2
Wed Apr 04 15:04:54 2018	1522850694	2	3	5	1
Wed Apr 04 15:04:54 2018	1522850694	2	3	5	1
Wed Apr 04 15:04:54 2018	1522850694	2	3	5	2
Wed Apr 04 15:04:54 2018	1522850694	2	3	6	1
Wed Apr 04 15:04:54 2018	1522850694	3	3	6	1
Wed Apr 04 15:04:54 2018	1522850694	3	3	6	2
Wed Apr 04 15:04:54 2018	1522850694	3	3	6	2
Wed Apr 04 15:04:54 2018	1522850694	3	3	6	1
Wed Apr 04 15:04:54 2018	1522850694	3	3	6	2
Wed Apr 04 15:04:54 2018	1522850694	3	3	6	1
Wed Apr 04 15:04:54 2018	1522850694	3	3	6	2
Wed Apr 04 15:04:54 2018	1522850694	3	3	6	2
Wed Apr 04 15:04:54 2018	1522850694	3	3	6	1
Wed Apr 04 15:04:54 2018	1522850694	4	3	7	1
Wed Apr 04 15:04:54 2018	1522850694	4	3	7	2
Wed Apr 04 15:04:54 2018	1522850694	4	3	7	2
Wed Apr 04 15:04:54 2018	1522850694	4	3	7	1
Wed Apr 04 15:04:54 2018	1522850694	4	3	7	2
Wed Apr 04 15:04:54 2018	1522850694	4	3	7	1
Wed Apr 04 15:04:54 2018	1522850694	4	3	7	1
Wed Apr 04 15:04:54 2018	1522850694	3	4	7	3
Wed Apr 04 15:04:54 2018	1522850694	3	4	7	3
Wed Apr 04 15:04:54 2018	1522850694	4	3	7	1
Wed Apr 04 15:04:54 2018	1522850694	3	4	7	3
Wed Apr 04 15:04:54 2018	1522850694	3	4	7	3
Wed Apr 04 15:04:54 2018	1522850694	5	3	7	1
Wed Apr 04 15:04:54 2018	1522850694	4	3	7	2
Wed Apr 04 15:04:54 2018	1522850694	3	5	8	3
Wed Apr 04 15:04:54 2018	1522850694	3	5	8	3
Wed Apr 04 15:04:54 2018	1522850694	5	3	8	1
Wed Apr 04 15:04:54 2018	1522850694	3	5	8	3
Wed Apr 04 15:04:54 2018	1522850694	5	3	8	1
Wed Apr 04 15:04:54 2018	1522850694	3	5	8	3
Wed Apr 04 15:04:54 2018	1522850694	5	3	8	1
Wed Apr 04 15:04:54 2018	1522850694	3	5	8	3
Wed Apr 04 15:04:54 2018	1522850694	3	5	8	3
Wed Apr 04 15:04:54 2018	1522850694	3	5	8	3
Wed Apr 04 15:04:54 2018	1522850694	3	5	8	3
Wed Apr 04 15:04:55 2018	1522850695	1	8	8	5
Wed Apr 04 15:04:55 2018	1522850695	1	8	8	5
Wed Apr 04 15:04:55 2018	1522850695	2	7	8	4
Wed Apr 04 15:04:55 2018	1522850695	2	7	8	3
Wed Apr 04 15:04:54 2018	1522850694	6	3	8	2
Wed Apr 04 15:04:54 2018	1522850694	6	3	8	2
Wed Apr 04 15:04:54 2018	1522850694	3	5	8	2
Wed Apr 04 15:04:54 2018	1522850694	5	3	8	2
Wed Apr 04 15:04:54 2018	1522850694	4	4	8	2
Wed Apr 04 15:04:54 2018	1522850694	4	5	8	2
Wed Apr 04 15:04:54 2018	1522850694	6	3	8	2
Wed Apr 04 15:04:54 2018	1522850694	3	5	9	2
Wed Apr 04 15:04:55 2018	1522850695	3	5	9	2
Wed Apr 04 15:04:54 2018	1522850694	5	3	9	2
Wed Apr 04 15:04:54 2018	1522850694	5	4	9	2
Wed Apr 04 15:04:54 2018	1522850694	3	6	9	1
Wed Apr 04 15:04:54 2018	1522850694	3	6	9	2
Wed Apr 04 15:04:54 2018	1522850694	3	6	9	1
Wed Apr 04 15:04:54 2018	1522850694	5	4	9	2
Wed Apr 04 15:04:54 2018	1522850694	5	4	9	2
Wed Apr 04 15:04:54 2018	1522850694	4	5	9	2
Wed Apr 04 15:04:55 2018	1522850695	3	5	9	3
Wed Apr 04 15:04:54 2018	1522850694	4	4	9	2
Wed Apr 04 15:04:56 2018	1522850696	4	4	9	3
Wed Apr 04 15:04:55 2018	1522850695	3	5	9	2
Wed Apr 04 15:04:55 2018	1522850695	2	6	9	2
Wed Apr 04 15:04:55 2018	1522850695	3	6	9	2
Wed Apr 04 15:04:55 2018	1522850695	3	6	9	2
Wed Apr 04 15:04:54 2018	1522850694	0	8	9	7
Wed Apr 04 15:04:54 2018	1522850694	5	3	9	2
Wed Apr 04 15:04:55 2018	1522850695	5	3	9	2
Wed Apr 04 15:04:56 2018	1522850696	4	4	9	3
Wed Apr 04 15:04:55 2018	1522850695	3	5	9	3
Wed Apr 04 15:04:55 2018	1522850695	2	6	9	1
Wed Apr 04 15:04:55 2018	1522850695	3	6	9	1
Wed Apr 04 15:04:55 2018	1522850695	3	5	9	3
Wed Apr 04 15:04:55 2018	1522850695	4	5	9	1
Wed Apr 04 15:04:55 2018	1522850695	2	6	9	2
Wed Apr 04 15:04:55 2018	1522850695	3	6	9	1
Wed Apr 04 15:04:55 2018	1522850695	4	4	9	2
Wed Apr 04 15:04:54 2018	1522850694	2	6	9	1
Wed Apr 04 15:04:54 2018	1522850694	2	6	9	1
Wed Apr 04 15:04:55 2018	1522850695	4	5	9	1
Wed Apr 04 15:04:54 2018	1522850694	2	6	9	1
Wed Apr 04 15:04:55 2018	1522850695	2	6	9	1
Wed Apr 04 15:04:55 2018	1522850695	5	3	9	2
Wed Apr 04 15:04:55 2018	1522850695	3	5	9	2
Wed Apr 04 15:04:55 2018	1522850695	6	3	9	2
Wed Apr 04 15:04:55 2018	1522850695	3	5	9	3
Wed Apr 04 15:04:54 2018	1522850694	2	7	9	1
Wed Apr 04 15:04:56 2018	1522850696	4	5	9	3
Wed Apr 04 15:04:55 2018	1522850695	2	7	9	1
Wed Apr 04 15:04:55 2018	1522850695	3	5	9	3
Wed Apr 04 15:04:54 2018	1522850694	2	7	9	1
Wed Apr 04 15:04:55 2018	1522850695	4	5	9	3
Wed Apr 04 15:04:54 2018	1522850694	2	7	9	1
Wed Apr 04 15:04:55 2018	1522850695	2	7	9	1
Wed Apr 04 15:04:55 2018	1522850695	6	3	9	2
Wed Apr 04 15:04:55 2018	1522850695	3	6	9	3
Wed Apr 04 15:04:56 2018	1522850696	1	8	9	5
Wed Apr 04 15:04:55 2018	1522850695	4	4	9	2
Wed Apr 04 15:04:55 2018	1522850695	3	6	9	2
Wed Apr 04 15:04:55 2018	1522850695	3	6	9	2
Wed Apr 04 15:04:56 2018	1522850696	4	5	9	3
Wed Apr 04 15:04:55 2018	1522850695	1	8	9	5
Wed Apr 04 15:04:56 2018	1522850696	2	7	9	5
Wed Apr 04 15:04:55 2018	1522850695	4	4	9	3
Wed Apr 04 15:04:56 2018	1522850696	1	8	9	5
Wed Apr 04 15:04:56 2018	1522850696	2	7	9	4
Wed Apr 04 15:04:55 2018	1522850695	3	6	9	3
Wed Apr 04 15:04:56 2018	1522850696	1	8	9	5
Wed Apr 04 15:04:56 2018	1522850696	1	7	9	5
Wed Apr 04 15:04:56 2018	1522850696	1	8	9	5
Wed Apr 04 15:04:56 2018	1522850696	3	6	9	3
Wed Apr 04 15:04:55 2018	1522850695	6	3	9	2
Wed Apr 04 15:04:55 2018	1522850695	5	4	9	2
Wed Apr 04 15:04:56 2018	1522850696	1	8	9	5
Wed Apr 04 15:04:55 2018	1522850695	4	5	9	3
Wed Apr 04 15:04:56 2018	1522850696	1	8	9	5
Wed Apr 04 15:04:56 2018	1522850696	2	7	9	4
Wed Apr 04 15:04:55 2018	1522850695	6	3	9	2
Wed Apr 04 15:04:56 2018	1522850696	1	8	9	5
Wed Apr 04 15:04:56 2018	1522850696	3	6	9	2
Wed Apr 04 15:04:55 2018	1522850695	4	5	9	3
Wed Apr 04 15:04:55 2018	1522850695	5	4	9	2
Wed Apr 04 15:04:55 2018	1522850695	3	6	9	2
Wed Apr 04 15:04:56 2018	1522850696	1	8	9	5
Wed Apr 04 15:04:55 2018	1522850695	2	6	9	2
Wed Apr 04 15:04:54 2018	1522850694	3	6	9	3
Wed Apr 04 15:04:56 2018	1522850696	3	6	9	2
Wed Apr 04 15:04:56 2018	1522850696	2	7	9	4
Wed Apr 04 15:04:56 2018	1522850696	3	5	9	3
Wed Apr 04 15:04:55 2018	1522850695	5	3	9	3
Wed Apr 04 15:04:55 2018	1522850695	1	8	9	5
Wed Apr 04 15:04:55 2018	1522850695	2	6	9	2
Wed Apr 04 15:04:56 2018	1522850696	1	8	9	6
Wed Apr 04 15:04:55 2018	1522850695	2	7	9	2
Wed Apr 04 15:04:55 2018	1522850695	4	5	9	3
Wed Apr 04 15:04:55 2018	1522850695	4	4	9	3
Wed Apr 04 15:04:56 2018	1522850696	2	7	9	5
Wed Apr 04 15:04:55 2018	1522850695	6	3	9	2
Wed Apr 04 15:04:56 2018	1522850696	1	8	9	6
Wed Apr 04 15:04:55 2018	1522850695	0	8	9	6
Wed Apr 04 15:04:55 2018	1522850695	4	4	9	4
Wed Apr 04 15:04:56 2018	1522850696	2	7	9	4
Wed Apr 04 15:04:54 2018	1522850694	3	6	9	2
Wed Apr 04 15:04:56 2018	1522850696	2	7	9	3
Wed Apr 04 15:04:56 2018	1522850696	4	4	9	3
