starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 11 16:51:07 2018	1523461867	11	10	21	9
Wed Apr 11 16:51:07 2018	1523461867	10	10	21	10
Wed Apr 11 16:51:07 2018	1523461867	11	10	21	9
Wed Apr 11 16:51:07 2018	1523461867	11	10	21	10
Wed Apr 11 16:51:07 2018	1523461867	11	12	23	12
Wed Apr 11 16:51:04 2018	1523461864	11	12	24	12
Wed Apr 11 16:50:50 2018	1523461850	7	18	24	18
Wed Apr 11 16:51:07 2018	1523461867	6	20	26	20
Wed Apr 11 16:51:05 2018	1523461865	14	13	26	12
Wed Apr 11 16:51:07 2018	1523461867	7	20	26	19
Wed Apr 11 16:50:55 2018	1523461855	14	13	27	12
Wed Apr 11 16:50:55 2018	1523461855	14	13	27	13
Wed Apr 11 16:50:55 2018	1523461855	14	13	27	13
Wed Apr 11 16:50:55 2018	1523461855	14	12	27	12
Wed Apr 11 16:51:07 2018	1523461867	6	21	27	21
Wed Apr 11 16:51:00 2018	1523461860	14	14	27	14
Wed Apr 11 16:51:06 2018	1523461866	14	14	27	13
Wed Apr 11 16:51:00 2018	1523461860	13	14	27	14
Wed Apr 11 16:51:00 2018	1523461860	13	14	27	14
Wed Apr 11 16:51:07 2018	1523461867	13	14	27	13
Wed Apr 11 16:51:07 2018	1523461867	14	14	27	13
Wed Apr 11 16:51:07 2018	1523461867	13	15	28	14
Wed Apr 11 16:51:05 2018	1523461865	13	15	28	14
Wed Apr 11 16:51:07 2018	1523461867	13	15	28	14
Wed Apr 11 16:51:06 2018	1523461866	14	14	28	14
Wed Apr 11 16:51:06 2018	1523461866	14	14	28	14
Wed Apr 11 16:51:07 2018	1523461867	14	14	28	13
Wed Apr 11 16:51:05 2018	1523461865	14	14	28	14
Wed Apr 11 16:51:07 2018	1523461867	12	16	28	16
Wed Apr 11 16:51:07 2018	1523461867	16	12	28	11
Wed Apr 11 16:51:05 2018	1523461865	17	11	28	11
Wed Apr 11 16:51:05 2018	1523461865	13	14	28	14
Wed Apr 11 16:50:55 2018	1523461855	15	13	28	13
Wed Apr 11 16:51:07 2018	1523461867	17	11	28	11
Wed Apr 11 16:51:05 2018	1523461865	14	14	28	14
Wed Apr 11 16:51:07 2018	1523461867	14	14	28	13
Wed Apr 11 16:51:05 2018	1523461865	13	15	28	15
Wed Apr 11 16:51:05 2018	1523461865	14	15	28	14
Wed Apr 11 16:51:07 2018	1523461867	12	16	28	16
Wed Apr 11 16:51:02 2018	1523461862	15	13	28	13
Wed Apr 11 16:50:54 2018	1523461854	8	20	28	20
Wed Apr 11 16:51:07 2018	1523461867	17	12	28	11
Wed Apr 11 16:50:54 2018	1523461854	11	17	28	16
Wed Apr 11 16:50:55 2018	1523461855	13	16	28	15
Wed Apr 11 16:51:03 2018	1523461863	15	13	28	12
Wed Apr 11 16:51:07 2018	1523461867	16	12	28	11
Wed Apr 11 16:51:07 2018	1523461867	16	12	28	12
Wed Apr 11 16:51:00 2018	1523461860	13	16	29	16
Wed Apr 11 16:51:07 2018	1523461867	12	16	29	16
Wed Apr 11 16:51:07 2018	1523461867	16	13	29	12
Wed Apr 11 16:51:00 2018	1523461860	12	17	29	16
Wed Apr 11 16:51:07 2018	1523461867	17	12	29	11
Wed Apr 11 16:51:07 2018	1523461867	13	16	29	16
Wed Apr 11 16:51:00 2018	1523461860	12	17	29	17
Wed Apr 11 16:50:50 2018	1523461850	10	19	29	18
Wed Apr 11 16:51:20 2018	1523461880	15	14	29	13
Wed Apr 11 16:51:07 2018	1523461867	17	12	29	12
Wed Apr 11 16:50:50 2018	1523461850	10	19	29	19
Wed Apr 11 16:51:20 2018	1523461880	16	13	29	13
Wed Apr 11 16:51:07 2018	1523461867	15	15	29	14
Wed Apr 11 16:51:02 2018	1523461862	16	13	29	13
Wed Apr 11 16:51:02 2018	1523461862	15	15	29	13
Wed Apr 11 16:50:50 2018	1523461850	11	19	29	18
Wed Apr 11 16:51:00 2018	1523461860	13	16	29	16
Wed Apr 11 16:51:05 2018	1523461865	14	15	29	15
Wed Apr 11 16:51:02 2018	1523461862	16	14	29	13
Wed Apr 11 16:51:05 2018	1523461865	15	15	30	14
Wed Apr 11 16:51:04 2018	1523461864	18	12	30	12
Wed Apr 11 16:51:07 2018	1523461867	12	17	30	17
Wed Apr 11 16:51:05 2018	1523461865	14	16	30	15
Wed Apr 11 16:51:00 2018	1523461860	13	17	30	16
Wed Apr 11 16:51:01 2018	1523461861	10	20	30	19
Wed Apr 11 16:51:20 2018	1523461880	16	13	30	13
Wed Apr 11 16:51:01 2018	1523461861	10	20	30	19
Wed Apr 11 16:51:20 2018	1523461880	16	13	30	13
