"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -C total --output c32.csv",,,,"Date:","22 May 2018 01:01:24 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
0.585,2.339,94.803,0.007,0.0,2.266,8370.154,24281.817,0.0,0.0,0.0,0.0,1309.029,1536.135
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,240.0,406.0,0.0,0.0,18.0,43.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,886.0,1134.0,0.0,0.0,16.0,24.0
0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,158.0,1286.0,0.0,0.0,15.0,38.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,444.0,1022.0,0.0,0.0,21.0,24.0
2.041,11.224,80.612,0.0,0.0,6.122,0.0,0.0,647931.0,2212801.0,0.0,0.0,4560.0,3392.0
3.030,15.152,67.677,0.0,0.0,14.141,0.0,32768.0,1102258.0,3707094.0,0.0,0.0,9133.0,9888.0
3.846,15.385,64.423,0.0,0.0,16.346,0.0,0.0,1114098.0,3736945.0,0.0,0.0,9059.0,9419.0
2.041,15.306,68.367,0.0,0.0,14.286,0.0,0.0,1075657.0,3629810.0,0.0,0.0,8909.0,9726.0
2.062,15.464,70.103,0.0,0.0,12.371,0.0,0.0,1073300.0,3610526.0,0.0,0.0,8910.0,9729.0
2.0,20.0,67.0,0.0,0.0,11.0,0.0,0.0,1109643.0,3732533.0,0.0,0.0,9021.0,9460.0
2.105,14.737,71.579,0.0,0.0,11.579,0.0,12288.0,1059429.0,3563973.0,0.0,0.0,8716.0,9384.0
4.040,16.162,68.687,0.0,0.0,11.111,0.0,0.0,1079121.0,3624778.0,0.0,0.0,8807.0,9460.0
2.970,15.842,67.327,0.0,0.0,13.861,0.0,0.0,1058860.0,3567015.0,0.0,0.0,8931.0,9833.0
2.105,12.632,72.632,0.0,0.0,12.632,0.0,0.0,1058588.0,3559340.0,0.0,0.0,8847.0,9568.0
1.031,15.464,71.134,0.0,0.0,12.371,0.0,0.0,1059363.0,3563907.0,0.0,0.0,8893.0,9687.0
2.083,15.625,70.833,0.0,0.0,11.458,0.0,12288.0,1084342.0,3648842.0,0.0,0.0,8904.0,9510.0
1.961,16.667,66.667,0.0,0.0,14.706,0.0,0.0,1067860.0,3590294.0,0.0,0.0,8830.0,9666.0
2.105,15.789,71.579,0.0,0.0,10.526,0.0,0.0,1053019.0,3542184.0,0.0,0.0,8771.0,9739.0
2.105,14.737,69.474,0.0,0.0,13.684,0.0,0.0,1068219.0,3593630.0,0.0,0.0,8613.0,9269.0
2.105,12.632,70.526,0.0,0.0,14.737,0.0,0.0,1077108.0,3624006.0,0.0,0.0,8810.0,9451.0
2.198,12.088,74.725,0.0,0.0,10.989,0.0,12288.0,1090083.0,3667719.0,0.0,0.0,9067.0,9856.0
2.128,11.702,72.340,0.0,0.0,13.830,0.0,20480.0,1092784.0,3677353.0,0.0,0.0,8980.0,9699.0
3.030,12.121,69.697,0.0,0.0,15.152,0.0,0.0,1081336.0,3636405.0,0.0,0.0,8883.0,9641.0
1.075,11.828,73.118,0.0,0.0,13.978,0.0,0.0,1107092.0,3725427.0,0.0,0.0,9074.0,9755.0
4.211,13.684,70.526,0.0,0.0,11.579,0.0,0.0,1099868.0,3696978.0,0.0,0.0,9111.0,9928.0
4.082,16.327,68.367,0.0,0.0,11.224,0.0,12288.0,1107166.0,3725625.0,0.0,0.0,9134.0,9620.0
4.211,11.579,71.579,0.0,0.0,12.632,0.0,0.0,1085187.0,3650093.0,0.0,0.0,9083.0,9836.0
3.061,13.265,70.408,0.0,0.0,13.265,0.0,0.0,1065495.0,3584535.0,0.0,0.0,8924.0,9663.0
2.128,12.766,72.340,0.0,0.0,12.766,0.0,0.0,1080914.0,3634948.0,0.0,0.0,9011.0,9710.0
4.0,12.0,69.0,0.0,0.0,15.0,0.0,0.0,1049217.0,3529667.0,0.0,0.0,8810.0,9584.0
2.105,11.579,70.526,0.0,0.0,15.789,0.0,12288.0,1061959.0,3569720.0,0.0,0.0,8760.0,9676.0
