"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor",,,,"User:","root"
"Cmdline:","dstat -C total --output c64.csv",,,,"Date:","22 May 2018 01:13:59 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
31.040,19.723,39.341,0.006,0.0,9.889,62044.620,4063.439,0.0,0.0,0.0,0.0,5534.124,27776.876
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,180.0,906.0,0.0,0.0,250.0,411.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,404.0,0.0,0.0,121.0,202.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,34.0,66.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,32.0,63.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,64.0,134.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,28672.0,60.0,420.0,0.0,0.0,37.0,75.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,420.0,0.0,0.0,36.0,71.0
35.354,19.192,36.364,0.0,0.0,9.091,0.0,0.0,2871901.0,965960.0,0.0,0.0,6566.0,25440.0
56.566,31.313,0.0,0.0,0.0,12.121,0.0,0.0,3921431.0,1406032.0,0.0,0.0,9594.0,43247.0
54.455,32.673,0.0,0.0,0.0,12.871,0.0,0.0,3393932.0,1253313.0,0.0,0.0,8880.0,42235.0
57.576,31.313,0.0,0.0,0.0,11.111,0.0,12288.0,3430549.0,1266468.0,0.0,0.0,9075.0,42399.0
52.475,35.644,0.0,0.0,0.0,11.881,0.0,0.0,3890647.0,1429337.0,0.0,0.0,9958.0,46142.0
54.0,35.0,0.0,0.0,0.0,11.0,0.0,0.0,3725768.0,1384159.0,0.0,0.0,9838.0,46938.0
52.0,40.0,0.0,0.0,0.0,8.0,0.0,0.0,3810005.0,1408337.0,0.0,0.0,9534.0,46509.0
46.465,36.364,0.0,0.0,0.0,17.172,0.0,0.0,3752226.0,1382663.0,0.0,0.0,9493.0,46206.0
51.485,35.644,0.0,0.0,0.0,12.871,0.0,28672.0,3803683.0,1401959.0,0.0,0.0,9639.0,46207.0
52.0,35.0,0.0,0.0,0.0,13.0,0.0,0.0,3818165.0,1413684.0,0.0,0.0,9875.0,47594.0
54.545,30.303,0.0,0.0,0.0,15.152,0.0,0.0,3837747.0,1416951.0,0.0,0.0,9802.0,46937.0
51.485,34.653,0.0,0.0,0.0,13.861,0.0,0.0,3822973.0,1421820.0,0.0,0.0,9867.0,47042.0
49.0,37.0,0.0,0.0,0.0,14.0,0.0,0.0,3822275.0,1404281.0,0.0,0.0,9735.0,47452.0
48.0,36.0,0.0,0.0,0.0,16.0,0.0,12288.0,3997158.0,1458490.0,0.0,0.0,10062.0,48874.0
49.0,36.0,0.0,0.0,0.0,15.0,0.0,0.0,3959891.0,1426807.0,0.0,0.0,10181.0,49156.0
49.495,35.354,0.0,0.0,0.0,15.152,0.0,0.0,4024915.0,1478960.0,0.0,0.0,10181.0,49008.0
54.0,29.0,0.0,0.0,0.0,17.0,0.0,0.0,3952763.0,1393099.0,0.0,0.0,9821.0,48606.0
49.505,27.723,0.0,0.0,0.0,22.772,0.0,0.0,4048008.0,1203822.0,0.0,0.0,10077.0,48809.0
49.0,33.0,0.0,0.0,0.0,18.0,0.0,28672.0,3943251.0,1169079.0,0.0,0.0,9927.0,49177.0
49.0,33.0,0.0,0.0,0.0,18.0,0.0,0.0,3994067.0,1182233.0,0.0,0.0,10104.0,50427.0
48.485,34.343,0.0,0.0,0.0,17.172,0.0,0.0,3830366.0,1891138.0,0.0,0.0,9514.0,47325.0
45.545,36.634,0.0,0.0,0.0,17.822,0.0,0.0,3763007.0,1500762.0,0.0,0.0,9372.0,46344.0
57.0,32.0,0.0,0.0,0.0,11.0,0.0,0.0,3769677.0,1380661.0,0.0,0.0,9495.0,46087.0
51.0,32.0,0.0,0.0,0.0,17.0,0.0,16384.0,3720844.0,1371779.0,0.0,0.0,9509.0,46279.0
47.0,38.0,0.0,0.0,0.0,15.0,0.0,0.0,3835439.0,1409096.0,0.0,0.0,9523.0,46037.0
52.0,32.0,0.0,0.0,0.0,16.0,0.0,0.0,3799585.0,1392651.0,0.0,0.0,9618.0,46074.0
53.0,34.0,0.0,0.0,0.0,13.0,0.0,0.0,3629809.0,1224441.0,0.0,0.0,8932.0,44947.0
52.0,33.0,0.0,0.0,0.0,15.0,0.0,0.0,3730513.0,1107625.0,0.0,0.0,9119.0,46637.0
57.0,28.0,0.0,0.0,0.0,15.0,0.0,24576.0,3718590.0,1103410.0,0.0,0.0,9101.0,47026.0
46.0,36.0,0.0,0.0,0.0,18.0,0.0,0.0,3742730.0,1109511.0,0.0,0.0,9231.0,46691.0
54.0,29.0,0.0,0.0,0.0,17.0,0.0,0.0,3559506.0,1061221.0,0.0,0.0,8755.0,46030.0
45.455,39.394,0.0,0.0,0.0,15.152,0.0,0.0,3697965.0,1201389.0,0.0,0.0,9134.0,46474.0
50.495,28.713,0.0,0.0,0.0,20.792,0.0,0.0,3797273.0,1333506.0,0.0,0.0,9312.0,46773.0
54.545,28.283,0.0,0.0,0.0,17.172,0.0,12288.0,3659884.0,1378336.0,0.0,0.0,9237.0,46945.0
49.505,29.703,0.0,0.0,0.0,20.792,0.0,0.0,3883578.0,1774766.0,0.0,0.0,9684.0,48189.0
51.0,31.0,0.0,0.0,0.0,18.0,0.0,0.0,3638926.0,1664575.0,0.0,0.0,9225.0,46389.0
47.0,37.0,0.0,0.0,0.0,16.0,0.0,0.0,3789487.0,1359438.0,0.0,0.0,9500.0,46904.0
55.556,28.283,0.0,0.0,0.0,16.162,0.0,0.0,3916191.0,1427597.0,0.0,0.0,10038.0,47379.0
53.465,32.673,0.0,0.0,0.0,13.861,0.0,28672.0,3762641.0,1379647.0,0.0,0.0,9588.0,46891.0
