"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c128.csv",,,,"Date:","30 May 2018 19:01:39 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
30-05 19:01:39,0.0,0.0,0.039,126607360.0,118558720.0,376037376.0,1476177920.0,0.0,0.0,536.937,2202.366,61.236,76.669,0.052,0.106,99.759,0.001,0.0,0.082,0.0,0.0,0.031,0.075,0.170,0.170,0.160,
30-05 19:01:40,0.0,0.0,1.0,127741952.0,118558720.0,376041472.0,1475039232.0,0.0,0.0,0.0,0.0,55.0,69.0,0.990,0.990,98.020,0.0,0.0,0.0,9841.0,103466.0,0.0,0.0,0.170,0.170,0.160,
30-05 19:01:41,1.0,0.0,0.0,128057344.0,118558720.0,376041472.0,1474723840.0,0.0,0.0,0.0,0.0,8584.0,9047.0,3.158,11.579,68.421,0.0,0.0,16.842,1132435.0,3799439.0,0.0,0.0,0.160,0.160,0.160,
30-05 19:01:42,0.0,0.0,0.0,126885888.0,118558720.0,376041472.0,1475895296.0,0.0,0.0,0.0,0.0,6990.0,7724.0,2.970,11.881,70.297,0.0,0.0,14.851,918436.0,3083714.0,0.0,0.0,0.160,0.160,0.160,


"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c128.csv",,,,"Date:","30 May 2018 19:02:12 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
30-05 19:02:12,0.0,0.0,0.039,126500864.0,118558720.0,376041472.0,1476280320.0,0.0,0.0,536.912,2202.379,61.257,76.691,0.052,0.106,99.759,0.001,0.0,0.082,0.0,0.0,0.031,0.075,0.090,0.140,0.160,
30-05 19:02:13,0.0,0.0,0.0,126500864.0,118558720.0,376041472.0,1476280320.0,0.0,0.0,0.0,0.0,17.0,40.0,0.0,0.0,100.0,0.0,0.0,0.0,1558.0,1534.0,0.0,0.0,0.090,0.140,0.160,
30-05 19:02:14,0.0,0.0,1.0,129036288.0,118558720.0,376041472.0,1473744896.0,0.0,0.0,0.0,0.0,5248.0,4072.0,1.980,10.891,74.257,0.0,0.0,12.871,845703.0,2915631.0,0.0,0.0,0.090,0.140,0.160,
30-05 19:02:15,1.0,0.0,0.0,129118208.0,118558720.0,376041472.0,1473662976.0,0.0,0.0,0.0,32768.0,8234.0,8928.0,1.042,14.583,68.750,0.0,0.0,15.625,1095729.0,3867359.0,0.0,3.0,0.090,0.140,0.160,
30-05 19:02:16,1.0,0.0,0.0,129212416.0,118558720.0,376041472.0,1473568768.0,0.0,0.0,0.0,0.0,8064.0,8884.0,4.124,15.464,68.041,0.0,0.0,12.371,1084175.0,3734938.0,0.0,0.0,0.170,0.160,0.160,
30-05 19:02:17,0.0,0.0,0.0,129114112.0,118558720.0,376041472.0,1473667072.0,0.0,0.0,0.0,0.0,7922.0,8801.0,1.020,15.306,67.347,0.0,0.0,16.327,1055447.0,3637097.0,0.0,0.0,0.170,0.160,0.160,
30-05 19:02:18,1.0,0.0,0.0,129339392.0,118558720.0,376041472.0,1473441792.0,0.0,0.0,0.0,0.0,8099.0,9405.0,2.941,13.725,66.667,0.0,0.0,16.667,1038585.0,3543099.0,0.0,0.0,0.170,0.160,0.160,
30-05 19:02:19,1.0,0.0,0.0,129347584.0,118558720.0,376041472.0,1473433600.0,0.0,0.0,0.0,0.0,8184.0,9146.0,2.0,15.0,68.0,0.0,0.0,15.0,1070468.0,3658743.0,0.0,0.0,0.170,0.160,0.160,
30-05 19:02:20,1.0,0.0,0.0,129347584.0,118558720.0,376041472.0,1473433600.0,0.0,0.0,0.0,0.0,7995.0,9113.0,3.030,17.172,67.677,0.0,0.0,12.121,1040662.0,3551826.0,0.0,0.0,0.170,0.160,0.160,
30-05 19:02:21,0.0,0.0,0.0,129380352.0,118558720.0,376041472.0,1473400832.0,0.0,0.0,0.0,12288.0,7923.0,8949.0,1.010,13.131,69.697,0.0,0.0,16.162,1036742.0,3542777.0,0.0,2.0,0.230,0.170,0.170,
30-05 19:02:22,1.0,0.0,0.0,129572864.0,118558720.0,376041472.0,1473208320.0,0.0,0.0,0.0,0.0,7749.0,8506.0,3.061,14.286,69.388,0.0,0.0,13.265,1007514.0,3453755.0,0.0,0.0,0.230,0.170,0.170,
30-05 19:02:23,1.0,0.0,0.0,129572864.0,118558720.0,376041472.0,1473208320.0,0.0,0.0,0.0,0.0,7608.0,8604.0,2.041,13.265,71.429,0.0,0.0,13.265,993943.0,3395285.0,0.0,0.0,0.230,0.170,0.170,
30-05 19:02:24,1.0,0.0,0.0,129667072.0,118558720.0,376041472.0,1473114112.0,0.0,0.0,0.0,0.0,8079.0,9183.0,3.061,14.286,69.388,0.0,0.0,13.265,1035823.0,3533190.0,0.0,0.0,0.230,0.170,0.170,
30-05 19:02:25,1.0,0.0,0.0,129662976.0,118558720.0,376045568.0,1473114112.0,0.0,0.0,0.0,0.0,8039.0,9323.0,2.0,13.0,69.0,0.0,0.0,16.0,1019566.0,3456892.0,0.0,0.0,0.230,0.170,0.170,
30-05 19:02:26,1.0,0.0,0.0,129757184.0,118558720.0,376045568.0,1473019904.0,0.0,0.0,0.0,12288.0,8195.0,9208.0,3.960,13.861,67.327,0.0,0.0,14.851,1085707.0,3722547.0,0.0,2.0,0.290,0.190,0.170,
30-05 19:02:27,1.0,0.0,0.0,129863680.0,118558720.0,376045568.0,1472913408.0,0.0,0.0,0.0,0.0,8188.0,9104.0,3.030,16.162,65.657,0.0,0.0,15.152,1105052.0,3759536.0,0.0,0.0,0.290,0.190,0.170,
30-05 19:02:28,1.0,0.0,0.0,129990656.0,118558720.0,376045568.0,1472786432.0,0.0,0.0,0.0,0.0,8132.0,9495.0,1.031,16.495,70.103,0.0,0.0,12.371,1045893.0,3562839.0,0.0,0.0,0.290,0.190,0.170,
30-05 19:02:29,0.0,0.0,0.0,129892352.0,118558720.0,376045568.0,1472884736.0,0.0,0.0,0.0,0.0,8151.0,9063.0,2.041,15.306,69.388,0.0,0.0,13.265,1063753.0,3609387.0,0.0,0.0,0.290,0.190,0.170,
30-05 19:02:30,1.0,0.0,0.0,130154496.0,118558720.0,376045568.0,1472622592.0,0.0,0.0,0.0,0.0,8397.0,9359.0,2.105,14.737,70.526,0.0,0.0,12.632,1102563.0,3767041.0,0.0,0.0,0.290,0.190,0.170,
30-05 19:02:31,1.0,0.0,0.0,130125824.0,118558720.0,376045568.0,1472651264.0,0.0,0.0,0.0,12288.0,8142.0,9048.0,5.102,15.306,70.408,0.0,0.0,9.184,1077462.0,3663349.0,0.0,2.0,0.270,0.180,0.170,
30-05 19:02:32,1.0,0.0,0.0,130285568.0,118558720.0,376045568.0,1472491520.0,0.0,0.0,0.0,0.0,8438.0,9793.0,4.301,10.753,72.043,0.0,0.0,12.903,1080640.0,3692393.0,0.0,0.0,0.270,0.180,0.170,
30-05 19:02:33,1.0,0.0,0.0,130416640.0,118558720.0,376045568.0,1472360448.0,0.0,0.0,0.0,0.0,8289.0,8932.0,2.062,17.526,68.041,0.0,0.0,12.371,1124905.0,3831848.0,0.0,0.0,0.270,0.180,0.170,
30-05 19:02:34,0.0,0.0,0.0,130416640.0,118558720.0,376045568.0,1472360448.0,0.0,0.0,0.0,0.0,8001.0,8953.0,1.980,14.851,67.327,0.0,0.0,15.842,1054137.0,3603386.0,0.0,0.0,0.270,0.180,0.170,
30-05 19:02:35,1.0,0.0,0.0,130510848.0,118558720.0,376045568.0,1472266240.0,0.0,0.0,0.0,0.0,8104.0,9098.0,2.970,14.851,66.337,0.0,0.0,15.842,1060447.0,3607863.0,0.0,0.0,0.270,0.180,0.170,
30-05 19:02:36,1.0,0.0,0.0,130510848.0,118558720.0,376045568.0,1472266240.0,0.0,0.0,0.0,12288.0,7959.0,9039.0,2.020,16.162,69.697,0.0,0.0,12.121,1022626.0,3465963.0,0.0,2.0,0.250,0.180,0.170,
30-05 19:02:37,1.0,0.0,0.0,130637824.0,118558720.0,376045568.0,1472139264.0,0.0,0.0,0.0,0.0,8211.0,9433.0,1.0,14.0,69.0,0.0,0.0,16.0,1055913.0,3592926.0,0.0,0.0,0.250,0.180,0.170,
30-05 19:02:38,0.0,0.0,0.0,130539520.0,118558720.0,376045568.0,1472237568.0,0.0,0.0,0.0,0.0,7323.0,8157.0,3.061,13.265,69.388,0.0,0.0,14.286,1002398.0,3438173.0,0.0,0.0,0.250,0.180,0.170,
30-05 19:02:39,1.0,0.0,0.0,130797568.0,118558720.0,376045568.0,1471979520.0,0.0,0.0,0.0,0.0,7827.0,8712.0,2.083,13.542,69.792,0.0,0.0,14.583,1027240.0,3486409.0,0.0,0.0,0.250,0.180,0.170,
30-05 19:02:40,1.0,0.0,0.0,130764800.0,118558720.0,376045568.0,1472012288.0,0.0,0.0,0.0,0.0,7995.0,8960.0,2.105,11.579,72.632,0.0,0.0,13.684,1033045.0,3518223.0,0.0,0.0,0.250,0.180,0.170,
30-05 19:02:41,1.0,0.0,2.0,132268032.0,118558720.0,376045568.0,1470509056.0,0.0,0.0,0.0,12288.0,7530.0,8562.0,6.061,13.131,69.697,0.0,0.0,11.111,971877.0,3284855.0,0.0,2.0,0.230,0.180,0.170,
30-05 19:02:42,1.0,0.0,0.0,132263936.0,118558720.0,376045568.0,1470513152.0,0.0,0.0,0.0,0.0,7730.0,8820.0,3.030,15.152,69.697,0.0,0.0,12.121,1005883.0,3394815.0,0.0,0.0,0.230,0.180,0.170,
30-05 19:02:43,1.0,0.0,0.0,132345856.0,118558720.0,376045568.0,1470431232.0,0.0,0.0,0.0,0.0,7760.0,8649.0,0.0,12.088,74.725,0.0,0.0,13.187,1014943.0,3441947.0,0.0,0.0,0.230,0.180,0.170,
30-05 19:02:44,0.0,0.0,0.0,131502080.0,118558720.0,376045568.0,1471275008.0,0.0,0.0,0.0,0.0,7950.0,8777.0,2.128,11.702,72.340,0.0,0.0,13.830,1038057.0,3516923.0,0.0,0.0,0.230,0.180,0.170,
30-05 19:02:45,0.0,0.0,0.0,131620864.0,118558720.0,376045568.0,1471156224.0,0.0,0.0,0.0,8192.0,8014.0,8894.0,4.124,15.464,70.103,0.0,0.0,10.309,1061663.0,3605047.0,0.0,2.0,0.230,0.180,0.170,
30-05 19:02:46,0.0,0.0,0.0,131522560.0,118558720.0,376045568.0,1471254528.0,0.0,0.0,0.0,28672.0,8402.0,9354.0,4.255,12.766,71.277,0.0,0.0,11.702,1107233.0,3754308.0,0.0,2.0,0.210,0.170,0.170,
30-05 19:02:47,1.0,0.0,0.0,131551232.0,118558720.0,376049664.0,1471221760.0,0.0,0.0,0.0,0.0,8196.0,9086.0,3.093,16.495,68.041,0.0,0.0,12.371,1088574.0,3678450.0,0.0,0.0,0.210,0.170,0.170,
30-05 19:02:48,1.0,0.0,0.0,131452928.0,118558720.0,376049664.0,1471320064.0,0.0,0.0,0.0,0.0,8116.0,8989.0,3.093,12.371,68.041,0.0,0.0,16.495,1080787.0,3664458.0,0.0,0.0,0.210,0.170,0.170,
30-05 19:02:49,1.0,0.0,0.0,131485696.0,118558720.0,376049664.0,1471287296.0,0.0,0.0,0.0,0.0,8115.0,9261.0,2.105,12.632,71.579,0.0,0.0,13.684,1045672.0,3537875.0,0.0,0.0,0.210,0.170,0.170,
30-05 19:02:50,1.0,0.0,0.0,131584000.0,118558720.0,376049664.0,1471188992.0,0.0,0.0,0.0,28672.0,8084.0,8663.0,2.941,16.667,64.706,0.0,0.0,15.686,1104833.0,3727856.0,0.0,6.0,0.210,0.170,0.170,
30-05 19:02:51,1.0,0.0,0.0,131452928.0,118558720.0,376049664.0,1471320064.0,0.0,0.0,0.0,12288.0,8177.0,8936.0,2.105,15.789,69.474,0.0,0.0,12.632,1121811.0,3800686.0,0.0,2.0,0.190,0.170,0.170,
30-05 19:02:52,0.0,0.0,0.0,131518464.0,118558720.0,376049664.0,1471254528.0,0.0,0.0,0.0,0.0,8397.0,9471.0,0.990,19.802,65.347,0.0,0.0,13.861,1121517.0,3823743.0,0.0,0.0,0.190,0.170,0.170,
30-05 19:02:53,0.0,0.0,0.0,131604480.0,118558720.0,376049664.0,1471168512.0,0.0,0.0,0.0,0.0,8208.0,9176.0,4.301,12.903,68.817,0.0,0.0,13.978,1103113.0,3749400.0,0.0,0.0,0.190,0.170,0.170,
