"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c16.csv",,,,"Date:","30 May 2018 18:35:21 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
30-05 18:35:21,0.0,0.0,0.039,202825728.0,95842304.0,376741888.0,1421971456.0,0.0,0.0,727.590,2153.819,48.815,208.965,0.240,0.156,99.536,0.003,0.0,0.065,0.0,0.0,0.033,0.079,0.980,2.470,2.380,
30-05 18:35:22,0.0,0.0,0.0,202821632.0,95842304.0,376745984.0,1421971456.0,0.0,0.0,0.0,0.0,38.0,86.0,0.0,0.0,100.0,0.0,0.0,0.0,240.0,1112.0,0.0,0.0,0.900,2.430,2.370,
30-05 18:35:23,2.0,0.0,17.0,204713984.0,95842304.0,376745984.0,1420079104.0,0.0,0.0,0.0,0.0,2191.0,9363.0,12.0,7.0,78.0,0.0,0.0,3.0,902673.0,315307.0,0.0,0.0,0.900,2.430,2.370,
30-05 18:35:24,1.0,0.0,0.0,205529088.0,95842304.0,376745984.0,1419264000.0,0.0,0.0,0.0,0.0,9442.0,47742.0,55.556,28.283,0.0,0.0,0.0,16.162,3592371.0,1362839.0,0.0,0.0,0.900,2.430,2.370,
30-05 18:35:25,2.0,0.0,0.0,206311424.0,95842304.0,376745984.0,1418481664.0,0.0,0.0,0.0,0.0,9482.0,48277.0,50.495,36.634,0.0,0.0,0.0,12.871,3664239.0,1378367.0,0.0,0.0,0.900,2.430,2.370,
30-05 18:35:26,3.0,0.0,0.0,206905344.0,95842304.0,376745984.0,1417887744.0,0.0,0.0,0.0,0.0,9318.0,48108.0,46.0,37.0,0.0,0.0,0.0,17.0,3625305.0,1373729.0,0.0,0.0,0.900,2.430,2.370,
30-05 18:35:27,3.0,0.0,0.0,207237120.0,95842304.0,376745984.0,1417555968.0,0.0,0.0,0.0,24576.0,9497.0,48356.0,48.485,36.364,0.0,0.0,0.0,15.152,3682848.0,1382426.0,0.0,2.0,1.150,2.450,2.380,
30-05 18:35:28,4.0,0.0,0.0,207237120.0,95842304.0,376745984.0,1417555968.0,0.0,0.0,0.0,0.0,9613.0,48475.0,55.0,28.0,0.0,0.0,0.0,17.0,3673377.0,1383737.0,0.0,0.0,1.150,2.450,2.380,
30-05 18:35:29,2.0,0.0,0.0,207237120.0,95842304.0,376745984.0,1417555968.0,0.0,0.0,0.0,0.0,9549.0,48795.0,50.495,29.703,0.0,0.0,0.0,19.802,3696462.0,1391602.0,0.0,0.0,1.150,2.450,2.380,
30-05 18:35:30,2.0,0.0,0.0,207286272.0,95842304.0,376745984.0,1417506816.0,0.0,0.0,0.0,0.0,9494.0,47748.0,50.505,32.323,0.0,0.0,0.0,17.172,3630681.0,1368153.0,0.0,0.0,1.150,2.450,2.380,
30-05 18:35:31,4.0,0.0,0.0,207269888.0,95842304.0,376745984.0,1417523200.0,0.0,0.0,0.0,0.0,9223.0,47266.0,52.0,32.0,0.0,0.0,0.0,16.0,3582531.0,1353569.0,0.0,0.0,1.150,2.450,2.380,
30-05 18:35:32,5.0,0.0,0.0,207302656.0,95842304.0,376745984.0,1417490432.0,0.0,0.0,0.0,12288.0,9646.0,48621.0,52.0,32.0,0.0,0.0,0.0,16.0,3685446.0,1387464.0,0.0,2.0,1.220,2.450,2.370,
30-05 18:35:33,5.0,0.0,0.0,207368192.0,95842304.0,376745984.0,1417424896.0,0.0,0.0,0.0,0.0,9404.0,47401.0,48.0,36.0,0.0,0.0,0.0,16.0,3612972.0,1359808.0,0.0,0.0,1.220,2.450,2.370,
30-05 18:35:34,4.0,0.0,0.0,207417344.0,95842304.0,376745984.0,1417375744.0,0.0,0.0,0.0,0.0,8516.0,44222.0,50.0,34.0,0.0,0.0,0.0,16.0,3327768.0,1270780.0,0.0,0.0,1.220,2.450,2.370,
30-05 18:35:35,5.0,0.0,0.0,206991360.0,95842304.0,376745984.0,1417801728.0,0.0,0.0,0.0,0.0,8966.0,46486.0,45.545,35.644,0.0,0.0,0.0,18.812,3509307.0,1329379.0,0.0,0.0,1.220,2.450,2.370,
30-05 18:35:36,6.0,0.0,0.0,207335424.0,95842304.0,376745984.0,1417457664.0,0.0,0.0,0.0,0.0,9142.0,46504.0,46.465,38.384,0.0,0.0,0.0,15.152,3538977.0,1339695.0,0.0,0.0,1.220,2.450,2.370,
30-05 18:35:37,3.0,0.0,0.0,207400960.0,95842304.0,376745984.0,1417392128.0,0.0,0.0,0.0,12288.0,8413.0,44035.0,51.0,31.0,0.0,0.0,0.0,18.0,3318975.0,1263807.0,0.0,2.0,1.360,2.450,2.380,
30-05 18:35:38,4.0,0.0,0.0,207335424.0,95842304.0,376745984.0,1417457664.0,0.0,0.0,0.0,0.0,8678.0,44899.0,43.0,38.0,0.0,0.0,0.0,19.0,3388617.0,1293263.0,0.0,0.0,1.360,2.450,2.380,
30-05 18:35:39,5.0,0.0,0.0,207351808.0,95842304.0,376745984.0,1417441280.0,0.0,0.0,0.0,0.0,8990.0,46457.0,49.505,35.644,0.0,0.0,0.0,14.851,3515178.0,1331716.0,0.0,0.0,1.360,2.450,2.380,
30-05 18:35:40,4.0,0.0,0.0,207351808.0,95842304.0,376745984.0,1417441280.0,0.0,0.0,0.0,16384.0,9154.0,47389.0,48.485,35.354,0.0,0.0,0.0,16.162,3601567.0,1349347.0,0.0,1.0,1.360,2.450,2.380,
30-05 18:35:41,3.0,0.0,0.0,207183872.0,95842304.0,376750080.0,1417605120.0,0.0,0.0,0.0,0.0,9268.0,48970.0,47.525,36.634,0.0,0.0,0.0,15.842,3621777.0,1323275.0,0.0,0.0,1.360,2.450,2.380,
30-05 18:35:42,1.0,0.0,0.0,207380480.0,95842304.0,376750080.0,1417408512.0,0.0,0.0,0.0,16384.0,9511.0,47376.0,46.465,35.354,0.0,0.0,0.0,18.182,3580650.0,1355334.0,0.0,2.0,1.410,2.450,2.370,
30-05 18:35:43,4.0,0.0,0.0,207413248.0,95842304.0,376750080.0,1417375744.0,0.0,0.0,0.0,0.0,9485.0,47728.0,44.554,37.624,0.0,0.0,0.0,17.822,3616950.0,1356340.0,0.0,0.0,1.410,2.450,2.370,
30-05 18:35:44,5.0,0.0,0.0,207134720.0,95842304.0,376750080.0,1417654272.0,0.0,0.0,0.0,0.0,9682.0,47881.0,50.505,33.333,0.0,0.0,0.0,16.162,3625182.0,1367664.0,0.0,0.0,1.410,2.450,2.370,
30-05 18:35:45,3.0,0.0,0.0,207282176.0,95842304.0,376750080.0,1417506816.0,0.0,0.0,0.0,0.0,9563.0,47883.0,51.0,34.0,0.0,0.0,0.0,15.0,3615153.0,1365571.0,0.0,0.0,1.410,2.450,2.370,
30-05 18:35:46,3.0,0.0,0.0,207331328.0,95842304.0,376750080.0,1417457664.0,0.0,0.0,0.0,0.0,9353.0,47873.0,50.495,30.693,0.0,0.0,0.0,18.812,3583708.0,1341958.0,0.0,0.0,1.410,2.450,2.370,
30-05 18:35:47,4.0,0.0,0.0,207314944.0,95842304.0,376750080.0,1417474048.0,0.0,0.0,0.0,12288.0,9377.0,48393.0,51.515,34.343,0.0,0.0,0.0,14.141,3638598.0,1412190.0,0.0,2.0,1.700,2.490,2.390,
30-05 18:35:48,3.0,0.0,0.0,207282176.0,95842304.0,376750080.0,1417506816.0,0.0,0.0,0.0,0.0,9294.0,48929.0,51.485,30.693,0.0,0.0,0.0,17.822,3613071.0,1331995.0,0.0,0.0,1.700,2.490,2.390,
30-05 18:35:49,3.0,0.0,0.0,207314944.0,95842304.0,376750080.0,1417474048.0,0.0,0.0,0.0,0.0,8763.0,46514.0,56.0,26.0,0.0,0.0,0.0,18.0,3438119.0,1160263.0,0.0,0.0,1.700,2.490,2.390,
30-05 18:35:50,5.0,0.0,0.0,207413248.0,95842304.0,376750080.0,1417375744.0,0.0,0.0,0.0,16384.0,8872.0,46922.0,48.485,33.333,0.0,0.0,0.0,18.182,3455589.0,1147835.0,0.0,4.0,1.700,2.490,2.390,
30-05 18:35:51,1.0,0.0,0.0,207577088.0,95842304.0,376750080.0,1417211904.0,0.0,0.0,0.0,0.0,8805.0,46880.0,39.604,38.614,0.0,0.0,0.0,21.782,3454143.0,1052377.0,0.0,0.0,1.700,2.490,2.390,
30-05 18:35:52,4.0,0.0,0.0,207380480.0,95842304.0,376750080.0,1417408512.0,0.0,0.0,0.0,12288.0,8708.0,46074.0,43.434,37.374,0.0,0.0,0.0,19.192,3399376.0,1444862.0,0.0,2.0,1.880,2.510,2.400,
30-05 18:35:53,4.0,0.0,0.0,207609856.0,95842304.0,376750080.0,1417179136.0,0.0,0.0,0.0,0.0,8566.0,46059.0,45.545,33.663,0.0,0.0,0.0,20.792,3369916.0,1035200.0,0.0,0.0,1.880,2.510,2.400,
30-05 18:35:54,2.0,0.0,0.0,207151104.0,95842304.0,376750080.0,1417637888.0,0.0,0.0,0.0,0.0,8566.0,45444.0,49.0,33.0,0.0,0.0,0.0,18.0,3348187.0,1592903.0,0.0,0.0,1.880,2.510,2.400,
30-05 18:35:55,3.0,0.0,0.0,207347712.0,95842304.0,376750080.0,1417441280.0,0.0,0.0,0.0,8192.0,8668.0,45235.0,51.0,29.0,0.0,0.0,0.0,20.0,3379323.0,1250841.0,0.0,1.0,1.880,2.510,2.400,
30-05 18:35:56,5.0,0.0,0.0,207446016.0,95842304.0,376750080.0,1417342976.0,0.0,0.0,0.0,0.0,8603.0,44507.0,49.495,34.343,1.010,0.0,0.0,15.152,3351537.0,1273211.0,0.0,0.0,1.880,2.510,2.400,
30-05 18:35:57,4.0,0.0,0.0,207314944.0,95842304.0,376750080.0,1417474048.0,0.0,0.0,0.0,24576.0,8925.0,46163.0,48.0,31.0,0.0,0.0,0.0,21.0,3498621.0,1324855.0,0.0,3.0,1.810,2.490,2.390,
