"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c128.csv",,,,"Date:","19 Jun 2018 18:24:06 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
19-06 18:24:06,0.0,0.0,0.038,202444800.0,161144832.0,681529344.0,1052262400.0,0.0,0.0,164.337,2443.523,27.434,36.716,0.042,0.045,99.886,0.001,0.0,0.026,0.0,0.0,0.009,0.079,0.0,0.0,0.0,
19-06 18:24:07,0.0,0.0,0.0,202432512.0,161144832.0,681533440.0,1052270592.0,0.0,0.0,0.0,0.0,18.0,40.0,0.0,0.0,100.0,0.0,0.0,0.0,1686.0,1588.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:08,0.0,0.0,0.0,202432512.0,161144832.0,681533440.0,1052270592.0,0.0,0.0,0.0,0.0,15.0,24.0,0.0,0.0,100.0,0.0,0.0,0.0,2952.0,1130.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:09,0.0,0.0,0.0,202432512.0,161144832.0,681533440.0,1052270592.0,0.0,0.0,0.0,0.0,17.0,24.0,0.0,0.0,100.0,0.0,0.0,0.0,1758.0,1720.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:10,0.0,0.0,0.0,202399744.0,161144832.0,681533440.0,1052303360.0,0.0,0.0,0.0,0.0,13.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,1506.0,990.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:11,0.0,0.0,0.0,202399744.0,161144832.0,681533440.0,1052303360.0,0.0,0.0,0.0,0.0,20.0,49.0,0.0,0.0,100.0,0.0,0.0,0.0,3306.0,1900.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:12,0.0,0.0,0.0,202366976.0,161144832.0,681533440.0,1052336128.0,0.0,0.0,0.0,24576.0,52.0,228.0,0.990,0.990,98.020,0.0,0.0,0.0,5898.0,3560.0,0.0,2.0,0.0,0.0,0.0,
19-06 18:24:13,0.0,0.0,0.0,202301440.0,161144832.0,681533440.0,1052401664.0,0.0,0.0,0.0,0.0,46.0,213.0,0.0,0.0,100.0,0.0,0.0,0.0,4332.0,3872.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:14,0.0,0.0,0.0,202465280.0,161144832.0,681533440.0,1052237824.0,0.0,0.0,0.0,0.0,45.0,211.0,0.0,0.0,100.0,0.0,0.0,0.0,4392.0,3560.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:15,0.0,0.0,0.0,202399744.0,161144832.0,681533440.0,1052303360.0,0.0,0.0,0.0,0.0,42.0,176.0,0.0,0.0,100.0,0.0,0.0,0.0,5288.0,3110.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:16,0.0,0.0,0.0,202399744.0,161144832.0,681533440.0,1052303360.0,0.0,0.0,0.0,0.0,24.0,38.0,0.0,0.0,100.0,0.0,0.0,0.0,1882.0,1318.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:17,0.0,0.0,0.0,202366976.0,161144832.0,681533440.0,1052336128.0,0.0,0.0,0.0,12288.0,24.0,49.0,0.0,0.0,100.0,0.0,0.0,0.0,1806.0,1430.0,0.0,2.0,0.0,0.0,0.0,
19-06 18:24:18,0.0,0.0,0.0,202366976.0,161144832.0,681533440.0,1052336128.0,0.0,0.0,0.0,0.0,13.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,886.0,750.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:19,0.0,0.0,0.0,202366976.0,161144832.0,681533440.0,1052336128.0,0.0,0.0,0.0,0.0,12.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,680.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:20,0.0,0.0,0.0,202366976.0,161144832.0,681533440.0,1052336128.0,0.0,0.0,0.0,0.0,19.0,31.0,0.0,0.0,100.0,0.0,0.0,0.0,3108.0,2620.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:21,0.0,0.0,0.0,202366976.0,161144832.0,681533440.0,1052336128.0,0.0,0.0,0.0,0.0,18.0,24.0,0.0,0.0,100.0,0.0,0.0,0.0,1566.0,742.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:22,0.0,0.0,0.0,202366976.0,161144832.0,681533440.0,1052336128.0,0.0,0.0,0.0,12288.0,21.0,38.0,0.0,0.0,100.0,0.0,0.0,0.0,3102.0,1720.0,0.0,2.0,0.0,0.0,0.0,
19-06 18:24:23,0.0,0.0,0.0,202366976.0,161144832.0,681533440.0,1052336128.0,0.0,0.0,0.0,0.0,14.0,22.0,0.0,0.0,100.0,0.0,0.0,0.0,2952.0,750.0,0.0,0.0,0.0,0.0,0.0,
19-06 18:24:24,0.0,0.0,0.0,202334208.0,161144832.0,681533440.0,1052368896.0,0.0,0.0,0.0,0.0,17.0,31.0,0.0,0.0,100.0,0.0,0.0,0.0,1664.0,1720.0,0.0,0.0,0.0,0.0,0.0,
