"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c512.csv",,,,"Date:","20 Jun 2018 01:28:30 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
20-06 01:28:30,0.0,0.0,0.038,195641344.0,161210368.0,685006848.0,1055522816.0,0.0,0.0,162.628,2437.400,59.410,72.185,0.052,0.091,99.784,0.001,0.0,0.072,0.0,0.0,0.009,0.081,0.230,0.230,0.190,
20-06 01:28:31,0.0,0.0,0.0,195604480.0,161210368.0,685010944.0,1055555584.0,0.0,0.0,0.0,0.0,20.0,45.0,1.0,0.0,99.0,0.0,0.0,0.0,858.0,1470.0,0.0,0.0,0.220,0.230,0.190,
20-06 01:28:32,0.0,0.0,0.0,195604480.0,161210368.0,685010944.0,1055555584.0,0.0,0.0,0.0,0.0,18.0,32.0,0.0,0.0,100.0,0.0,0.0,0.0,218.0,1106.0,0.0,0.0,0.220,0.230,0.190,
20-06 01:28:33,0.0,0.0,0.0,195604480.0,161210368.0,685010944.0,1055555584.0,0.0,0.0,0.0,0.0,27.0,51.0,0.990,0.0,99.010,0.0,0.0,0.0,974.0,1382.0,0.0,0.0,0.220,0.230,0.190,
20-06 01:28:34,0.0,0.0,0.0,195604480.0,161210368.0,685010944.0,1055555584.0,0.0,0.0,0.0,0.0,26.0,43.0,1.0,0.0,99.0,0.0,0.0,0.0,578.0,802.0,0.0,0.0,0.220,0.230,0.190,
20-06 01:28:35,0.0,0.0,0.0,195571712.0,161210368.0,685010944.0,1055588352.0,0.0,0.0,0.0,0.0,21.0,40.0,0.0,0.0,100.0,0.0,0.0,0.0,714.0,1170.0,0.0,0.0,0.220,0.230,0.190,
20-06 01:28:36,0.0,0.0,0.0,195768320.0,161210368.0,685010944.0,1055391744.0,0.0,0.0,0.0,12288.0,25.0,45.0,0.0,0.0,100.0,0.0,0.0,0.0,420.0,728.0,0.0,2.0,0.200,0.220,0.190,
20-06 01:28:37,0.0,0.0,0.0,195768320.0,161210368.0,685010944.0,1055391744.0,0.0,0.0,0.0,0.0,25.0,50.0,0.990,0.0,99.010,0.0,0.0,0.0,974.0,1350.0,0.0,0.0,0.200,0.220,0.190,
20-06 01:28:38,0.0,0.0,0.0,195735552.0,161210368.0,685010944.0,1055424512.0,0.0,0.0,0.0,0.0,25.0,43.0,0.0,0.0,100.0,0.0,0.0,0.0,594.0,810.0,0.0,0.0,0.200,0.220,0.190,
20-06 01:28:39,0.0,0.0,0.0,195735552.0,161210368.0,685010944.0,1055424512.0,0.0,0.0,0.0,0.0,28.0,47.0,0.990,0.0,99.010,0.0,0.0,0.0,1084.0,1676.0,0.0,0.0,0.200,0.220,0.190,
