"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c8.csv",,,,"Date:","20 Jun 2018 00:53:28 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
20-06 00:53:28,0.0,0.0,0.529,184369152.0,17235968.0,146821120.0,1748815872.0,0.0,0.0,47400.655,563933.714,13067.827,32167.118,12.968,12.414,74.462,0.153,0.0,0.004,13.691,11.768,66.477,0.014,0.0,8.051,0.0,0.0,2.269,2.090,0.890,1.680,1.300,
20-06 00:53:29,0.0,0.0,0.0,184422400.0,17235968.0,146825216.0,1748758528.0,0.0,0.0,0.0,0.0,49.0,82.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,120.0,138.0,0.0,0.0,0.890,1.680,1.300,
20-06 00:53:30,0.0,0.0,0.0,184422400.0,17235968.0,146825216.0,1748758528.0,0.0,0.0,0.0,0.0,37.0,63.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,1194.0,0.0,0.0,0.890,1.680,1.300,
20-06 00:53:31,0.0,0.0,0.0,184422400.0,17235968.0,146825216.0,1748758528.0,0.0,0.0,0.0,0.0,67.0,79.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,458.0,0.0,0.0,0.890,1.680,1.300,
20-06 00:53:32,2.0,0.0,0.0,183500800.0,17235968.0,146825216.0,1749680128.0,0.0,0.0,0.0,8192.0,1941.0,4324.0,3.883,2.913,93.204,0.0,0.0,0.0,2.0,2.0,95.0,0.0,0.0,1.0,397646.0,117927.0,0.0,2.0,0.890,1.680,1.300,
20-06 00:53:33,2.0,0.0,0.0,183296000.0,17235968.0,146825216.0,1749884928.0,0.0,0.0,0.0,0.0,27528.0,77249.0,40.816,33.673,25.510,0.0,0.0,0.0,28.571,22.449,21.429,0.0,0.0,27.551,5911810.0,2338048.0,0.0,0.0,1.220,1.740,1.320,
20-06 00:53:34,1.0,0.0,0.0,183545856.0,17244160.0,146825216.0,1749626880.0,0.0,0.0,0.0,28672.0,28399.0,78065.0,39.175,34.021,26.804,0.0,0.0,0.0,32.692,23.077,19.231,0.0,0.0,25.0,5967730.0,2388246.0,0.0,2.0,1.220,1.740,1.320,
20-06 00:53:35,3.0,0.0,0.0,183803904.0,17244160.0,146825216.0,1749368832.0,0.0,0.0,0.0,0.0,28624.0,74000.0,39.175,37.113,23.711,0.0,0.0,0.0,31.633,23.469,25.510,0.0,0.0,19.388,5931434.0,2373960.0,0.0,0.0,1.220,1.740,1.320,
20-06 00:53:36,3.0,0.0,0.0,183787520.0,17244160.0,146825216.0,1749385216.0,0.0,0.0,0.0,0.0,28400.0,73194.0,42.0,37.0,21.0,0.0,0.0,0.0,28.0,23.0,27.0,0.0,0.0,22.0,5819516.0,2331124.0,0.0,0.0,1.220,1.740,1.320,
20-06 00:53:37,4.0,0.0,0.0,183885824.0,17244160.0,146825216.0,1749286912.0,0.0,0.0,0.0,0.0,27979.0,74435.0,36.0,34.0,30.0,0.0,0.0,0.0,33.0,23.0,18.0,0.0,0.0,26.0,5940274.0,2385334.0,0.0,0.0,1.220,1.740,1.320,
20-06 00:53:38,1.0,0.0,0.0,183881728.0,17244160.0,146825216.0,1749291008.0,0.0,0.0,0.0,0.0,27733.0,75470.0,37.113,40.206,22.680,0.0,0.0,0.0,32.673,19.802,23.762,0.0,0.0,23.762,5831388.0,2363391.0,0.0,0.0,1.440,1.780,1.340,
20-06 00:53:39,4.0,0.0,0.0,183955456.0,17252352.0,146825216.0,1749209088.0,0.0,0.0,0.0,12288.0,29796.0,77019.0,41.748,32.039,26.214,0.0,0.0,0.0,31.0,27.0,18.0,0.0,0.0,24.0,6107346.0,2387626.0,0.0,2.0,1.440,1.780,1.340,
20-06 00:53:40,3.0,0.0,0.0,183889920.0,17252352.0,146825216.0,1749274624.0,0.0,0.0,0.0,0.0,27163.0,62473.0,44.118,25.490,30.392,0.0,0.0,0.0,29.670,28.571,18.681,0.0,0.0,23.077,6659422.0,2487576.0,0.0,0.0,1.440,1.780,1.340,
20-06 00:53:41,4.0,0.0,0.0,183906304.0,17252352.0,146825216.0,1749258240.0,0.0,0.0,0.0,0.0,27845.0,88316.0,50.515,26.804,22.680,0.0,0.0,0.0,28.571,28.571,21.429,0.0,0.0,21.429,6449684.0,2445549.0,0.0,0.0,1.440,1.780,1.340,
20-06 00:53:42,2.0,0.0,0.0,183861248.0,17252352.0,146825216.0,1749303296.0,0.0,0.0,0.0,20480.0,30524.0,90317.0,42.708,33.333,23.958,0.0,0.0,0.0,29.0,28.0,16.0,0.0,0.0,27.0,6571124.0,2522149.0,0.0,5.0,1.440,1.780,1.340,
20-06 00:53:43,3.0,0.0,0.0,183951360.0,17252352.0,146825216.0,1749213184.0,0.0,0.0,0.0,0.0,29808.0,84878.0,39.0,36.0,25.0,0.0,0.0,0.0,33.333,23.232,19.192,0.0,0.0,24.242,6125534.0,2377945.0,0.0,0.0,1.650,1.810,1.350,
20-06 00:53:44,3.0,0.0,0.0,184033280.0,17260544.0,146825216.0,1749123072.0,0.0,0.0,0.0,12288.0,31988.0,87411.0,43.878,33.673,22.449,0.0,0.0,0.0,30.0,31.0,15.0,0.0,0.0,24.0,6524886.0,2503758.0,0.0,2.0,1.650,1.810,1.350,
20-06 00:53:45,3.0,0.0,0.0,183959552.0,17260544.0,146829312.0,1749192704.0,0.0,0.0,0.0,0.0,30524.0,87882.0,47.826,28.261,23.913,0.0,0.0,0.0,32.673,31.683,13.861,0.0,0.0,21.782,6624766.0,2553329.0,0.0,0.0,1.650,1.810,1.350,
20-06 00:53:46,2.0,0.0,0.0,183812096.0,17260544.0,146829312.0,1749340160.0,0.0,0.0,0.0,0.0,28435.0,82390.0,42.424,33.333,24.242,0.0,0.0,0.0,32.323,30.303,17.172,0.0,0.0,20.202,6090326.0,2342880.0,0.0,0.0,1.650,1.810,1.350,
20-06 00:53:47,2.0,0.0,2.0,184823808.0,17260544.0,146833408.0,1748324352.0,0.0,0.0,0.0,0.0,30411.0,87222.0,40.625,35.417,23.958,0.0,0.0,0.0,28.0,32.0,14.0,0.0,0.0,26.0,6444155.0,2462336.0,0.0,0.0,1.650,1.810,1.350,
20-06 00:53:48,2.0,0.0,0.0,184864768.0,17260544.0,146833408.0,1748283392.0,0.0,0.0,0.0,0.0,31886.0,85553.0,43.689,33.010,23.301,0.0,0.0,0.0,32.673,26.733,12.871,0.0,0.0,27.723,6426136.0,2463827.0,0.0,0.0,1.680,1.820,1.360,
20-06 00:53:49,4.0,0.0,0.0,184885248.0,17268736.0,146833408.0,1748254720.0,0.0,0.0,0.0,20480.0,29985.0,88449.0,49.505,28.713,21.782,0.0,0.0,0.0,28.125,32.292,16.667,0.0,0.0,22.917,6458622.0,2522069.0,0.0,2.0,1.680,1.820,1.360,
20-06 00:53:50,3.0,0.0,0.0,185077760.0,17268736.0,146833408.0,1748062208.0,0.0,0.0,0.0,0.0,31531.0,83549.0,41.053,34.737,24.211,0.0,0.0,0.0,32.673,28.713,11.881,0.0,0.0,26.733,6435042.0,2482421.0,0.0,0.0,1.680,1.820,1.360,
20-06 00:53:51,2.0,0.0,0.0,184930304.0,17268736.0,146833408.0,1748209664.0,0.0,0.0,0.0,0.0,28352.0,72911.0,37.500,36.458,26.042,0.0,0.0,0.0,35.354,23.232,24.242,0.0,0.0,17.172,5933448.0,2396305.0,0.0,0.0,1.680,1.820,1.360,
20-06 00:53:52,3.0,0.0,0.0,184930304.0,17268736.0,146833408.0,1748209664.0,0.0,0.0,0.0,0.0,38002.0,80189.0,44.554,33.663,21.782,0.0,0.0,0.0,33.333,26.042,16.667,0.0,0.0,23.958,6591874.0,2543045.0,0.0,0.0,1.680,1.820,1.360,
20-06 00:53:53,5.0,0.0,0.0,184938496.0,17268736.0,146833408.0,1748201472.0,0.0,0.0,0.0,0.0,38702.0,82014.0,39.785,39.785,20.430,0.0,0.0,0.0,30.928,27.835,18.557,0.0,0.0,22.680,6466610.0,2493654.0,0.0,0.0,1.700,1.820,1.360,
20-06 00:53:54,5.0,0.0,0.0,184860672.0,17276928.0,146833408.0,1748271104.0,0.0,0.0,0.0,12288.0,36887.0,76965.0,35.354,42.424,22.222,0.0,0.0,0.0,32.990,23.711,20.619,0.0,0.0,22.680,6359988.0,2458058.0,0.0,2.0,1.700,1.820,1.360,
20-06 00:53:55,4.0,0.0,0.0,185294848.0,17276928.0,146833408.0,1747836928.0,0.0,0.0,0.0,0.0,38620.0,84116.0,39.175,41.237,19.588,0.0,0.0,0.0,31.683,25.743,18.812,0.0,0.0,23.762,6413668.0,2116263.0,0.0,0.0,1.700,1.820,1.360,
20-06 00:53:56,3.0,0.0,0.0,185917440.0,17276928.0,146833408.0,1747214336.0,0.0,0.0,0.0,0.0,38704.0,85459.0,46.0,32.0,22.0,0.0,0.0,0.0,36.634,22.772,15.842,0.0,0.0,24.752,6500912.0,1936302.0,0.0,0.0,1.700,1.820,1.360,
20-06 00:53:57,3.0,0.0,0.0,186408960.0,17276928.0,146833408.0,1746722816.0,0.0,0.0,0.0,0.0,32958.0,78377.0,42.857,33.673,23.469,0.0,0.0,0.0,29.703,28.713,15.842,0.0,0.0,25.743,6444218.0,1918523.0,0.0,0.0,1.700,1.820,1.360,
20-06 00:53:58,2.0,0.0,0.0,186802176.0,17276928.0,146833408.0,1746329600.0,0.0,0.0,0.0,0.0,30388.0,78449.0,39.175,35.052,25.773,0.0,0.0,0.0,29.703,25.743,18.812,0.0,0.0,25.743,6404824.0,1906484.0,0.0,0.0,1.890,1.860,1.380,
20-06 00:53:59,2.0,0.0,0.0,187023360.0,17285120.0,146833408.0,1746100224.0,0.0,0.0,0.0,12288.0,30238.0,76704.0,45.833,25.0,29.167,0.0,0.0,0.0,26.733,32.673,15.842,0.0,0.0,24.752,6713606.0,2049197.0,0.0,2.0,1.890,1.860,1.380,
20-06 00:54:00,2.0,0.0,0.0,186220544.0,17285120.0,146833408.0,1746903040.0,0.0,0.0,0.0,0.0,29113.0,69663.0,50.538,22.581,26.882,0.0,0.0,0.0,23.958,32.292,18.750,0.0,0.0,25.0,6729484.0,3391295.0,0.0,0.0,1.890,1.860,1.380,
20-06 00:54:01,2.0,0.0,0.0,185389056.0,17285120.0,146833408.0,1747734528.0,0.0,0.0,0.0,0.0,29679.0,75708.0,39.362,31.915,28.723,0.0,0.0,0.0,23.711,29.897,15.464,0.0,0.0,30.928,6737082.0,3545281.0,0.0,0.0,1.890,1.860,1.380,
20-06 00:54:02,4.0,0.0,0.0,185049088.0,17285120.0,146833408.0,1748074496.0,0.0,0.0,0.0,28672.0,27885.0,71741.0,41.667,31.250,27.083,0.0,0.0,0.0,30.693,31.683,16.832,0.0,0.0,20.792,6700440.0,2769296.0,0.0,2.0,1.890,1.860,1.380,
