"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c8.csv",,,,"Date:","19 Jun 2018 21:37:55 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
19-06 21:37:55,0.0,0.0,0.038,195096576.0,161161216.0,681574400.0,1059549184.0,0.0,0.0,163.552,2437.583,33.910,44.208,0.044,0.054,99.866,0.001,0.0,0.035,0.0,0.0,0.009,0.080,0.040,0.170,0.110,
19-06 21:37:56,1.0,0.0,1.0,195596288.0,161161216.0,681578496.0,1059045376.0,0.0,0.0,0.0,0.0,3963.0,4413.0,3.0,6.0,88.0,0.0,0.0,3.0,547967.0,1841500.0,0.0,0.0,0.040,0.170,0.110,
19-06 21:37:57,1.0,0.0,0.0,195756032.0,161161216.0,681578496.0,1058885632.0,0.0,0.0,0.0,0.0,12561.0,14261.0,6.061,17.172,60.606,0.0,0.0,16.162,1782873.0,5994502.0,0.0,0.0,0.040,0.170,0.110,
19-06 21:37:58,1.0,0.0,0.0,195883008.0,161161216.0,681578496.0,1058758656.0,0.0,0.0,0.0,0.0,12321.0,13805.0,2.041,20.408,61.224,0.0,0.0,16.327,1770994.0,5952530.0,0.0,0.0,0.040,0.170,0.110,
19-06 21:37:59,1.0,0.0,0.0,196009984.0,161161216.0,681578496.0,1058631680.0,0.0,0.0,0.0,0.0,13323.0,14190.0,5.0,16.0,55.0,0.0,0.0,24.0,2146491.0,7217294.0,0.0,0.0,0.040,0.170,0.110,
19-06 21:38:00,1.0,0.0,0.0,196104192.0,161161216.0,681578496.0,1058537472.0,0.0,0.0,0.0,0.0,13207.0,14289.0,3.0,22.0,55.0,0.0,0.0,20.0,2013474.0,6771278.0,0.0,0.0,0.040,0.170,0.110,
19-06 21:38:01,1.0,0.0,0.0,196202496.0,161161216.0,681578496.0,1058439168.0,0.0,0.0,0.0,24576.0,12960.0,14076.0,4.673,16.822,52.336,0.0,0.0,26.168,1989342.0,6685324.0,0.0,2.0,0.040,0.170,0.110,
19-06 21:38:02,1.0,0.0,0.0,196263936.0,161161216.0,681578496.0,1058377728.0,0.0,0.0,0.0,0.0,12938.0,14013.0,6.061,22.222,56.566,0.0,0.0,15.152,2057399.0,6917886.0,0.0,0.0,0.040,0.170,0.110,
19-06 21:38:03,1.0,0.0,0.0,196395008.0,161161216.0,681578496.0,1058246656.0,0.0,0.0,0.0,0.0,13197.0,13750.0,2.885,25.0,52.885,0.0,0.0,19.231,2161920.0,7265736.0,0.0,0.0,0.040,0.170,0.110,
19-06 21:38:04,1.0,0.0,0.0,196689920.0,161161216.0,681578496.0,1057951744.0,0.0,0.0,0.0,0.0,12660.0,13133.0,2.830,25.472,50.0,0.0,0.0,21.698,2116995.0,7112598.0,0.0,0.0,0.040,0.170,0.110,
