"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c1000.csv",,,,"Date:","19 Jun 2018 22:17:18 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
19-06 22:17:18,0.000,0.0,1.320,343945216.0,44949504.0,757374976.0,950972416.0,0.0,0.0,17742.597,68759.494,5745.727,13124.010,8.164,5.752,86.057,0.021,0.0,0.005,6.529,4.493,83.924,0.014,0.0,5.039,0.0,0.0,0.927,1.074,1.030,2.440,2.690,
19-06 22:17:19,0.0,0.0,0.0,344010752.0,44949504.0,757379072.0,950902784.0,0.0,0.0,0.0,0.0,42.0,74.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,120.0,138.0,0.0,0.0,1.030,2.440,2.690,
19-06 22:17:20,0.0,0.0,0.0,344010752.0,44949504.0,757379072.0,950902784.0,0.0,0.0,0.0,0.0,42.0,71.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,66.0,1652.0,0.0,0.0,1.030,2.440,2.690,
19-06 22:17:21,11.0,0.0,3.0,349859840.0,44949504.0,757379072.0,945053696.0,0.0,0.0,0.0,0.0,16083.0,32995.0,43.0,17.0,40.0,0.0,0.0,0.0,34.021,13.402,38.144,0.0,0.0,14.433,5434698.0,1712172.0,0.0,0.0,0.950,2.400,2.680,
19-06 22:17:22,7.0,0.0,0.0,346091520.0,44953600.0,757374976.0,948822016.0,0.0,0.0,0.0,28672.0,30335.0,68670.0,67.677,26.263,6.061,0.0,0.0,0.0,43.434,24.242,3.030,0.0,0.0,29.293,8414556.0,2923779.0,0.0,2.0,0.950,2.400,2.680,
19-06 22:17:23,6.0,0.0,0.0,360333312.0,44953600.0,757379072.0,934576128.0,0.0,0.0,0.0,0.0,31227.0,71467.0,51.0,33.0,16.0,0.0,0.0,0.0,34.0,25.0,8.0,0.0,0.0,33.0,9092938.0,3092037.0,0.0,0.0,0.950,2.400,2.680,
19-06 22:17:24,2.0,0.0,0.0,380772352.0,44953600.0,757379072.0,914137088.0,0.0,0.0,0.0,0.0,31501.0,73231.0,57.143,28.571,14.286,0.0,0.0,0.0,35.0,22.0,11.0,0.0,0.0,32.0,9202630.0,3070075.0,0.0,0.0,0.950,2.400,2.680,
19-06 22:17:25,7.0,0.0,0.0,381775872.0,44953600.0,757379072.0,913133568.0,0.0,0.0,0.0,0.0,32636.0,74789.0,52.525,33.333,14.141,0.0,0.0,0.0,30.693,24.752,8.911,0.0,0.0,35.644,9533156.0,3160886.0,0.0,0.0,0.950,2.400,2.680,
19-06 22:17:26,7.0,0.0,0.0,382943232.0,44953600.0,757379072.0,911966208.0,0.0,0.0,0.0,0.0,31382.0,65419.0,34.066,28.571,37.363,0.0,0.0,0.0,41.584,19.802,5.941,0.0,0.0,32.673,8489374.0,2911588.0,0.0,0.0,1.270,2.440,2.690,
19-06 22:17:27,5.0,0.0,0.0,383471616.0,44953600.0,757379072.0,911437824.0,0.0,0.0,0.0,53248.0,31542.0,70549.0,55.0,28.0,17.0,0.0,0.0,0.0,30.392,26.471,9.804,0.0,0.0,33.333,9173858.0,3055955.0,0.0,12.0,1.270,2.440,2.690,
19-06 22:17:28,6.0,0.0,0.0,381362176.0,44957696.0,757379072.0,913543168.0,0.0,0.0,0.0,12288.0,29480.0,69781.0,44.792,35.417,19.792,0.0,0.0,0.0,40.594,17.822,9.901,0.0,0.0,31.683,8373032.0,2874394.0,0.0,2.0,1.270,2.440,2.690,
19-06 22:17:29,5.0,0.0,0.0,378945536.0,44957696.0,757379072.0,915959808.0,0.0,0.0,0.0,0.0,31437.0,64906.0,53.061,27.551,19.388,0.0,0.0,0.0,34.0,21.0,11.0,0.0,0.0,34.0,8591792.0,2891434.0,0.0,0.0,1.270,2.440,2.690,
19-06 22:17:30,9.0,0.0,0.0,375070720.0,44957696.0,757379072.0,919834624.0,0.0,0.0,0.0,0.0,32489.0,58026.0,57.143,27.551,15.306,0.0,0.0,0.0,25.0,22.0,16.0,0.0,0.0,37.0,9109128.0,3112854.0,0.0,0.0,1.270,2.440,2.690,
19-06 22:17:31,2.0,0.0,0.0,371347456.0,44957696.0,757379072.0,923557888.0,0.0,0.0,0.0,0.0,31421.0,56179.0,57.143,26.531,16.327,0.0,0.0,0.0,22.222,21.212,18.182,0.0,0.0,38.384,8773688.0,2981051.0,0.0,0.0,1.570,2.490,2.700,
19-06 22:17:32,2.0,0.0,0.0,369078272.0,44957696.0,757379072.0,925827072.0,0.0,0.0,0.0,8192.0,31154.0,56832.0,51.485,29.703,18.812,0.0,0.0,0.0,28.421,24.211,21.053,0.0,0.0,26.316,8651326.0,2914779.0,0.0,2.0,1.570,2.490,2.700,
19-06 22:17:33,7.0,0.0,0.0,365473792.0,44961792.0,757379072.0,929427456.0,0.0,0.0,0.0,12288.0,31831.0,55628.0,58.586,27.273,14.141,0.0,0.0,0.0,22.449,23.469,18.367,0.0,0.0,35.714,8860668.0,3064259.0,0.0,2.0,1.570,2.490,2.700,
19-06 22:17:34,7.0,0.0,0.0,362377216.0,44961792.0,757379072.0,932524032.0,0.0,0.0,0.0,0.0,31491.0,55137.0,52.0,31.0,17.0,0.0,0.0,0.0,23.158,22.105,24.211,0.0,0.0,30.526,8717730.0,2932161.0,0.0,0.0,1.570,2.490,2.700,
19-06 22:17:35,6.0,0.0,0.0,361414656.0,44961792.0,757383168.0,933482496.0,0.0,0.0,0.0,0.0,30947.0,54429.0,57.692,27.885,14.423,0.0,0.0,0.0,18.750,23.958,17.708,0.0,0.0,39.583,8755812.0,3069079.0,0.0,0.0,1.570,2.490,2.700,
19-06 22:17:36,8.0,0.0,0.0,359718912.0,44961792.0,757383168.0,935178240.0,0.0,0.0,0.0,0.0,30428.0,59196.0,53.465,29.703,16.832,0.0,0.0,0.0,22.222,24.242,20.202,0.0,0.0,33.333,8634062.0,2907940.0,0.0,0.0,2.0,2.560,2.730,
19-06 22:17:37,7.0,0.0,0.0,357707776.0,44961792.0,757383168.0,937189376.0,0.0,0.0,0.0,0.0,31312.0,67419.0,48.980,32.653,18.367,0.0,0.0,0.0,31.313,20.202,15.152,0.0,0.0,33.333,8938418.0,2983538.0,0.0,0.0,2.0,2.560,2.730,
19-06 22:17:38,5.0,0.0,0.0,356098048.0,44965888.0,757383168.0,938795008.0,0.0,0.0,0.0,12288.0,32229.0,60132.0,58.163,31.633,10.204,0.0,0.0,0.0,17.526,22.680,21.649,0.0,0.0,38.144,9262980.0,3083884.0,0.0,2.0,2.0,2.560,2.730,
19-06 22:17:39,7.0,0.0,0.0,356335616.0,44965888.0,757383168.0,938557440.0,0.0,0.0,0.0,0.0,29928.0,69141.0,51.579,25.263,23.158,0.0,0.0,0.0,32.673,24.752,10.891,0.0,0.0,31.683,8596210.0,2861759.0,0.0,0.0,2.0,2.560,2.730,
19-06 22:17:40,6.0,0.0,0.0,352137216.0,44965888.0,757383168.0,942755840.0,0.0,0.0,0.0,0.0,32620.0,73541.0,50.0,31.250,18.750,0.0,0.0,0.0,36.735,24.490,8.163,0.0,0.0,30.612,9283870.0,3099559.0,0.0,0.0,2.0,2.560,2.730,
19-06 22:17:41,5.0,0.0,0.0,351203328.0,44965888.0,757383168.0,943689728.0,0.0,0.0,0.0,0.0,30325.0,71909.0,48.485,29.293,22.222,0.0,0.0,0.0,34.0,21.0,11.0,0.0,0.0,34.0,8806358.0,2967273.0,0.0,0.0,2.490,2.650,2.760,
19-06 22:17:42,2.0,0.0,0.0,347693056.0,44965888.0,757383168.0,947200000.0,0.0,0.0,0.0,0.0,29455.0,72382.0,51.546,32.990,15.464,0.0,0.0,0.0,25.0,20.0,22.0,0.0,0.0,33.0,8534234.0,2860679.0,0.0,0.0,2.490,2.650,2.760,
19-06 22:17:43,8.0,0.0,0.0,344858624.0,44969984.0,757383168.0,950030336.0,0.0,0.0,0.0,12288.0,31869.0,74645.0,54.902,30.392,14.706,0.0,0.0,0.0,32.0,23.0,12.0,0.0,0.0,33.0,9307452.0,3050328.0,0.0,2.0,2.490,2.650,2.760,
19-06 22:17:44,7.0,0.0,0.0,341200896.0,44969984.0,757383168.0,953688064.0,0.0,0.0,0.0,0.0,32288.0,71739.0,51.579,30.526,17.895,0.0,0.0,0.0,37.864,21.359,8.738,0.0,0.0,32.039,9140070.0,3040932.0,0.0,0.0,2.490,2.650,2.760,
19-06 22:17:45,3.0,0.0,0.0,338321408.0,44969984.0,757383168.0,956567552.0,0.0,0.0,0.0,0.0,31735.0,64689.0,55.0,32.0,13.0,0.0,0.0,0.0,29.0,20.0,15.0,0.0,0.0,36.0,9156422.0,3110368.0,0.0,0.0,2.490,2.650,2.760,
