"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c8.csv",,,,"Date:","20 Jun 2018 00:53:30 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
20-06 00:53:30,0.0,0.0,0.038,206204928.0,161210368.0,684711936.0,1045254144.0,0.0,0.0,162.767,2436.768,50.403,62.082,0.049,0.079,99.811,0.001,0.0,0.060,0.0,0.0,0.009,0.081,0.160,0.200,0.100,
20-06 00:53:31,0.0,0.0,0.0,206196736.0,161210368.0,684716032.0,1045258240.0,0.0,0.0,0.0,0.0,17.0,38.0,0.0,0.0,100.0,0.0,0.0,0.0,730.0,1362.0,0.0,0.0,0.160,0.200,0.100,
20-06 00:53:32,1.0,0.0,1.0,206987264.0,161210368.0,684716032.0,1044467712.0,0.0,0.0,0.0,0.0,435.0,471.0,1.010,0.0,98.990,0.0,0.0,0.0,61049.0,209996.0,0.0,0.0,0.160,0.200,0.100,
20-06 00:53:33,1.0,0.0,0.0,207147008.0,161210368.0,684716032.0,1044307968.0,0.0,0.0,0.0,0.0,13364.0,14710.0,3.0,18.0,62.0,0.0,0.0,17.0,1769035.0,5945440.0,0.0,0.0,0.160,0.200,0.100,
20-06 00:53:34,1.0,0.0,0.0,207278080.0,161210368.0,684716032.0,1044176896.0,0.0,0.0,0.0,8192.0,13412.0,15376.0,5.051,22.222,61.616,0.0,0.0,11.111,1768996.0,5946634.0,0.0,2.0,0.160,0.200,0.100,
20-06 00:53:35,1.0,0.0,0.0,207339520.0,161210368.0,684716032.0,1044115456.0,0.0,0.0,0.0,0.0,13088.0,14948.0,5.263,20.0,65.263,0.0,0.0,9.474,1763084.0,5923332.0,0.0,0.0,0.150,0.200,0.100,
20-06 00:53:36,1.0,0.0,0.0,207400960.0,161210368.0,684716032.0,1044054016.0,0.0,0.0,0.0,28672.0,12916.0,14711.0,2.151,13.978,66.667,0.0,0.0,17.204,1734442.0,5834854.0,0.0,2.0,0.150,0.200,0.100,
20-06 00:53:37,1.0,0.0,0.0,207400960.0,161210368.0,684716032.0,1044054016.0,0.0,0.0,0.0,0.0,13281.0,15052.0,3.333,13.333,66.667,0.0,0.0,16.667,1760970.0,5914528.0,0.0,0.0,0.150,0.200,0.100,
20-06 00:53:38,1.0,0.0,0.0,207527936.0,161210368.0,684716032.0,1043927040.0,0.0,0.0,0.0,0.0,13131.0,15105.0,3.093,12.371,64.948,0.0,0.0,19.588,1729630.0,5814640.0,0.0,0.0,0.150,0.200,0.100,
20-06 00:53:39,1.0,0.0,0.0,207720448.0,161210368.0,684716032.0,1043734528.0,0.0,0.0,0.0,0.0,13602.0,15494.0,3.030,16.162,61.616,0.0,0.0,19.192,1807912.0,6080498.0,0.0,0.0,0.150,0.200,0.100,
20-06 00:53:40,1.0,0.0,0.0,207749120.0,161210368.0,684716032.0,1043705856.0,0.0,0.0,0.0,0.0,13693.0,14939.0,3.158,16.842,61.053,0.0,0.0,18.947,1987479.0,6682024.0,0.0,0.0,0.130,0.200,0.100,
20-06 00:53:41,1.0,0.0,0.0,208007168.0,161210368.0,684716032.0,1043447808.0,0.0,0.0,0.0,12288.0,13724.0,15486.0,4.082,14.286,61.224,0.0,0.0,20.408,1910866.0,6417828.0,0.0,2.0,0.130,0.200,0.100,
20-06 00:53:42,1.0,0.0,0.0,208101376.0,161210368.0,684716032.0,1043353600.0,0.0,0.0,0.0,0.0,13740.0,15017.0,3.061,20.408,60.204,0.0,0.0,16.327,1947320.0,6551298.0,0.0,0.0,0.130,0.200,0.100,
20-06 00:53:43,1.0,0.0,0.0,208261120.0,161210368.0,684716032.0,1043193856.0,0.0,0.0,0.0,0.0,13174.0,14712.0,3.093,14.433,61.856,0.0,0.0,20.619,1821025.0,6117338.0,0.0,0.0,0.130,0.200,0.100,
20-06 00:53:44,1.0,0.0,0.0,208453632.0,161210368.0,684716032.0,1043001344.0,0.0,0.0,0.0,0.0,13879.0,15249.0,2.174,17.391,64.130,0.0,0.0,16.304,1941827.0,6527582.0,0.0,0.0,0.130,0.200,0.100,
20-06 00:53:45,1.0,0.0,0.0,208420864.0,161210368.0,684716032.0,1043034112.0,0.0,0.0,0.0,0.0,13706.0,14984.0,2.020,19.192,57.576,0.0,0.0,21.212,1965844.0,6612694.0,0.0,0.0,0.200,0.210,0.110,
20-06 00:53:46,1.0,0.0,0.0,208613376.0,161210368.0,684716032.0,1042841600.0,0.0,0.0,0.0,12288.0,12854.0,14359.0,2.083,15.625,63.542,0.0,0.0,18.750,1811530.0,6086600.0,0.0,2.0,0.200,0.210,0.110,
20-06 00:53:47,1.0,0.0,0.0,208642048.0,161210368.0,684716032.0,1042812928.0,0.0,0.0,0.0,0.0,13657.0,15107.0,4.854,18.447,58.252,0.0,0.0,18.447,1909667.0,6420690.0,0.0,0.0,0.200,0.210,0.110,
20-06 00:53:48,1.0,0.0,0.0,208769024.0,161210368.0,684716032.0,1042685952.0,0.0,0.0,0.0,0.0,13536.0,14670.0,3.061,20.408,59.184,0.0,0.0,17.347,1906071.0,6405798.0,0.0,0.0,0.200,0.210,0.110,
20-06 00:53:49,1.0,0.0,0.0,208859136.0,161210368.0,684720128.0,1042591744.0,0.0,0.0,0.0,0.0,13444.0,14826.0,3.061,21.429,59.184,0.0,0.0,16.327,1917398.0,6447898.0,0.0,0.0,0.200,0.210,0.110,
