"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c64.csv",,,,"Date:","20 Jun 2018 01:12:32 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
20-06 01:12:32,0.0,0.0,0.407,191176704.0,18784256.0,147337216.0,1739943936.0,0.0,0.0,35581.919,423433.379,15226.756,38705.014,16.819,16.030,67.033,0.115,0.0,0.003,16.112,13.501,60.111,0.010,0.0,10.266,0.0,0.0,1.701,1.694,0.090,1.170,1.530,
20-06 01:12:33,0.0,0.0,0.0,191148032.0,18784256.0,147341312.0,1739968512.0,0.0,0.0,0.0,0.0,51.0,90.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,180.0,566.0,0.0,0.0,0.090,1.170,1.530,
20-06 01:12:34,0.0,0.0,0.0,191148032.0,18784256.0,147341312.0,1739968512.0,0.0,0.0,0.0,8192.0,44.0,70.0,0.990,0.0,99.010,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,120.0,1630.0,0.0,2.0,0.080,1.150,1.520,
20-06 01:12:35,0.0,0.0,0.0,191148032.0,18784256.0,147341312.0,1739968512.0,0.0,0.0,0.0,0.0,39.0,70.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,144.0,0.0,0.0,0.080,1.150,1.520,
20-06 01:12:36,2.0,0.0,0.0,192417792.0,18784256.0,147341312.0,1738698752.0,0.0,0.0,0.0,0.0,12424.0,33521.0,21.0,13.0,66.0,0.0,0.0,0.0,18.557,9.278,65.979,0.0,0.0,6.186,2709780.0,964639.0,0.0,0.0,0.080,1.150,1.520,
20-06 01:12:37,2.0,0.0,0.0,192667648.0,18784256.0,147341312.0,1738448896.0,0.0,0.0,0.0,0.0,31534.0,86340.0,49.505,28.713,21.782,0.0,0.0,0.0,35.644,26.733,11.881,0.0,0.0,25.743,6273292.0,2372670.0,0.0,0.0,0.080,1.150,1.520,
20-06 01:12:38,5.0,0.0,0.0,191488000.0,18792448.0,147341312.0,1739620352.0,0.0,0.0,0.0,32768.0,30512.0,79500.0,42.424,40.404,17.172,0.0,0.0,0.0,38.0,20.0,18.0,0.0,0.0,24.0,6367822.0,2476996.0,0.0,2.0,0.080,1.150,1.520,
20-06 01:12:39,2.0,0.0,0.0,190558208.0,18792448.0,147341312.0,1740550144.0,0.0,0.0,0.0,0.0,29159.0,71730.0,37.113,40.206,22.680,0.0,0.0,0.0,30.928,20.619,23.711,0.0,0.0,24.742,5935834.0,2386671.0,0.0,0.0,0.240,1.170,1.530,
20-06 01:12:40,4.0,0.0,0.0,190779392.0,18792448.0,147341312.0,1740328960.0,0.0,0.0,0.0,0.0,30733.0,70750.0,40.0,39.0,21.0,0.0,0.0,0.0,37.500,19.792,20.833,0.0,0.0,21.875,5940226.0,2353832.0,0.0,0.0,0.240,1.170,1.530,
20-06 01:12:41,3.0,0.0,0.0,190570496.0,18792448.0,147341312.0,1740537856.0,0.0,0.0,0.0,0.0,25027.0,79443.0,35.644,41.584,22.772,0.0,0.0,0.0,32.0,23.0,23.0,0.0,0.0,22.0,5748548.0,2370464.0,0.0,0.0,0.240,1.170,1.530,
