"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c2.csv",,,,"Date:","19 Jun 2018 21:24:42 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
19-06 21:24:42,0.0,0.0,0.038,195010560.0,161161216.0,681435136.0,1059774464.0,0.0,0.0,163.605,2437.367,30.709,40.579,0.043,0.049,99.876,0.001,0.0,0.031,0.0,0.0,0.009,0.080,0.050,0.070,0.030,
19-06 21:24:43,0.0,0.0,1.0,195596288.0,161161216.0,681439232.0,1059184640.0,0.0,0.0,0.0,0.0,3824.0,4439.0,0.0,6.122,90.816,0.0,0.0,3.061,470829.0,1583596.0,0.0,0.0,0.050,0.070,0.030,
19-06 21:24:44,1.0,0.0,0.0,195596288.0,161161216.0,681439232.0,1059184640.0,0.0,0.0,0.0,0.0,10035.0,11879.0,4.0,13.0,70.0,0.0,0.0,13.0,1228792.0,4127820.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:45,1.0,0.0,0.0,195624960.0,161161216.0,681439232.0,1059155968.0,0.0,0.0,0.0,0.0,9659.0,11326.0,5.660,12.264,66.981,0.0,0.0,15.094,1208715.0,4063664.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:46,1.0,0.0,0.0,195727360.0,161161216.0,681439232.0,1059053568.0,0.0,0.0,0.0,0.0,10312.0,12350.0,4.040,13.131,69.697,0.0,0.0,13.131,1288946.0,4329926.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:47,0.0,0.0,0.0,195887104.0,161161216.0,681439232.0,1058893824.0,0.0,0.0,0.0,0.0,9950.0,11727.0,0.943,15.094,67.925,0.0,0.0,16.038,1227964.0,4127534.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:48,1.0,0.0,0.0,195915776.0,161161216.0,681439232.0,1058865152.0,0.0,0.0,0.0,24576.0,10164.0,12067.0,3.0,13.0,71.0,0.0,0.0,13.0,1262881.0,4245772.0,0.0,2.0,0.040,0.070,0.030,
19-06 21:24:49,0.0,0.0,0.0,195981312.0,161161216.0,681439232.0,1058799616.0,0.0,0.0,0.0,0.0,10170.0,12062.0,4.040,10.101,70.707,0.0,0.0,15.152,1275790.0,4288752.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:50,1.0,0.0,0.0,196108288.0,161161216.0,681439232.0,1058672640.0,0.0,0.0,0.0,0.0,10490.0,12234.0,2.913,15.534,67.961,0.0,0.0,13.592,1293541.0,4348852.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:51,1.0,0.0,0.0,196235264.0,161161216.0,681439232.0,1058545664.0,0.0,0.0,0.0,0.0,10362.0,12312.0,1.887,14.151,66.981,0.0,0.0,16.981,1265706.0,4254528.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:52,1.0,0.0,0.0,196202496.0,161161216.0,681439232.0,1058578432.0,0.0,0.0,0.0,0.0,11036.0,12742.0,2.083,12.500,71.875,0.0,0.0,13.542,1364059.0,4585936.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:53,1.0,0.0,0.0,196395008.0,161161216.0,681439232.0,1058385920.0,0.0,0.0,0.0,12288.0,10991.0,13052.0,2.857,19.048,64.762,0.0,0.0,13.333,1371316.0,4608448.0,0.0,2.0,0.040,0.070,0.030,
19-06 21:24:54,1.0,0.0,0.0,196489216.0,161161216.0,681439232.0,1058291712.0,0.0,0.0,0.0,0.0,10892.0,12858.0,2.941,15.686,66.667,0.0,0.0,14.706,1358809.0,4568550.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:55,1.0,0.0,0.0,196521984.0,161161216.0,681439232.0,1058258944.0,0.0,0.0,0.0,0.0,10436.0,12276.0,4.082,10.204,69.388,0.0,0.0,16.327,1311768.0,4409352.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:56,1.0,0.0,0.0,196616192.0,161161216.0,681439232.0,1058164736.0,0.0,0.0,0.0,0.0,10154.0,11891.0,2.041,12.245,72.449,0.0,0.0,13.265,1250583.0,4204402.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:57,1.0,0.0,0.0,196521984.0,161161216.0,681439232.0,1058258944.0,0.0,0.0,0.0,0.0,10557.0,12513.0,3.810,16.190,65.714,0.0,0.0,14.286,1292721.0,4345580.0,0.0,0.0,0.040,0.070,0.030,
19-06 21:24:58,1.0,0.0,0.0,196714496.0,161161216.0,681439232.0,1058066432.0,0.0,0.0,0.0,12288.0,10297.0,12182.0,4.0,13.0,71.0,0.0,0.0,12.0,1249521.0,4201196.0,0.0,2.0,0.040,0.070,0.030,
19-06 21:24:59,1.0,0.0,0.0,196808704.0,161161216.0,681439232.0,1057972224.0,0.0,0.0,0.0,0.0,10864.0,12939.0,3.030,13.131,69.697,0.0,0.0,14.141,1320663.0,4438766.0,0.0,0.0,0.030,0.070,0.030,
19-06 21:25:00,1.0,0.0,0.0,196841472.0,161161216.0,681439232.0,1057939456.0,0.0,0.0,0.0,0.0,11282.0,13343.0,3.774,13.208,64.151,0.0,0.0,18.868,1373628.0,4618372.0,0.0,0.0,0.030,0.070,0.030,
