"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c32.csv",,,,"Date:","19 Jun 2018 21:47:07 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
19-06 21:47:07,0.000,0.0,1.489,236838912.0,43343872.0,754413568.0,1062645760.0,0.0,0.0,20658.356,79441.485,3820.417,8827.025,5.043,3.750,91.178,0.024,0.0,0.005,4.359,3.178,89.530,0.017,0.0,2.916,0.0,0.0,1.079,1.166,2.490,3.090,2.370,
19-06 21:47:08,2.0,0.0,3.0,237703168.0,43343872.0,754417664.0,1061777408.0,0.0,0.0,0.0,0.0,8966.0,15457.0,15.152,8.081,76.768,0.0,0.0,0.0,4.082,7.143,80.612,0.0,0.0,8.163,2334934.0,774997.0,0.0,0.0,2.490,3.090,2.370,
19-06 21:47:09,2.0,0.0,1.0,238940160.0,43343872.0,754417664.0,1060540416.0,0.0,0.0,0.0,0.0,29032.0,52213.0,50.0,29.167,20.833,0.0,0.0,0.0,25.0,21.0,26.0,0.0,0.0,28.0,7413374.0,2665565.0,0.0,0.0,2.370,3.060,2.360,
19-06 21:47:10,2.0,0.0,0.0,247676928.0,43343872.0,754417664.0,1051803648.0,0.0,0.0,0.0,16384.0,20506.0,34608.0,53.968,26.984,19.048,0.0,0.0,0.0,17.347,12.245,52.041,0.0,0.0,18.367,5244442.0,1879400.0,0.0,2.0,2.370,3.060,2.360,
19-06 21:47:11,5.0,0.0,3.0,248532992.0,43343872.0,754417664.0,1050947584.0,0.0,0.0,0.0,0.0,30967.0,58281.0,49.495,25.253,25.253,0.0,0.0,0.0,24.742,24.742,19.588,0.0,0.0,30.928,8391418.0,3005821.0,0.0,0.0,2.370,3.060,2.360,
19-06 21:47:12,4.0,0.0,5.0,249208832.0,43343872.0,754417664.0,1050271744.0,0.0,0.0,0.0,0.0,31470.0,59321.0,47.959,28.571,23.469,0.0,0.0,0.0,25.0,22.0,23.0,0.0,0.0,30.0,8095024.0,2891555.0,0.0,0.0,2.370,3.060,2.360,
19-06 21:47:13,3.0,0.0,0.0,248922112.0,43347968.0,754417664.0,1050554368.0,0.0,0.0,0.0,32768.0,31104.0,56817.0,51.961,26.471,21.569,0.0,0.0,0.0,23.158,22.105,25.263,0.0,0.0,29.474,8193278.0,2917060.0,0.0,2.0,2.370,3.060,2.360,
19-06 21:47:14,2.0,0.0,0.0,249008128.0,43347968.0,754417664.0,1050468352.0,0.0,0.0,0.0,0.0,31360.0,53920.0,53.535,29.293,17.172,0.0,0.0,0.0,21.649,25.773,21.649,0.0,0.0,30.928,8592836.0,3095287.0,0.0,0.0,2.820,3.140,2.390,
19-06 21:47:15,2.0,0.0,0.0,248508416.0,43347968.0,754417664.0,1050968064.0,0.0,0.0,0.0,28672.0,28243.0,70400.0,39.175,31.959,28.866,0.0,0.0,0.0,38.235,18.627,17.647,0.0,0.0,25.490,7728742.0,2721882.0,0.0,7.0,2.820,3.140,2.390,
19-06 21:47:16,4.0,0.0,0.0,248741888.0,43347968.0,754417664.0,1050734592.0,0.0,0.0,0.0,0.0,27740.0,73440.0,49.505,33.663,16.832,0.0,0.0,0.0,27.273,20.202,22.222,0.0,0.0,30.303,7854232.0,2779663.0,0.0,0.0,2.820,3.140,2.390,
