"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Cliente",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c16.csv",,,,"Date:","21 Jun 2018 01:11:21 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
21-06 01:11:21,0.0,0.0,0.038,195256320.0,161513472.0,686723072.0,1053888512.0,0.0,0.0,157.151,2467.350,65.096,78.505,0.053,0.098,99.767,0.001,0.0,0.080,0.0,0.0,0.009,0.082,0.030,0.020,0.0,
21-06 01:11:22,0.0,0.0,0.0,195252224.0,161513472.0,686727168.0,1053888512.0,0.0,0.0,0.0,0.0,17.0,38.0,0.0,0.0,100.0,0.0,0.0,0.0,486.0,1156.0,0.0,0.0,0.030,0.020,0.0,
21-06 01:11:23,0.0,0.0,1.0,196108288.0,161513472.0,686727168.0,1053032448.0,0.0,0.0,0.0,0.0,1702.0,1996.0,0.0,1.0,94.0,0.0,0.0,5.0,186770.0,1792326.0,0.0,0.0,0.030,0.020,0.0,
21-06 01:11:24,0.0,0.0,0.0,196206592.0,161513472.0,686727168.0,1052934144.0,0.0,0.0,0.0,0.0,1878.0,2223.0,0.0,2.0,94.0,0.0,0.0,4.0,204828.0,1923386.0,0.0,0.0,0.030,0.020,0.0,
21-06 01:11:25,0.0,0.0,0.0,196173824.0,161513472.0,686727168.0,1052966912.0,0.0,0.0,0.0,0.0,1844.0,2142.0,0.0,2.062,97.938,0.0,0.0,0.0,202578.0,1891220.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:26,1.0,0.0,0.0,196206592.0,161513472.0,686727168.0,1052934144.0,0.0,0.0,0.0,28672.0,1865.0,2218.0,1.010,1.010,94.949,0.0,0.0,3.030,202781.0,1913310.0,0.0,2.0,0.020,0.020,0.0,
21-06 01:11:27,0.0,0.0,0.0,196108288.0,161513472.0,686727168.0,1053032448.0,0.0,0.0,0.0,0.0,1926.0,2277.0,0.0,3.0,94.0,0.0,0.0,3.0,209598.0,1961208.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:28,1.0,0.0,0.0,196075520.0,161513472.0,686727168.0,1053065216.0,0.0,0.0,0.0,0.0,1874.0,2234.0,0.0,2.970,93.069,0.0,0.0,3.960,203407.0,1915030.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:29,0.0,0.0,0.0,196173824.0,161513472.0,686727168.0,1052966912.0,0.0,0.0,0.0,0.0,1752.0,2080.0,1.010,2.020,95.960,0.0,0.0,1.010,190386.0,1793068.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:30,1.0,0.0,0.0,196046848.0,161513472.0,686727168.0,1053093888.0,0.0,0.0,0.0,8192.0,1828.0,2173.0,0.0,1.020,95.918,0.0,0.0,3.061,198131.0,1863650.0,0.0,2.0,0.020,0.020,0.0,
21-06 01:11:31,0.0,0.0,0.0,196014080.0,161513472.0,686727168.0,1053126656.0,0.0,0.0,0.0,20480.0,1878.0,2225.0,1.0,3.0,94.0,0.0,0.0,2.0,206306.0,1930488.0,0.0,2.0,0.020,0.020,0.0,
21-06 01:11:32,1.0,0.0,0.0,196046848.0,161513472.0,686727168.0,1053093888.0,0.0,0.0,0.0,0.0,1738.0,2056.0,1.010,2.020,94.949,0.0,0.0,2.020,187660.0,1767234.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:33,1.0,0.0,0.0,196046848.0,161513472.0,686727168.0,1053093888.0,0.0,0.0,0.0,0.0,1816.0,2137.0,0.980,2.941,92.157,0.0,0.0,3.922,198959.0,1872590.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:34,0.0,0.0,0.0,196014080.0,161513472.0,686727168.0,1053126656.0,0.0,0.0,0.0,0.0,1854.0,2182.0,0.0,2.020,94.949,0.0,0.0,3.030,202638.0,1905770.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:35,0.0,0.0,0.0,196206592.0,161513472.0,686727168.0,1052934144.0,0.0,0.0,0.0,0.0,1846.0,2191.0,0.0,2.020,94.949,0.0,0.0,3.030,202083.0,1909274.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:36,1.0,0.0,0.0,196206592.0,161513472.0,686727168.0,1052934144.0,0.0,0.0,0.0,12288.0,1935.0,2296.0,0.980,2.941,92.157,0.0,0.0,3.922,213034.0,2009690.0,0.0,2.0,0.020,0.020,0.0,
21-06 01:11:37,0.0,0.0,0.0,196337664.0,161513472.0,686727168.0,1052803072.0,0.0,0.0,0.0,0.0,1869.0,2217.0,0.0,3.960,93.069,0.0,0.0,2.970,206115.0,1938050.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:38,0.0,0.0,0.0,196239360.0,161513472.0,686727168.0,1052901376.0,0.0,0.0,0.0,0.0,1886.0,2252.0,0.0,2.020,94.949,0.0,0.0,3.030,210288.0,1979550.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:39,0.0,0.0,0.0,196173824.0,161513472.0,686727168.0,1052966912.0,0.0,0.0,0.0,0.0,1829.0,2174.0,1.031,0.0,96.907,0.0,0.0,2.062,206412.0,1947092.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:40,0.0,0.0,0.0,196304896.0,161513472.0,686727168.0,1052835840.0,0.0,0.0,0.0,28672.0,1876.0,2273.0,0.0,4.0,94.0,0.0,0.0,2.0,207740.0,1968158.0,0.0,7.0,0.020,0.020,0.0,
21-06 01:11:41,0.0,0.0,0.0,196333568.0,161513472.0,686731264.0,1052803072.0,0.0,0.0,0.0,12288.0,1925.0,2272.0,0.0,1.031,96.907,0.0,0.0,2.062,213967.0,2006514.0,0.0,2.0,0.020,0.020,0.0,
21-06 01:11:42,0.0,0.0,0.0,196202496.0,161513472.0,686731264.0,1052934144.0,0.0,0.0,0.0,0.0,1870.0,2208.0,1.010,1.010,94.949,0.0,0.0,3.030,208430.0,1969224.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:43,1.0,0.0,0.0,196300800.0,161513472.0,686731264.0,1052835840.0,0.0,0.0,0.0,0.0,1776.0,2134.0,0.0,2.970,93.069,0.0,0.0,3.960,195081.0,1836886.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:44,0.0,0.0,0.0,196235264.0,161513472.0,686731264.0,1052901376.0,0.0,0.0,0.0,0.0,1922.0,2324.0,1.0,2.0,94.0,0.0,0.0,3.0,209782.0,1982438.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:45,0.0,0.0,0.0,196296704.0,161513472.0,686731264.0,1052839936.0,0.0,0.0,0.0,8192.0,1738.0,2093.0,0.990,1.980,94.059,0.0,0.0,2.970,193345.0,1821938.0,0.0,1.0,0.020,0.020,0.0,
21-06 01:11:46,0.0,0.0,0.0,196296704.0,161513472.0,686731264.0,1052839936.0,0.0,0.0,0.0,28672.0,1829.0,2222.0,0.0,1.980,93.069,0.0,0.0,4.950,201930.0,1914236.0,0.0,2.0,0.020,0.020,0.0,
21-06 01:11:47,0.0,0.0,0.0,196329472.0,161513472.0,686731264.0,1052807168.0,0.0,0.0,0.0,0.0,1822.0,2186.0,0.0,1.031,96.907,0.0,0.0,2.062,198274.0,1868636.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:48,0.0,0.0,0.0,196460544.0,161513472.0,686731264.0,1052676096.0,0.0,0.0,0.0,0.0,1836.0,2251.0,1.031,1.031,96.907,0.0,0.0,1.031,196337.0,1861556.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:49,0.0,0.0,0.0,196263936.0,161513472.0,686731264.0,1052872704.0,0.0,0.0,0.0,0.0,1830.0,2194.0,0.0,3.960,93.069,0.0,0.0,2.970,199925.0,1878100.0,0.0,0.0,0.020,0.020,0.0,
21-06 01:11:50,0.0,0.0,0.0,196395008.0,161513472.0,686731264.0,1052741632.0,0.0,0.0,0.0,0.0,1990.0,2369.0,0.0,2.970,93.069,0.0,0.0,3.960,218395.0,2055144.0,0.0,0.0,0.010,0.020,0.0,
21-06 01:11:51,1.0,0.0,0.0,196427776.0,161513472.0,686731264.0,1052708864.0,0.0,0.0,0.0,12288.0,1898.0,2251.0,0.980,4.902,91.176,0.0,0.0,2.941,205624.0,1947162.0,0.0,2.0,0.010,0.020,0.0,
21-06 01:11:52,1.0,0.0,0.0,196427776.0,161513472.0,686731264.0,1052708864.0,0.0,0.0,0.0,0.0,1778.0,2114.0,0.990,1.980,94.059,0.0,0.0,2.970,191043.0,1790188.0,0.0,0.0,0.010,0.020,0.0,
21-06 01:11:53,1.0,0.0,0.0,196329472.0,161513472.0,686731264.0,1052807168.0,0.0,0.0,0.0,0.0,1832.0,2223.0,0.0,3.093,96.907,0.0,0.0,0.0,205996.0,1942254.0,0.0,0.0,0.010,0.020,0.0,
21-06 01:11:54,0.0,0.0,0.0,196329472.0,161513472.0,686731264.0,1052807168.0,0.0,0.0,0.0,0.0,1871.0,2204.0,0.0,1.961,92.157,0.0,0.0,5.882,204763.0,1914172.0,0.0,0.0,0.010,0.020,0.0,
21-06 01:11:55,0.0,0.0,0.0,196362240.0,161513472.0,686731264.0,1052774400.0,0.0,0.0,0.0,8192.0,1948.0,2290.0,0.0,3.0,94.0,0.0,0.0,3.0,211577.0,1990868.0,0.0,1.0,0.010,0.010,0.0,
21-06 01:11:56,0.0,0.0,0.0,196554752.0,161513472.0,686731264.0,1052581888.0,0.0,0.0,0.0,20480.0,1820.0,2170.0,1.031,1.031,96.907,0.0,0.0,1.031,201817.0,1898136.0,0.0,2.0,0.010,0.010,0.0,
21-06 01:11:57,1.0,0.0,0.0,196554752.0,161513472.0,686731264.0,1052581888.0,0.0,0.0,0.0,0.0,1840.0,2229.0,0.0,2.062,96.907,0.0,0.0,1.031,201932.0,1905872.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:11:58,0.0,0.0,0.0,196489216.0,161513472.0,686731264.0,1052647424.0,0.0,0.0,0.0,0.0,1772.0,2156.0,1.961,1.961,93.137,0.0,0.0,2.941,191200.0,1800788.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:11:59,0.0,0.0,0.0,196456448.0,161513472.0,686731264.0,1052680192.0,0.0,0.0,0.0,0.0,1849.0,2216.0,0.0,2.041,95.918,0.0,0.0,2.041,205435.0,1949824.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:00,0.0,0.0,0.0,196554752.0,161513472.0,686731264.0,1052581888.0,0.0,0.0,0.0,0.0,1808.0,2195.0,0.0,2.041,95.918,0.0,0.0,2.041,199478.0,1866016.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:01,1.0,0.0,0.0,196554752.0,161513472.0,686731264.0,1052581888.0,0.0,0.0,0.0,12288.0,1738.0,2068.0,0.0,2.041,95.918,0.0,0.0,2.041,190302.0,1791636.0,0.0,2.0,0.010,0.010,0.0,
21-06 01:12:02,0.0,0.0,0.0,196456448.0,161513472.0,686731264.0,1052680192.0,0.0,0.0,0.0,0.0,1747.0,2120.0,0.0,1.020,95.918,0.0,0.0,3.061,192335.0,1821362.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:03,0.0,0.0,0.0,196521984.0,161513472.0,686731264.0,1052614656.0,0.0,0.0,0.0,0.0,1780.0,2136.0,0.0,3.0,94.0,0.0,0.0,3.0,199255.0,1880174.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:04,1.0,0.0,0.0,196517888.0,161513472.0,686735360.0,1052614656.0,0.0,0.0,0.0,0.0,1821.0,2174.0,0.0,3.0,95.0,0.0,0.0,2.0,201064.0,1902602.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:05,0.0,0.0,0.0,196419584.0,161513472.0,686735360.0,1052712960.0,0.0,0.0,0.0,0.0,1840.0,2222.0,0.0,2.020,94.949,0.0,0.0,3.030,208014.0,1962310.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:06,0.0,0.0,0.0,196644864.0,161513472.0,686735360.0,1052487680.0,0.0,0.0,0.0,12288.0,1801.0,2160.0,0.0,0.0,96.907,0.0,0.0,3.093,200224.0,1899508.0,0.0,2.0,0.010,0.010,0.0,
21-06 01:12:07,0.0,0.0,0.0,196546560.0,161513472.0,686735360.0,1052585984.0,0.0,0.0,0.0,0.0,1878.0,2219.0,0.0,2.0,94.0,0.0,0.0,4.0,208890.0,1956394.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:08,1.0,0.0,0.0,196546560.0,161513472.0,686735360.0,1052585984.0,0.0,0.0,0.0,0.0,1808.0,2180.0,2.0,2.0,94.0,0.0,0.0,2.0,200435.0,1900816.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:09,0.0,0.0,0.0,196612096.0,161513472.0,686735360.0,1052520448.0,0.0,0.0,0.0,0.0,1823.0,2124.0,0.0,2.041,95.918,0.0,0.0,2.041,197915.0,1854112.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:10,0.0,0.0,0.0,196546560.0,161513472.0,686735360.0,1052585984.0,0.0,0.0,0.0,0.0,1653.0,1976.0,0.0,1.020,96.939,0.0,0.0,2.041,177983.0,1672986.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:11,0.0,0.0,0.0,196579328.0,161513472.0,686735360.0,1052553216.0,0.0,0.0,0.0,12288.0,1721.0,2059.0,0.0,3.061,95.918,0.0,0.0,1.020,191074.0,1800228.0,0.0,2.0,0.010,0.010,0.0,
21-06 01:12:12,0.0,0.0,0.0,196644864.0,161513472.0,686735360.0,1052487680.0,0.0,0.0,0.0,0.0,1683.0,2030.0,1.020,1.020,96.939,0.0,0.0,1.020,181797.0,1720676.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:13,0.0,0.0,0.0,196579328.0,161513472.0,686735360.0,1052553216.0,0.0,0.0,0.0,0.0,1876.0,2256.0,0.0,2.062,96.907,0.0,0.0,1.031,207204.0,1962962.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:14,0.0,0.0,0.0,196644864.0,161513472.0,686735360.0,1052487680.0,0.0,0.0,0.0,0.0,1794.0,2186.0,1.0,2.0,94.0,0.0,0.0,3.0,197959.0,1866548.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:15,1.0,0.0,0.0,196710400.0,161513472.0,686735360.0,1052422144.0,0.0,0.0,0.0,0.0,1854.0,2163.0,0.0,1.980,93.069,0.0,0.0,4.950,201496.0,1896480.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:16,0.0,0.0,0.0,196546560.0,161513472.0,686735360.0,1052585984.0,0.0,0.0,0.0,12288.0,1750.0,2094.0,1.031,1.031,96.907,0.0,0.0,1.031,197892.0,1859890.0,0.0,2.0,0.010,0.010,0.0,
21-06 01:12:17,0.0,0.0,0.0,196804608.0,161513472.0,686735360.0,1052327936.0,0.0,0.0,0.0,0.0,1800.0,2169.0,1.010,1.010,94.949,0.0,0.0,3.030,204270.0,1931720.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:18,0.0,0.0,0.0,196804608.0,161513472.0,686735360.0,1052327936.0,0.0,0.0,0.0,0.0,1835.0,2209.0,0.990,2.970,93.069,0.0,0.0,2.970,206033.0,1935814.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:19,1.0,0.0,0.0,196837376.0,161513472.0,686735360.0,1052295168.0,0.0,0.0,0.0,0.0,1928.0,2289.0,1.020,1.020,95.918,0.0,0.0,2.041,215809.0,2019728.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:20,0.0,0.0,0.0,196804608.0,161513472.0,686735360.0,1052327936.0,0.0,0.0,0.0,20480.0,1794.0,2155.0,1.942,2.913,91.262,0.0,0.0,3.883,201332.0,1894760.0,0.0,5.0,0.010,0.010,0.0,
21-06 01:12:21,0.0,0.0,0.0,196841472.0,161513472.0,686735360.0,1052291072.0,0.0,0.0,0.0,12288.0,1820.0,2166.0,0.0,2.020,94.949,0.0,0.0,3.030,203894.0,1909182.0,0.0,2.0,0.010,0.010,0.0,
21-06 01:12:22,0.0,0.0,0.0,196677632.0,161513472.0,686735360.0,1052454912.0,0.0,0.0,0.0,0.0,1876.0,2231.0,1.020,2.041,95.918,0.0,0.0,1.020,209334.0,1973626.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:23,0.0,0.0,0.0,196808704.0,161513472.0,686735360.0,1052323840.0,0.0,0.0,0.0,0.0,1729.0,2013.0,1.010,2.020,94.949,0.0,0.0,2.020,197400.0,1865622.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:24,0.0,0.0,0.0,196677632.0,161513472.0,686735360.0,1052454912.0,0.0,0.0,0.0,0.0,1884.0,2255.0,1.010,2.020,94.949,0.0,0.0,2.020,207834.0,1959104.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:25,0.0,0.0,0.0,196841472.0,161513472.0,686735360.0,1052291072.0,0.0,0.0,0.0,0.0,1675.0,2015.0,0.990,1.980,94.059,0.0,0.0,2.970,181727.0,1706266.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:26,1.0,0.0,0.0,196739072.0,161513472.0,686739456.0,1052389376.0,0.0,0.0,0.0,12288.0,1793.0,2156.0,0.990,3.960,93.069,0.0,0.0,1.980,197275.0,1867708.0,0.0,2.0,0.010,0.010,0.0,
21-06 01:12:27,0.0,0.0,0.0,196673536.0,161513472.0,686739456.0,1052454912.0,0.0,0.0,0.0,0.0,1889.0,2237.0,0.0,2.970,93.069,0.0,0.0,3.960,204036.0,1918396.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:28,0.0,0.0,0.0,196833280.0,161513472.0,686739456.0,1052295168.0,0.0,0.0,0.0,0.0,1807.0,2145.0,1.0,3.0,94.0,0.0,0.0,2.0,200815.0,1904150.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:29,1.0,0.0,0.0,196841472.0,161513472.0,686739456.0,1052286976.0,0.0,0.0,0.0,0.0,1928.0,2289.0,0.0,1.031,96.907,0.0,0.0,2.062,215605.0,2026174.0,0.0,0.0,0.010,0.010,0.0,
21-06 01:12:30,0.0,0.0,0.0,196939776.0,161513472.0,686739456.0,1052188672.0,0.0,0.0,0.0,12288.0,1855.0,2243.0,1.961,2.941,92.157,0.0,0.0,2.941,207851.0,1952918.0,0.0,1.0,0.010,0.010,0.0,
21-06 01:12:31,0.0,0.0,0.0,196874240.0,161513472.0,686739456.0,1052254208.0,0.0,0.0,0.0,20480.0,1756.0,2096.0,0.0,1.020,96.939,0.0,0.0,2.041,194039.0,1829040.0,0.0,2.0,0.010,0.010,0.0,
21-06 01:12:32,1.0,0.0,0.0,196939776.0,161513472.0,686739456.0,1052188672.0,0.0,0.0,0.0,0.0,1758.0,2117.0,0.0,1.031,96.907,0.0,0.0,2.062,197726.0,1865688.0,0.0,0.0,0.010,0.010,0.0,
