"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Servidor-2cpus",,,,"User:","root"
"Cmdline:","dstat -tfvnrl --output c512.csv",,,,"Date:","21 Jun 2018 01:40:21 UTC"

"system","procs",,,"memory usage",,,,"paging",,"dsk/vda",,"system",,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/eth0",,"io/vda",,"load avg",,
"time","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","read","writ","1m","5m","15m"
21-06 01:40:21,0.000,0.0,0.148,538972160.0,123289600.0,655245312.0,779735040.0,0.0,0.0,4694.191,30932.239,1546.376,3989.169,5.525,1.701,92.763,0.009,0.0,0.002,5.288,1.473,92.055,0.005,0.0,1.179,0.0,0.0,0.247,0.481,1.250,1.350,1.330,
21-06 01:40:22,2.0,0.0,0.0,545366016.0,123289600.0,655249408.0,773337088.0,0.0,0.0,0.0,0.0,1185.0,1900.0,9.091,2.020,88.889,0.0,0.0,0.0,10.101,0.0,87.879,0.0,0.0,2.020,2853462.0,116567.0,0.0,0.0,1.250,1.350,1.330,
21-06 01:40:23,3.0,0.0,0.0,548413440.0,123289600.0,655249408.0,770289664.0,0.0,0.0,0.0,0.0,2908.0,9395.0,32.323,2.020,65.657,0.0,0.0,0.0,80.808,6.061,11.111,0.0,0.0,2.020,1467312.0,282526.0,0.0,0.0,1.250,1.350,1.330,
21-06 01:40:24,2.0,0.0,0.0,548593664.0,123297792.0,655249408.0,770101248.0,0.0,0.0,0.0,32768.0,2897.0,9422.0,24.742,2.062,73.196,0.0,0.0,0.0,84.158,8.911,3.960,0.0,0.0,2.970,1479512.0,290298.0,0.0,2.0,1.230,1.340,1.330,
21-06 01:40:25,2.0,0.0,0.0,546828288.0,123297792.0,655249408.0,771866624.0,0.0,0.0,0.0,0.0,2966.0,9963.0,30.693,3.960,65.347,0.0,0.0,0.0,91.0,6.0,1.0,0.0,0.0,2.0,1621036.0,313317.0,0.0,0.0,1.230,1.340,1.330,
21-06 01:40:26,1.0,0.0,0.0,546418688.0,123297792.0,655249408.0,772276224.0,0.0,0.0,0.0,0.0,3304.0,9930.0,44.0,3.0,53.0,0.0,0.0,0.0,88.889,6.061,2.020,0.0,0.0,3.030,1782502.0,330647.0,0.0,0.0,1.230,1.340,1.330,
21-06 01:40:27,1.0,0.0,2.0,545361920.0,123297792.0,655249408.0,773332992.0,0.0,0.0,0.0,0.0,3375.0,9638.0,46.939,3.061,50.0,0.0,0.0,0.0,84.694,6.122,7.143,0.0,0.0,2.041,1757639.0,305790.0,0.0,0.0,1.230,1.340,1.330,
21-06 01:40:28,3.0,0.0,0.0,543961088.0,123297792.0,655253504.0,774729728.0,0.0,0.0,0.0,0.0,3113.0,9737.0,42.424,4.040,53.535,0.0,0.0,0.0,85.859,5.051,6.061,0.0,0.0,3.030,1635454.0,306668.0,0.0,0.0,1.230,1.340,1.330,
21-06 01:40:29,2.0,0.0,0.0,542572544.0,123305984.0,655253504.0,776110080.0,0.0,0.0,0.0,20480.0,3846.0,9908.0,70.103,2.062,27.835,0.0,0.0,0.0,71.0,7.0,18.0,0.0,0.0,4.0,1881136.0,302551.0,0.0,2.0,1.290,1.350,1.330,
21-06 01:40:30,2.0,0.0,0.0,555225088.0,123305984.0,655253504.0,763457536.0,0.0,0.0,0.0,0.0,3593.0,10640.0,59.596,3.030,37.374,0.0,0.0,0.0,87.0,5.0,2.0,0.0,0.0,6.0,1976344.0,350767.0,0.0,0.0,1.290,1.350,1.330,
